
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek           |           Lower level           |           Upper level            |Type|
            Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)          |---------------------------------|----------------------------------|    |
             Vac (nm)  |         |           |      |                                    | Conf.                 | Term    | Conf.                 | Term     |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
                       |         |           |      |                                    |                       |         |                       |          |    |
             100.6185  |      30 |           |      |                                    |                       |         |                       |          |    |
             100.9428  |      30 |           |      |                                    |                       |         |                       |          |    |
             103.4162  |      45 |           |      |                                    |                       |         |                       |          |    |
             105.9066  |      35 |           |      |                                    |                       |         |                       |          |    |
             106.7165  |      35 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             106.8016  |      40 |           |      |                                    |                       |         |                       |          |    |
             108.0885  |      45 |           |      |                                    |                       |         |                       |          |    |
             108.1079  |      30 |           |      |                                    |                       |         |                       |          |    |
             108.1836  |      35 |           |      |                                    |                       |         |                       |          |    |
             108.3594  |      20 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             108.5003  |      40 |           |      |                                    |                       |         |                       |          |    |
             108.7238  |      20 |           |      |                                    |                       |         |                       |          |    |
             108.7701  |      15 |           |      |                                    |                       |         |                       |          |    |
             108.7895  |      25 |           |      |                                    |                       |         |                       |          |    |
             108.8699  |      50 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             109.3447  |      25 |           |      |                                    |                       |         |                       |          |    |
             112.5502  |      50 |           |      |                                    |                       |         |                       |          |    |
             113.3390  |     160 |           |      |                                    |                       |         |                       |          |    |
             113.7020  |      60 |           |      |                                    |                       |         |                       |          |    |
             114.3185  |      60 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             114.6157  |      60 |           |      |                                    |                       |         |                       |          |    |
             114.7967  |      60 |           |      |                                    |                       |         |                       |          |    |
             115.7291  |      40 |           |      |                                    |                       |         |                       |          |    |
             116.5548  |      60 |           |      |                                    |                       |         |                       |          |    |
             117.0046  |      35 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             117.2698  |      50 |           |      |                                    |                       |         |                       |          |    |
             117.2969  |      40 |           |      |                                    |                       |         |                       |          |    |
             117.6794  |     160 |           |      |                                    |                       |         |                       |          |    |
             117.7238  |      60 |           |      |                                    |                       |         |                       |          |    |
             117.7426  |      60 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             117.8256  |     130 |           |      |                                    |                       |         |                       |          |    |
             117.8777  |      60 |           |      |                                    |                       |         |                       |          |    |
             117.9212  |      60 |           |      |                                    |                       |         |                       |          |    |
             117.9623  |      40 |           |      |                                    |                       |         |                       |          |    |
             118.0153  |      60 |           |      |                                    |                       |         |                       |          |    |
                       |         |           |      |                                    |                       |         |                       |          |    |
             118.3109  |      70 |           |      |                                    |                       |         |                       |          |    |
             118.3498  |      30 |           |      |                                    |                       |         |                       |          |    |
