
---------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |      Lower level       |        Upper level         |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |------------------------|----------------------------|    |
             Vac (nm)  |       |           |      |                                    | Conf.           | Term | Conf.              | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                    |                 |      |                    |       |    |
             132.570   |     3 | 2.29e+08  | B    |    51.877156    -     61.229499    | 2s2.2p4.(3P).3p | 2P*  | 2s2.2p4.(1D).3d    | 2S    |    |
             133.676   |     7 | 4.27e+08  | D    |    50.405852    -     59.680864    | 2s2.2p4.(3P).3p | 4P*  | 2s2.2p4.(3P).4s    | 4P    |    |
             133.7358  |     7 | 1.61e+08  | B    |    51.877156    -     61.148020    | 2s2.2p4.(3P).3p | 2P*  | 2s2.2p4.(1D).3d    | 2P    |    |
             133.7995  |     2 | 1.28e+08  | C+   |    51.894395    -     61.160656    | 2s2.2p4.(3P).3p | 2P*  | 2s2.2p4.(1D).3d    | 2P    |    |
             134.0674  |     8 | 2.29e+08  | D    |    50.361158    -     59.609022    | 2s2.2p4.(3P).3p | 4P*  | 2s2.2p4.(3P).4s    | 4P    |    |
                       |       |           |      |                                    |                 |      |                    |       |    |
             134.2390  |   9bl | 8.44e+07  | E    |    50.444842    -     59.680864    | 2s2.2p4.(3P).3p | 4P*  | 2s2.2p4.(3P).4s    | 4P    |    |
             134.2729  |    10 | 1.06e+08  | C+   |    46.324502    -     55.558223    | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(1D).3p    | 2P*   |    |
             135.5281  |    11 | 3.44e+08  | D+   |    50.361158    -     59.509355    | 2s2.2p4.(3P).3p | 4P*  | 2s2.2p4.(3P).4s    | 4P    |    |
             136.1896  |   12* | 2.24e+08  | B    |    46.454386    -     55.558223    | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(1D).3p    | 2P*   |    |
             136.1896  |   12* | 1.45e+08  | D    |    50.405852    -     59.509355    | 2s2.2p4.(3P).3p | 4P*  | 2s2.2p4.(3P).4s    | 4P    |    |
                       |       |           |      |                                    |                 |      |                    |       |    |
             137.2340  |    11 | 5.81e+07  | C+   |    46.454386    -     55.488873    | 2s2.2p4.(3P).3s | 2P   | 2s2.2p4.(1D).3p    | 2P*   |    |
             141.8559  |  9bl* | 2.87e+07  | E    |    54.669615    -     63.40977     | 2s2.2p4.(1D).3p | 2F*  | 2s2.2p4.(1D).4s    | 2D    |    |
             141.8559  |  9bl* | 6.02e+08  | D+   |    54.669615    -     63.40971     | 2s2.2p4.(1D).3p | 2F*  | 2s2.2p4.(1D).4s    | 2D    |    |
             142.0885  |    10 | 5.73e+08  | C    |    54.683931    -     63.40977     | 2s2.2p4.(1D).3p | 2F*  | 2s2.2p4.(1D).4s    | 2D    |    |
             144.0775  |     7 | 3.26e+08  | D    |    51.075509    -     59.680864    | 2s2.2p4.(3P).3p | 4D*  | 2s2.2p4.(3P).4s    | 4P    |    |
                       |       |           |      |                                    |                 |      |                    |       |    |
