
--------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |       Lower level       |       Upper level       |Type|
            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-------------------------|-------------------------|    |
             Vac (nm)  |       |           |      |                                     | Conf.            | Term | Conf.            | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                     |                  |      |                  |      |    |
             145.6943  |     7 | 4.35e+08  | B    |    71.63592      -     80.14581     | 2s2.2p3.(2D*).3p | 1F   | 2s2.2p3.(2D*).3d | 1F*  |    |
             150.285   |    bl | 4.36e+08  | B    |    70.96778      -     79.2188      | 2s2.2p3.(2D*).3p | 3D   | 2s2.2p3.(2D*).3d | 3D*  |    |
             150.8754  |     8 | 5.50e+08  | B    |    70.98665      -     79.2042      | 2s2.2p3.(2D*).3p | 3D   | 2s2.2p3.(2D*).3d | 3D*  |    |
             153.4475  |  12bl | 7.14e+08  | B    |    65.8864       -     73.96635     | 2s2.2p3.(2D*).3s | 1D*  | 2s2.2p3.(2D*).3p | 1D   |    |
             154.246   |   bl* | 1.73e+08  | B    |    74.45674      -     82.4954      | 2s2.2p3.(2P*).3p | 3D   | 2s2.2p3.(2P*).3d | 3D*  |    |
                       |       |           |      |                                     |                  |      |                  |      |    |
             154.246   |   bl* | 2.53e+08  | B    |    74.45370      -     82.4921      | 2s2.2p3.(2P*).3p | 3D   | 2s2.2p3.(2P*).3d | 3D*  |    |
             154.246   |   bl* | 1.93e+08  | C+   |    74.46090      -     82.4991      | 2s2.2p3.(2P*).3p | 3D   | 2s2.2p3.(2P*).3d | 3D*  |    |
             158.0233  |     9 | 5.64e+08  | B+   |    70.96778      -     78.81373     | 2s2.2p3.(2D*).3p | 3D   | 2s2.2p3.(2D*).3d | 3F*  |    |
             158.0500  |    10 | 6.27e+08  | B+   |    70.98665      -     78.83128     | 2s2.2p3.(2D*).3p | 3D   | 2s2.2p3.(2D*).3d | 3F*  |    |
             158.2121  |   4bl | 9.54e+08  | B    |    65.06359+x    -     72.90018+x   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).3d | 5D*  |    |
                       |       |           |      |                                     |                  |      |                  |      |    |
             158.2182  |  11bl | 7.16e+08  | B    |    65.06359+x    -     72.89988+x   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).3d | 5D*  |    |
             158.2326  |    10 | 3.34e+08  | B    |    65.06359+x    -     72.89913+x   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).3d | 5D*  |    |
             158.2613  |     8 | 5.11e+08  | B    |    70.96601      -     78.80014     | 2s2.2p3.(2D*).3p | 3D   | 2s2.2p3.(2D*).3d | 3F*  |    |
             158.391   |   5bl | 2.38e+08  | B    |    65.07169+x    -     72.89988+x   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).3d | 5D*  |    |
             158.3977  |  11bl | 5.55e+08  | B    |    65.07169+x    -     72.89913+x   | 2s2.2p3.(4S*).3p | 5P   | 2s2.2p3.(4S*).3d | 5D*  |    |
                       |       |           |      |                                     |                  |      |                  |      |    |
