
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Vac (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb IV     |           100.276  |     50 |           |      |                     |    |
Nb IV     |           100.572  |    400 |           |      |                     |    |
Nb V      |           100.702  |     40 |           |      |                     |    |
Nb IV     |           100.705  |    500 |           |      |                     |    |
Nb IV     |           101.019  |    500 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb IV     |           103.027  |     45 |           |      |                     |    |
Nb V      |           104.490  |     50 |           |      |                     |    |
Nb IV     |           111.608  |    100 |           |      |                     |    |
Nb IV     |           112.002  |    150 |           |      |                     |    |
Nb V      |           121.221  |     70 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb V      |           125.887  |    100 |           |      |                     |    |
Nb V      |           126.760  |     40 |           |      |                     |    |
Nb III    |           131.456  |     60 |           |      |                     |    |
Nb III    |           131.915  |     50 |           |      |                     |    |
Nb III    |           143.192  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           143.339  |     60 |           |      |                     |    |
Nb III    |           143.526  |     50 |           |      |                     |    |
Nb III    |           144.543  |     80 |           |      |                     |    |
Nb III    |           144.598  |     80 |           |      |                     |    |
Nb III    |           144.709  |     80 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb IV     |           144.748  |     50 |           |      |                     |    |
Nb III    |           144.850  |     50 |           |      |                     |    |
Nb III    |           145.163  |     60 |           |      |                     |    |
Nb III    |           145.668  |    100 |           |      |                     |    |
Nb IV     |           147.343  |     40 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           148.473  |     80 |           |      |                     |    |
Nb III    |           148.679  |     50 |           |      |                     |    |
Nb IV     |           148.723  |     40 |           |      |                     |    |
Nb III    |           149.594  |    100 |           |      |                     |    |
Nb III    |           149.802  |     80 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           149.945  |     80 |           |      |                     |    |
Nb III    |           150.153  |     50 |           |      |                     |    |
Nb III    |           150.199  |    100 |           |      |                     |    |
Nb IV     |           150.230  |     60 |           |      |                     |    |
Nb III    |           150.503  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           150.971  |     50 |           |      |                     |    |
Nb III    |           151.234  |     50 |           |      |                     |    |
Nb III    |           151.325  |     50 |           |      |                     |    |
Nb III    |           151.381  |     80 |           |      |                     |    |
Nb III    |           151.738  |     50 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb IV     |           152.436  |     60 |           |      |                     |    |
Nb III    |           152.491  |    100 |           |      |                     |    |
Nb III    |           153.298  |     60 |           |      |                     |    |
Nb IV     |           153.406  |     50 |           |      |                     |    |
Nb III    |           153.750  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           156.692  |     50 |           |      |                     |    |
Nb III    |           157.019  |     50 |           |      |                     |    |
Nb III    |           158.682  |     50 |           |      |                     |    |
Nb III    |           159.021  |    100 |           |      |                     |    |
Nb III    |           159.886  |     80 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           160.472  |     80 |           |      |                     |    |
Nb IV     |           163.568  |     40 |           |      |                     |    |
Nb III    |           163.951  |     80 |           |      |                     |    |
Nb III    |           168.277  |    100 |           |      |                     |    |
Nb III    |           168.440  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           170.544  |    100 |           |      |                     |    |
Nb III    |           170.714  |    100 |           |      |                     |    |
Nb III    |           173.930  |     50 |           |      |                     |    |
Nb V      |           175.833  |    100 |           |      |                     |    |
Nb III    |           175.863  |     50 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           176.372  |     60 |           |      |                     |    |
Nb III    |           180.870  |     50 |           |      |                     |    |
Nb III    |           186.313  |     50 |           |      |                     |    |
Nb V      |           187.734  |    100 |           |      |                     |    |
Nb III    |           189.292  |    100 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb IV     |           191.070  |     40 |           |      |                     |    |
Nb IV     |           192.241  |     60 |           |      |                     |    |
Nb III    |           193.884  |    100 |           |      |                     |    |
Nb IV     |           197.822  |     60 |           |      |                     |    |
Nb III    |           197.907  |    60w |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           198.515  |     50 |           |      |                     |    |
Nb III    |           199.711  |     50 |           |      |                     |    |
---------------------------------------------------------------------------------------
Spectrum  |          Observed  |   Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |   Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |        |           |      |                     |    |
---------------------------------------------------------------------------------------
          |                    |        |           |      |                     |    |
Nb III    |           200.728  |    50w |           |      |                     |    |
Nb IV     |           202.750  |     40 |           |      |                     |    |
Nb II     |           202.932  |   3300 |           |      |                     |    |
Nb III    |           203.247  |     50 |           |      |                     |    |
Nb IV     |           203.253  |     65 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           203.299  |   3000 |           |      |                     |    |
Nb IV     |           203.467  |     40 |           |      |                     |    |
Nb III    |           206.029  |     50 |           |      |                     |    |
Nb IV     |           206.862  |     40 |           |      |                     |    |
Nb IV     |           208.407  |     55 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb IV     |           209.312  |     35 |           |      |                     |    |
Nb IV     |           209.330  |     50 |           |      |                     |    |
Nb II     |           210.942  |   2000 |           |      |                     |    |
Nb IV     |           212.268  |     20 |           |      |                     |    |
Nb II     |           212.521  |   1700 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb II     |           212.654  |   1100 |           |      |                     |    |
Nb IV     |           213.023  |     25 |           |      |                     |    |
Nb III    |           213.024  |    80w |           |      |                     |    |
Nb II     |           213.118  |   1500 |           |      |                     |    |
Nb IV     |           214.636  |     45 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           220.601  |     60 |           |      |                     |    |
Nb III    |           224.031  |     60 |           |      |                     |    |
Nb III    |           224.419  |     60 |           |      |                     |    |
Nb IV     |           224.998  |     18 |           |      |                     |    |
Nb III    |           226.563  |     60 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           227.392  |     80 |           |      |                     |    |
Nb III    |           227.523  |    100 |           |      |                     |    |
Nb III    |           227.936  |     80 |           |      |                     |    |
Nb III    |           228.151  |    100 |           |      |                     |    |
Nb III    |           228.440  |     80 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           229.036  |    100 |           |      |                     |    |
Nb II     |           229.568  |    370 |           |      |                     |    |
Nb II     |           230.208  |    280 |           |      |                     |    |
Nb III    |           230.478  |     60 |           |      |                     |    |
Nb III    |           230.992  |     50 |           |      |                     |    |
          |                    |        |           |      |                     |    |
Nb III    |           231.330  |    100 |           |      |                     |    |
Nb III    |           233.022  |     50 |           |      |                     |    |
Nb III    |           233.809  |    100 |           |      |                     |    |
Nb III    |           234.412  |     80 |           |      |                     |    |
