
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           202.932  |  3300 |           |      |                     |    |
           203.299  |  3000 |           |      |                     |    |
           210.942  |  2000 |           |      |                     |    |
           212.521  |  1700 |           |      |                     |    |
           212.654  |  1100 |           |      |                     |    |
                    |       |           |      |                     |    |
           213.118  |  1500 |           |      |                     |    |
           229.568  |   370 |           |      |                     |    |
           230.208  |   280 |           |      |                     |    |
           237.640  |   170 |           |      |                     |    |
           238.709  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           238.752  |   140 |           |      |                     |    |
           238.827  |    45 |           |      |                     |    |
           239.848  |   160 |           |      |                     |    |
           240.534  |    55 |           |      |                     |    |
           240.585  |    55 |           |      |                     |    |
                    |       |           |      |                     |    |
           241.246  |   140 |           |      |                     |    |
           241.699  |   160 |           |      |                     |    |
           241.869  |   140 |           |      |                     |    |
           243.380  |    75 |           |      |                     |    |
           243.595  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           243.742  |    45 |           |      |                     |    |
           244.214  |    40 |           |      |                     |    |
           244.268  |    28 |           |      |                     |    |
           245.187  |    65 |           |      |                     |    |
           245.395  |    65 |           |      |                     |    |
                    |       |           |      |                     |    |
           245.809  |    55 |           |      |                     |    |
           247.738  |   110 |           |      |                     |    |
           247.829  |    65 |           |      |                     |    |
           247.994  |    65 |           |      |                     |    |
           248.388  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           251.100  |   110 |           |      |                     |    |
           252.140  |   110 |           |      |                     |    |
           254.480  |   390 |           |      |                     |    |
           255.138  |   110 |           |      |                     |    |
           255.694  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           256.241  |   130 |           |      |                     |    |
           257.133  |   110 |           |      |                     |    |
           258.399  |   390 |           |      |                     |    |
           259.094  |   390 |           |      |                     |    |
           264.224  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           264.626  |   320 |           |      |                     |    |
           265.608  |   310 |           |      |                     |    |
           266.525  |   110 |           |      |                     |    |
           266.659  |   110 |           |      |                     |    |
           266.730  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           267.193  |   400 |           |      |                     |    |
           267.357  |   200 |           |      |                     |    |
           267.594  |   200 |           |      |                     |    |
           269.177  |   160 |           |      |                     |    |
           269.706  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.886  |   320 |           |      |                     |    |
           270.220  |   320 |           |      |                     |    |
           270.252  |   150 |           |      |                     |    |
           271.662  |   470 |           |      |                     |    |
           272.198  |   470 |           |      |                     |    |
                    |       |           |      |                     |    |
           273.326  |   310 |           |      |                     |    |
           273.709  |   110 |           |      |                     |    |
           276.813  |   240 |           |      |                     |    |
           278.024  |   270 |           |      |                     |    |
           279.305  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           282.708  |   190 |           |      |                     |    |
           284.115  |   250 |           |      |                     |    |
           284.265  |   280 |           |      |                     |    |
           284.628  |   160 |           |      |                     |    |
           286.109  |   240 |           |      |                     |    |
                    |       |           |      |                     |    |
           286.561  |   100 |           |      |                     |    |
           286.852  |   500 |           |      |                     |    |
           287.539  |   800 |           |      |                     |    |
           287.695  |   270 |           |      |                     |    |
           287.703  |   530 |           |      |                     |    |
                    |       |           |      |                     |    |
           288.072  |   100 |           |      |                     |    |
           288.318  |   570 |           |      |                     |    |
           288.883  |   280 |           |      |                     |    |
           289.781  |   470 |           |      |                     |    |
           289.924  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           290.824  |   470 |           |      |                     |    |
           291.059  |   670 |           |      |                     |    |
           291.174  |   470 |           |      |                     |    |
           292.781  |  1100 |           |      |                     |    |
           293.147  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           294.154  |   870 |           |      |                     |    |
           294.588  |  110w |           |      |                     |    |
           294.612  |   110 |           |      |                     |    |
           294.690  |   110 |           |      |                     |    |
           295.088  |  1100 |           |      |                     |    |
                    |       |           |      |                     |    |
           297.257  |   400 |           |      |                     |    |
           297.410  |   320 |           |      |                     |    |
           297.768  |   210 |           |      |                     |    |
           298.211  |   200 |           |      |                     |    |
           299.026  |   330 |           |      |                     |    |
                    |       |           |      |                     |    |
           299.473  |   470 |           |      |                     |    |
           302.474  |   140 |           |      |                     |    |
           302.844  |   350 |           |      |                     |    |
           303.277  |   300 |           |      |                     |    |
           304.476  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           305.552  |   100 |           |      |                     |    |
           306.453  |   220 |           |      |                     |    |
           306.968  |   110 |           |      |                     |    |
           307.090  |   100 |           |      |                     |    |
           307.156  |   110 |           |      |                     |    |
                    |       |           |      |                     |    |
           307.324  |   100 |           |      |                     |    |
           307.687  |   400 |           |      |                     |    |
           308.035  |   110 |           |      |                     |    |
           309.418  |  1800 |           |      |                     |    |
           309.919  |   140 |           |      |                     |    |
                    |       |           |      |                     |    |
           312.753  |   270 |           |      |                     |    |
           313.079  |  1500 |           |      |                     |    |
           314.540  |   390 |           |      |                     |    |
           316.340  |  1200 |           |      |                     |    |
           317.578  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           318.029  |   390 |           |      |                     |    |
           319.110  |   300 |           |      |                     |    |
           319.143  |   150 |           |      |                     |    |
           319.498  |  1000 |           |      |                     |    |
           320.335  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           320.634  |   300 |           |      |                     |    |
           321.560  |   390 |           |      |                     |    |
           322.548  |   800 |           |      |                     |    |
           322.956  |   140 |           |      |                     |    |
           323.640  |   400 |           |      |                     |    |
                    |       |           |      |                     |    |
           324.747  |   200 |           |      |                     |    |
           324.894  |   120 |           |      |                     |    |
           325.407  |   320 |           |      |                     |    |
           326.056  |   230 |           |      |                     |    |
           326.337  |   160 |           |      |                     |    |
                    |       |           |      |                     |    |
           328.346  |   200 |           |      |                     |    |
           329.202  |   160 |           |      |                     |    |
           331.958  |   120 |           |      |                     |    |
           334.160  |   130 |           |      |                     |    |
           336.558  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           336.916  |   130 |           |      |                     |    |
           338.624  |   170 |           |      |                     |    |
           340.868  |   230 |           |      |                     |    |
           340.919  |   180 |           |      |                     |    |
           341.294  |   230 |           |      |                     |    |
                    |       |           |      |                     |    |
           342.542  |   230 |           |      |                     |    |
           342.657  |   230 |           |      |                     |    |
           343.270  |   180 |           |      |                     |    |
           344.059  |   180 |           |      |                     |    |
           347.956  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           348.405  |   100 |           |      |                     |    |
           351.026  |   200 |           |      |                     |    |
           351.542  |   200 |           |      |                     |    |
           351.767  |   200 |           |      |                     |    |
           354.096  |   250 |           |      |                     |    |
                    |       |           |      |                     |    |
