
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           131.456  |    60 |           |      |                     |    |
           131.915  |    50 |           |      |                     |    |
           143.192  |    60 |           |      |                     |    |
           143.339  |    60 |           |      |                     |    |
           143.526  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           144.543  |    80 |           |      |                     |    |
           144.598  |    80 |           |      |                     |    |
           144.709  |    80 |           |      |                     |    |
           144.850  |    50 |           |      |                     |    |
           145.163  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           145.668  |   100 |           |      |                     |    |
           148.473  |    80 |           |      |                     |    |
           148.679  |    50 |           |      |                     |    |
           149.594  |   100 |           |      |                     |    |
           149.802  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           149.945  |    80 |           |      |                     |    |
           150.153  |    50 |           |      |                     |    |
           150.199  |   100 |           |      |                     |    |
           150.503  |    60 |           |      |                     |    |
           150.971  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           151.234  |    50 |           |      |                     |    |
           151.325  |    50 |           |      |                     |    |
           151.381  |    80 |           |      |                     |    |
           151.738  |    50 |           |      |                     |    |
           152.491  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           153.298  |    60 |           |      |                     |    |
           153.750  |    60 |           |      |                     |    |
           156.692  |    50 |           |      |                     |    |
           157.019  |    50 |           |      |                     |    |
           158.682  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           159.021  |   100 |           |      |                     |    |
           159.886  |    80 |           |      |                     |    |
           160.472  |    80 |           |      |                     |    |
           163.951  |    80 |           |      |                     |    |
           168.277  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           168.440  |    60 |           |      |                     |    |
           170.544  |   100 |           |      |                     |    |
           170.714  |   100 |           |      |                     |    |
           173.930  |    50 |           |      |                     |    |
           175.863  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           176.372  |    60 |           |      |                     |    |
           180.870  |    50 |           |      |                     |    |
           186.313  |    50 |           |      |                     |    |
           189.292  |   100 |           |      |                     |    |
           193.884  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           197.907  |   60w |           |      |                     |    |
           198.515  |    50 |           |      |                     |    |
           199.711  |    50 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.728  |   50w |           |      |                     |    |
           203.247  |    50 |           |      |                     |    |
           206.029  |    50 |           |      |                     |    |
           213.024  |   80w |           |      |                     |    |
           220.601  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           224.031  |    60 |           |      |                     |    |
           224.419  |    60 |           |      |                     |    |
           226.563  |    60 |           |      |                     |    |
           227.392  |    80 |           |      |                     |    |
           227.523  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           227.936  |    80 |           |      |                     |    |
           228.151  |   100 |           |      |                     |    |
           228.440  |    80 |           |      |                     |    |
           229.036  |   100 |           |      |                     |    |
           230.478  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           230.992  |    50 |           |      |                     |    |
           231.330  |   100 |           |      |                     |    |
           233.022  |    50 |           |      |                     |    |
           233.809  |   100 |           |      |                     |    |
           234.412  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           234.921  |    90 |           |      |                     |    |
           235.554  |    80 |           |      |                     |    |
           236.206  |   100 |           |      |                     |    |
           236.250  |    80 |           |      |                     |    |
           236.570  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           237.273  |   100 |           |      |                     |    |
           238.741  |   100 |           |      |                     |    |
           238.823  |    80 |           |      |                     |    |
           240.423  |    50 |           |      |                     |    |
           240.489  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           241.394  |   100 |           |      |                     |    |
           241.450  |    60 |           |      |                     |    |
           242.191  |   100 |           |      |                     |    |
           243.774  |    50 |           |      |                     |    |
           244.645  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           245.699  |   100 |           |      |                     |    |
           246.034  |    50 |           |      |                     |    |
           246.045  |    50 |           |      |                     |    |
           246.372  |    50 |           |      |                     |    |
           246.872  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           246.939  |    60 |           |      |                     |    |
           247.587  |    80 |           |      |                     |    |
           248.602  |    50 |           |      |                     |    |
           248.874  |    60 |           |      |                     |    |
           249.302  |    60 |           |      |                     |    |
                    |       |           |      |                     |    |
           249.973  |   100 |           |      |                     |    |
           250.853  |    60 |           |      |                     |    |
           251.195  |    50 |           |      |                     |    |
           254.564  |   100 |           |      |                     |    |
           255.794  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           256.744  |    50 |           |      |                     |    |
           259.375  |    60 |           |      |                     |    |
           259.886  |    80 |           |      |                     |    |
           262.867  |    50 |           |      |                     |    |
           263.317  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           265.799  |    80 |           |      |                     |    |
           293.771  |    50 |           |      |                     |    |
           300.184  |    80 |           |      |                     |    |
           314.226  |    80 |           |      |                     |    |
           326.611  |    60 |           |      |                     |    |
