
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                   Observed  |       Rel. |    Aki    | Acc. |                Ei           Ek               |           Lower level           |           Upper level            |Type|
          |                  Wavelength |       Int. |    s^-1   |      |               (eV)         (eV)              |---------------------------------|----------------------------------|    |
          |                   Vac (nm)  |            |           |      |                                              | Conf.                 | Term    | Conf.                  | Term    |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                             |            |           |      |                                              |                       |         |                        |         |    |
Ne IV     |                 100.2065    |          7 |           |      |     66.54299          -      78.91589        | 2s2.2p2.(3P).3p       | 2P*     | 2s2.2p2.(3P).4s        | 2P      |    |
Ne IV     |                 100.3251    |         14 |           |      |     66.55758          -      78.91589        | 2s2.2p2.(3P).3p       | 2P*     | 2s2.2p2.(3P).4s        | 2P      |    |
Ne VI     |                 100.57      |            |           |      |      0.162024         -      12.48981        | 2s2.2p                | 2P*     | 2s.2p2                 | 4P      |    |
Ne VI     |                 101.02      |            |           |      |      0.162024         -      12.43526        | 2s2.2p                | 2P*     | 2s.2p2                 | 4P      |    |
Ne IV     |                 101.3610    |          3 |           |      |     71.44649          -      83.67864        | 2s2.2p2.(3P).3d       | 2P      | 2s2.2p2.(3P<2>).4f     | 2[2]*   |    |
          |                             |            |           |      |                                              |                       |         |                        |         |    |
Ne III    |                 101.4512    |         30 | 3.8e+07   | D    |     48.2367375        -      60.45778        | 2s2.2p3.(2D*).3p      | 3D      | 2s2.2p3.(2D*).4d       | 3F*     |    |
Ne III    |                 101.5145    |         30 | 4.2e+07   | D    |     48.2453383        -      60.45880        | 2s2.2p3.(2D*).3p      | 3D      | 2s2.2p3.(2D*).4d       | 3F*     |    |
Ne III    |                 101.5392    |        120 | 1.5e+07   | C    |     35.89077          -      48.101170       | 2s.2p5                | 1P*     | 2s2.2p3.(2D*).3p       | 1P      |    |
Ne IV     |                 101.9940    |          3 |           |      |     71.55814          -      83.71418        | 2s2.2p2.(3P).3d       | 4D      | 2s2.2p2.(3P<2>).4f     | 2[4]*   |    |
Ne III    |                 102.0602    |        140 | 2.3e+07   | D    |     43.1955379+x      -      55.343465+x     | 2s2.2p3.(4S*).3p      | 5P      | 2s2.2p3.(4S*).4d       | 5D*     |    |
          |                             |            |           |      |                                              |                       |         |                        |         |    |
Ne III    |                 102.0944    |        160 | 4.4e+07   | D    |     43.1993943+x      -      55.343535+x     | 2s2.2p3.(4S*).3p      | 5P      | 2s2.2p3.(4S*).4d       | 5D*     |    |
Ne III    |                 102.1511    |        180 | 6.6e+07   | D    |     43.2059593+x      -      55.34346+x      | 2s2.2p3.(4S*).3p      | 5P      | 2s2.2p3.(4S*).4d       | 5D*     |    |
Ne IV     |                 102.1907    |         15 |           |      |     71.55814          -      83.69082        | 2s2.2p2.(3P).3d       | 4D      | 2s2.2p2.(3P<2>).4f     | 2[3]*   |    |
Ne IV     |                 102.2821    |         14 |           |      |     71.55689          -      83.67864        | 2s2.2p2.(3P).3d       | 4D      | 2s2.2p2.(3P<2>).4f     | 2[2]*   |    |
