
--------------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |    Rel. |    Aki    | Acc. |            Ei           Ek            |        Lower level         |        Upper level         |Type|
              Wavelength |    Int. |    s^-1   |      |           (eV)         (eV)           |----------------------------|----------------------------|    |
               Vac (nm)  |         |           |      |                                       | Conf.              | Term  | Conf.              | Term  |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                         |         |           |      |                                       |                    |       |                    |       |    |
             106.6764    |      60 |           |      |    27.78324700    -     39.40568690   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1D).4p    | 2P*   |    |
             106.8649    |     140 |           |      |    27.78324700    -     39.38520367   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1D).4p    | 2P*   |    |
             107.3781    |     100 |           |      |    27.85915786    -     39.40568690   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1D).4p    | 2P*   |    |
             107.4313    |      22 |           |      |    27.85915786    -     39.3999159    | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1D).4p    | 2D*   |    |
             107.5688    |      40 |           |      |    27.85915786    -     39.38520367   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1D).4p    | 2P*   |    |
                         |         |           |      |                                       |                    |       |                    |       |    |
             108.7789    |      80 |           |      |    26.9104713     -     38.30824351   | 2s.2p6             | 2S    | 2s2.2p4.(3P).5p    | 2P*   |    |
             109.0628    |     100 |           |      |    26.9104713     -     38.27863312   | 2s.2p6             | 2S    | 2s2.2p4.(3P).5p    | 2P*   |    |
             113.1724    |     180 |           |      |    26.9104713     -     37.8658262    | 2s.2p6             | 2S    | 2s2.2p4.(1S).3p    | 2P*   |    |
             113.1848    |     200 |           |      |    26.9104713     -     37.86459857   | 2s.2p6             | 2S    | 2s2.2p4.(1S).3p    | 2P*   |    |
             122.9688    |     140 |           |      |    27.78324700    -     37.8658262    | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1S).3p    | 2P*   |    |
                         |         |           |      |                                       |                    |       |                    |       |    |
             122.9832    |     180 |           |      |    27.78324700    -     37.86459857   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1S).3p    | 2P*   |    |
             123.9018    |   160bl |           |      |    27.85915786    -     37.8658262    | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1S).3p    | 2P*   |    |
             123.9167    |     120 |           |      |    27.85915786    -     37.86459857   | 2s2.2p4.(3P).3s    | 2P    | 2s2.2p4.(1S).3p    | 2P*   |    |
             129.3902    |     140 |           |      |    26.9104713     -     36.4926633    | 2s.2p6             | 2S    | 2s2.2p4.(3P).4p    | 2P*   |    |
             129.8046    |     160 |           |      |    26.9104713     -     36.46207252   | 2s.2p6             | 2S    | 2s2.2p4.(3P).4p    | 2P*   |    |
                         |         |           |      |                                       |                    |       |                    |       |    |
             135.44510   |     19w |           |      |    31.51244103    -     40.666261     | 2s2.2p4.(3P).3p    | 2P*   | 2s2.2p4.(1D).4d    | 2S    |    |
             135.67905   |      14 |           |      |    31.52820928    -     40.666261     | 2s2.2p4.(3P).3p    | 2P*   | 2s2.2p4.(1D).4d    | 2S    |    |
