
------------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek            |        Lower level         |        Upper level         |Type|
             Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)           |----------------------------|----------------------------|    |
              Vac (nm)  |        |           |      |                                       | Conf.              | Term  | Conf.              | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------
                        |        |           |      |                                       |                    |       |                    |       |    |
              100.2065  |      7 |           |      |    66.54299       -     78.91589      | 2s2.2p2.(3P).3p    | 2P*   | 2s2.2p2.(3P).4s    | 2P    |    |
              100.3251  |     14 |           |      |    66.55758       -     78.91589      | 2s2.2p2.(3P).3p    | 2P*   | 2s2.2p2.(3P).4s    | 2P    |    |
              101.3610  |      3 |           |      |    71.44649       -     83.67864      | 2s2.2p2.(3P).3d    | 2P    | 2s2.2p2.(3P<2>).4f | 2[2]* |    |
              101.9940  |      3 |           |      |    71.55814       -     83.71418      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[4]* |    |
              102.1907  |     15 |           |      |    71.55814       -     83.69082      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[3]* |    |
                        |        |           |      |                                       |                    |       |                    |       |    |
              102.2821  |     14 |           |      |    71.55689       -     83.67864      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[2]* |    |
              102.2927  |      7 |           |      |    71.55814       -     83.67864      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[2]* |    |
              102.3341  |    16* |           |      |    75.08982       -     87.20551      | 2s2.2p2.(1D).3d    | 2F    | 2s2.2p2.(1D<2>).4f | 2[3]* |    |
              102.3341  |    16* |           |      |    71.55689       -     83.67253      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[2]* |    |
              102.3463  |     31 |           |      |    71.58222       -     83.69636      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[4]* |    |
                        |        |           |      |                                       |                    |       |                    |       |    |
              102.3941  |      5 |           |      |    71.58222       -     83.69082      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[3]* |    |
              102.4405  |    5bl |           |      |    71.56938       -     83.67253      | 2s2.2p2.(3P).3d    | 4D    | 2s2.2p2.(3P<2>).4f | 2[2]* |    |
              102.4488  |     15 |           |      |    75.08982       -     87.19185      | 2s2.2p2.(1D).3d    | 2F    | 2s2.2p2.(1D<2>).4f | 2[4]* |    |
              102.4858  |      5 |           |      |    75.10745       -     87.20520      | 2s2.2p2.(1D).3d    | 2F    | 2s2.2p2.(1D<2>).4f | 2[3]* |    |
              102.4925  |      3 |           |      |    71.49372       -     83.59051      | 2s2.2p2.(3P).3d    | 2P    | 2s2.2p2.(3P<2>).4f | 2[1]* |    |
                        |        |           |      |                                       |                    |       |                    |       |    |
              102.5984  |     11 |           |      |    75.10745       -     87.19180      | 2s2.2p2.(1D).3d    | 2F    | 2s2.2p2.(1D<2>).4f | 2[4]* |    |
