
-------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek             |      Lower level      |      Upper level      |Type|
               Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)            |-----------------------|-----------------------|    |
                Vac (nm)  |        |           |      |                                          | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                          |        |           |      |                                          |                |      |                |      |    |
                100.57    |        |           |      |      0.162024       -      12.48981      | 2s2.2p         | 2P*  | 2s.2p2         | 4P   |    |
                101.02    |        |           |      |      0.162024       -      12.43526      | 2s2.2p         | 2P*  | 2s.2p2         | 4P   |    |
                127.18    |   350* |           |      |    128.547          -     138.308        | 2s.2p.(1P*).3d | 2F*  | 2s2.5g         | 2G   |    |
                127.18    |   350* |           |      |    128.567          -     138.308        | 2s.2p.(1P*).3d | 2F*  | 2s2.5g         | 2G   |    |
                164.506   |     90 |           |      |    103.35536        -     110.89211      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
                          |        |           |      |                                          |                |      |                |      |    |
                164.559   |     90 |           |      |    103.41039        -     110.94464      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
                166.624   |     90 |           |      |    103.41039        -     110.85134      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
                166.782   |    140 |           |      |    103.51065        -     110.94464      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
                167.967   |     90 |           |      |    103.51065        -     110.89211      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek             |      Lower level      |      Upper level      |Type|
               Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)            |-----------------------|-----------------------|    |
                Air (nm)  |        |           |      |                                          | Conf.          | Term | Conf.          | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                          |        |           |      |                                          |                |      |                |      |    |
                204.2382  |    350 | 2.73e+08  | C    |     89.588812       -      95.657431     | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
                204.95    |    100 |           |      |    138.267          -     144.314        | 2s2.5f         | 2F*  | 2s2.6g         | 2G   |    |
                205.593   |   90bl | 2.68e+08  | C    |     89.588812       -      95.61744      | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
                219.33    |    140 |           |      |    111.716          -     117.368        | 2s.2p.(3P*).3p | 2D   | 2s.2p.(3P*).3d | 2F*  |    |
                224.776   |    110 |           |      |    103.41039        -     108.92459      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4D   |    |
                          |        |           |      |                                          |                |      |                |      |    |
                225.320   |    230 |           |      |    103.51065        -     109.01153      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4D   |    |
                228.936   |     50 |           |      |    103.51065        -     108.92459      | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4D   |    |
                236.549   | 200bl? |           |      |    122.49502        -     127.73479      | 2s.2p.(1P*).3p | 2P   | 2s.2p.(1P*).3d | 2D*  |    |
                255.37    |    50* |           |      |   [108.843]+y       -     113.697+y      | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
                255.37    |    50* |           |      |   [108.81]+x        -     113.67+x       | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
                          |        |           |      |                                          |                |      |                |      |    |
                255.661   |     60 |           |      |    108.92459        -     113.77269      | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
                256.856   |    140 |           |      |    109.01153        -     113.83708      | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4F*  |    |
                313.32    |    13? |           |      |    132.83           -     136.78         | 2p2.(3P).3p    | 2D*  | 2p2.(3P).3d    | 2F   |    |
                313.50    |     28 |           |      |    143.975          -     147.929?       | 2s2.6d         | 2D   | 2s2.7f         | 2F*  |    |
                313.64    |     28 |           |      |    143.977          -     147.929?       | 2s2.6d         | 2D   | 2s2.7f         | 2F*  |    |
                          |        |           |      |                                          |                |      |                |      |    |
                313.97    |    16? |           |      |    132.944          -     136.892        | 2p2.(3P).3p    | 2D*  | 2p2.(3P).3d    | 2F   |    |
                340.97    |     90 |           |      |    144.294          -     147.930        | 2s2.6f         | 2F*  | 2s2.7g         | 2G   |    |
                342.47    |    100 |           |      |    144.314          -     147.934        | 2s2.6g         | 2G   | 2s2.7h         | 2H*  |    |
                342.76    |    170 |           |      |    144.320          -     147.936        | 2s2.6h         | 2H*  | 2s2.7i         | 2I   |    |
                388.31    |     38 |           |      |    121.036          -     124.228        | 2s2.4s         | 2S   | 2s2.4p         | 2P*  |    |
                          |        |           |      |                                          |                |      |                |      |    |
                528.03    |      7 |           |      |    147.929?         -     150.276?       | 2s2.7f         | 2F*  | 2s2.8g         | 2G   |    |
                528.29    |     15 |           |      |    147.930          -     150.276?       | 2s2.7g         | 2G   | 2s2.8h         | 2H*  |    |
                528.72    |     18 |           |      |    147.934          -     150.278        | 2s2.7h         | 2H*  | 2s2.8i         | 2I   |    |
                528.99    |     27 |           |      |    147.936          -     150.280        | 2s2.7i         | 2I   | 2s2.8k         | 2K*  |    |
