
----------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek             |      Lower level      |      Upper level      |Type|
              Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)            |-----------------------|-----------------------|    |
               Vac (nm)  |        |           |      |                                        | Conf.          | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                         |        |           |      |                                        |                |      |                |      |    |
               198.1974  |    460 | 2.4e+08   | D    |    121.293772     -     127.54937      | 1s2.2s.3s      | 3S   | 1s2.2s.3p      | 3P*  |    |
               199.2060  |    200 | 2.3e+08   | D    |    121.293772     -     127.517692     | 1s2.2s.3s      | 3S   | 1s2.2s.3p      | 3P*  |    |
               199.7345  |     80 | 2.3e+08   | D    |    121.293772     -     127.50122      | 1s2.2s.3s      | 3S   | 1s2.2s.3p      | 3P*  |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |   Rel. |    Aki    | Acc. |            Ei           Ek             |      Lower level      |      Upper level      |Type|
              Wavelength |   Int. |    s^-1   |      |           (eV)         (eV)            |-----------------------|-----------------------|    |
               Air (nm)  |        |           |      |                                        | Conf.          | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                         |        |           |      |                                        |                |      |                |      |    |
               213.43    |    80* |           |      |    187.478        -     193.285        | 1s2.2s.6s      | 3S   | 1s2.2s.7p      | 3P*  |    |
               213.43    |    80* |           |      |    187.478        -     193.285        | 1s2.2s.6s      | 3S   | 1s2.2s.7p      | 3P*  |    |
               214.03    |     80 |           |      |    196.873        -     202.664        | 1s2.2s.8k      |      | 1s2.2s.12[k-o] |      |    |
               215.93    |     40 |           |      |    127.16074      -     132.900        | 1s2.2s.3p      | 1P*  | 1s2.2s.3d      | 1D   |    |
               228.79    |   90bl |           |      |    193.653        -     199.070        | 1s2.2s.7f      | 3F*  | 1s2.2s.9g      | 3G   |    |
                         |        |           |      |                                        |                |      |                |      |    |
               229.73    | 180bl* |           |      |    193.68         -     199.08+x       | 1s2.2s.7g      | 1G   | 1s2.2s.9h      | 1H*  |    |
               229.73    | 180bl* |           |      |    193.68         -     199.08         | 1s2.2s.7g      | 1G   | 1s2.2s.9h      | 3H*  |    |
               229.73    | 180bl* |           |      |    193.664        -     199.059        | 1s2.2s.7h      | 1H*  | 1s2.2s.9ikl    |      |    |
               229.73    | 180bl* |           |      |    193.664        -     199.059        | 1s2.2s.7h      | 3H*  | 1s2.2s.9ikl    |      |    |
               229.93    | 120bl* |           |      |    193.69         -     199.08         | 1s2.2s.7g      | 3G   | 1s2.2s.9h      | 3H*  |    |
                         |        |           |      |                                        |                |      |                |      |    |
               229.93    | 120bl* |           |      |    193.69         -     199.08+x       | 1s2.2s.7g      | 3G   | 1s2.2s.9h      | 1H*  |    |
               230.63    |    140 |           |      |    193.682        -     199.059        | 1s2.2s.7i      |      | 1s2.2s.9ikl    |      |    |
               231.23    |     80 |           |      |    188.18         -     193.54         | 1s2.2s.6p      | 3P*  | 1s2.2s.7d      | 3D   |    |
               231.83    |     30 |           |      |    193.674        -     199.021?       | 1s2.2s.7f      | 1F*  | 1s2.2s.9g      | 1G   |    |
