
----------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |     Rel. |    Aki    | Acc. |           Ei           Ek           |     Lower level      |     Upper level      |Type|
           Wavelength |     Int. |    s^-1   |      |          (eV)         (eV)          |----------------------|----------------------|    |
            Vac (nm)  |          |           |      |                                     | Conf.         | Term | Conf.         | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------
                      |          |           |      |                                     |               |      |               |      |    |
             116.50   |        * |           |      |   [204.26157]    -    [214.90817]   | 1s2.5f        | 2F*  | 1s2.6g        | 2G   |    |
             116.50   |        * |           |      |   [204.26355]    -    [214.90817]   | 1s2.5f        | 2F*  | 1s2.6g        | 2G   |    |
             116.50   |        * |           |      |   [204.2653]     -    [214.90887]   | 1s2.5g        | 2G   | 1s2.6h        | 2H*  |    |
             180.00   |      100 |           |      |   [228.34692]    -    [235.2269]    | 1s2.9l        | 2L   | 1s2.15[g-t]   |      |    |
             182.00   |      100 |           |      |   1119.373       -    1126.185      | 1s.2s.(3S).6p | 4P*  | 1s.2s.(3S).7d | 4D   |    |
                      |          |           |      |                                     |               |      |               |      |    |
             183.90   |      100 |           |      |   1119.592       -    1126.334      | 1s.2s.(3S).6d | 4D   | 1s.2s.(3S).7f | 4F*  |    |
             185.90   |    100bl |           |      |   [225.1915]     -    [231.8683]    | 1s2.8s        | 2S   | 1s2.11p       | 2P*  |    |
             187.50   |     100* |           |      |   [214.7044]     -    [221.3154]    | 1s2.6p        | 2P*  | 1s2.7d        | 2D   |    |
             187.50   |     100* |           |      |   [214.7119]     -    [221.3169]    | 1s2.6p        | 2P*  | 1s2.7d        | 2D   |    |
             191.20   |   200bl* |           |      |   [225.40511]    -    [231.8979]    | 1s2.8p        | 2P*  | 1s2.11d       | 2D   |    |
                      |          |           |      |                                     |               |      |               |      |    |
             191.20   |   200bl* |           |      |   [225.40832]    -    [231.8979]    | 1s2.8p        | 2P*  | 1s2.11d       | 2D   |    |
             191.2    |    200bl |           |      |   1119.891       -    1126.370      | 1s.2s.(3S).6f | 4F*  | 1s.2s.(3S).7g | 4G   |    |
             192.90   |     300* |           |      |   [214.8924]     -    [221.3246]    | 1s2.6d        | 2D   | 1s2.7f        | 2F*  |    |
             192.90   |     300* |           |      |   [214.8946]     -    [221.3246]    | 1s2.6d        | 2D   | 1s2.7f        | 2F*  |    |
             193.10   |     500* |           |      |   [214.9066]     -    [221.32560]   | 1s2.6f        | 2F*  | 1s2.7g        | 2G   |    |
                      |          |           |      |                                     |               |      |               |      |    |
             193.10   |     500* |           |      |   [214.90817]    -    [221.32604]   | 1s2.6g        | 2G   | 1s2.7h        | 2H*  |    |
             193.10   |     500* |           |      |   [214.90887]    -    [221.32630]   | 1s2.6h        | 2H*  | 1s2.7i        | 2I   |    |
             193.70   |    200i* |           |      |   [225.4914]     -    [231.90064]   | 1s2.8k        | 2K*  | 1s2.11[k-n]   |      |    |
             194.20   |    200i* |           |      |   [225.4839]     -    [231.8683]    | 1s2.8d        | 2D   | 1s2.11p       | 2P*  |    |
             194.2    |    200bl |           |      |   1120.001       -    1126.387      | 1s.2s.(3S).6g | 4G   | 1s.2s.(3S).7h | 4H*  |    |
