
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |         Lower level         |          Upper level          |Type|
          |             Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |-----------------------------|-------------------------------|    |
          |              Vac (nm)  |       |           |      |                                         | Conf.                | Term | Conf.                | Term   |    |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni XIV    |              117.472   |       | 4.6e+02   | D    |     0.0000         -     10.55437       | 3s2.3p3              | 4S*  | 3s2.3p3              | 2P*    | M1 |
Ni XXI    |              119.11    |       | 1.0e+03   | D    |    15.9059         -     26.3156        | 2s2.2p4              | 3P   | 2s2.2p4              | 1D     | M1 |
Ni XII    |              122.505   |       |           |      |    60.2030+x       -     70.324+x       | 3s2.3p4.(3P).3d      | 4F   | 3s2.3p4.(1D).3d      | 2F     | M1 |
Ni XIII   |              127.723   |       | 2.5e+03   | E    |     2.42287        -     12.13014       | 3s2.3p4              | 3P   | 3s2.3p4              | 1S     | M1 |
Ni II     |              131.722   |   500 |           |      |                                         |                      |      |                      |        |    |
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni II     |              133.520   |   400 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              134.572   |    58 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              135.707   |    69 |           |      |                                         |                      |      |                      |        |    |
Ni II     |              137.014   |   500 |           |      |                                         |                      |      |                      |        |    |
Ni XII    |              137.052   |       |           |      |    56.29+x         -     65.3347+x      | 3s2.3p4.(3P).3d      | 4D   | 3s2.3p4.(1D).3d      | 2G     | M1 |
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              139.819   |    76 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              141.145   |    74 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              141.958   |    69 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              142.122   |    74 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              142.745   |    70 |           |      |                                         |                      |      |                      |        |    |
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni III    |              142.887   |   200 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              142.893   |    67 |           |      |                                         |                      |      |                      |        |    |
Ni III    |              143.431   |   200 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              143.524   |    67 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              143.882   |    70 |           |      |                                         |                      |      |                      |        |    |
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              144.901   |    73 |           |      |                                         |                      |      |                      |        |    |
Ni III    |              145.150   |   200 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              145.222   |    76 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              145.542   |    70 |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              147.263   |    69 |           |      |                                         |                      |      |                      |        |    |
          |                        |       |           |      |                                         |                      |      |                      |        |    |
Ni IV     |              147.682   |    68 |           |      |                                         |                      |      |                      |        |    |
