
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           134.572  |    58 |           |      |                     |    |
           135.707  |    69 |           |      |                     |    |
           139.819  |    76 |           |      |                     |    |
           141.145  |    74 |           |      |                     |    |
           141.958  |    69 |           |      |                     |    |
                    |       |           |      |                     |    |
           142.122  |    74 |           |      |                     |    |
           142.745  |    70 |           |      |                     |    |
           142.893  |    67 |           |      |                     |    |
           143.524  |    67 |           |      |                     |    |
           143.882  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           144.901  |    73 |           |      |                     |    |
           145.222  |    76 |           |      |                     |    |
           145.542  |    70 |           |      |                     |    |
           147.263  |    69 |           |      |                     |    |
           147.682  |    68 |           |      |                     |    |
                    |       |           |      |                     |    |
           148.225  |    73 |           |      |                     |    |
           148.953  |    67 |           |      |                     |    |
           148.983  |    72 |           |      |                     |    |
           149.301  |    69 |           |      |                     |    |
           149.367  |    74 |           |      |                     |    |
                    |       |           |      |                     |    |
           149.871  |    68 |           |      |                     |    |
           149.877  |    71 |           |      |                     |    |
           149.890  |    72 |           |      |                     |    |
           149.997  |    67 |           |      |                     |    |
           151.274  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           151.666  |    70 |           |      |                     |    |
           152.063  |    73 |           |      |                     |    |
           152.531  |    75 |           |      |                     |    |
           152.768  |    74 |           |      |                     |    |
           152.780  |    74 |           |      |                     |    |
                    |       |           |      |                     |    |
           153.471  |    76 |           |      |                     |    |
           153.725  |    73 |           |      |                     |    |
           153.893  |    69 |           |      |                     |    |
           154.341  |    75 |           |      |                     |    |
           154.623  |    74 |           |      |                     |    |
                    |       |           |      |                     |    |
           154.804  |    68 |           |      |                     |    |
           155.728  |    69 |           |      |                     |    |
           156.018  |    67 |           |      |                     |    |
