
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |                Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |         Lower level          |          Upper level          |Type|
          |               Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |------------------------------|-------------------------------|    |
          |                Vac (nm)  |       |           |      |                                         | Conf.                | Term  | Conf.                 | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O I       |               102.5762   |  250* | 7.66e+07  | B    |     0.000000       -     12.0870377     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3d      | 3D*   |    |
O I       |               102.5762   |  250* | 1.91e+07  | B    |     0.000000       -     12.0870266     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3d      | 3D*   |    |
O I       |               102.5762   |  250* | 2.11e+06  | B    |     0.000000       -     12.0870179     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3d      | 3D*   |    |
O I       |               102.7431   |   90* | 3.17e+07  | B    |     0.0196224      -     12.0870179     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3d      | 3D*   |    |
O I       |               102.7431   |   90* | 5.71e+07  | B    |     0.0196224      -     12.0870266     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).3d      | 3D*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O I       |               103.9230   |   160 | 9.43e+07  | A    |     0.000000       -     11.9303850     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).4s      | 3S*   |    |
O I       |               104.0942   |    60 | 5.64e+07  | A    |     0.0196224      -     11.9303850     | 2s2.2p4              | 3P    | 2s2.2p3.(4S*).4s      | 3S*   |    |
O II      |               107.4962   |     8 |           |      |     3.324084       -     14.857920      | 2s2.2p3              | 2D*   | 2s.2p4                | 4P    |    |
O II      |               108.3139   |    25 | 2.55e+07  | B    |    14.857920       -     26.3047196     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4S*   |    |
O II      |               108.5056   |    20 | 1.82e+07  | B    |    14.878156       -     26.3047196     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4S*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
O II      |               108.6022   |    18 | 9.44e+06  | C+   |    14.888376       -     26.3047196     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4S*   |    |
O II      |               112.8081   |    50 | 3.32e+07  | B    |    14.857920       -     25.8487455     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4P*   |    |
O II      |               112.9251   |    40 | 2.21e+07  | B    |    14.857920       -     25.8373459     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4P*   |    |
O II      |               113.0147   |    40 | 1.33e+07  | B    |    14.878156       -     25.8487455     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4P*   |    |
O II      |               113.1325   |    20 | 6.05e+06  | B    |    14.878156       -     25.8373459     | 2s.2p4               | 4P    | 2s2.2p2.(3P).3p       | 4P*   |    |
          |                          |       |           |      |                                         |                      |       |                       |       |    |
