
--------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |       Lower level       |         Upper level          |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-------------------------|------------------------------|    |
              Vac (nm)  |       |           |      |                                     | Conf.            | Term | Conf.                 | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                     |                  |      |                       |      |    |
             102.5762   |  250* | 7.66e+07  | B    |     0.000000     -     12.0870377   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3d      | 3D*  |    |
             102.5762   |  250* | 1.91e+07  | B    |     0.000000     -     12.0870266   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3d      | 3D*  |    |
             102.5762   |  250* | 2.11e+06  | B    |     0.000000     -     12.0870179   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3d      | 3D*  |    |
             102.7431   |   90* | 3.17e+07  | B    |     0.0196224    -     12.0870179   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3d      | 3D*  |    |
             102.7431   |   90* | 5.71e+07  | B    |     0.0196224    -     12.0870266   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3d      | 3D*  |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             103.9230   |   160 | 9.43e+07  | A    |     0.000000     -     11.9303850   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).4s      | 3S*  |    |
             104.0942   |    60 | 5.64e+07  | A    |     0.0196224    -     11.9303850   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).4s      | 3S*  |    |
             115.21512  |    40 | 5.28e+08  | B    |     1.9673641    -     12.7284684   | 2s2.2p4          | 1D   | 2s2.2p3.(2D*).3s      | 1D*  |    |
             130.2168   |   900 | 3.41e+08  | A    |     0.000000     -      9.5213634   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3s      | 3S*  |    |
             130.4858   |   600 | 2.03e+08  | A    |     0.0196224    -      9.5213634   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3s      | 3S*  |    |
                        |       |           |      |                                     |                  |      |                       |      |    |
             130.6029   |   300 | 6.76e+07  | A    |     0.0281416    -      9.5213634   | 2s2.2p4          | 3P   | 2s2.2p3.(4S*).3s      | 3S*  |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |       Lower level       |         Upper level          |Type|
             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-------------------------|------------------------------|    |
              Air (nm)  |       |           |      |                                     | Conf.            | Term | Conf.                 | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                     |                  |      |                       |      |    |
             297.229    |   265 | 7.54e-02  | B+   |     0.0196224    -      4.1897461   | 2s2.2p4          | 3P   | 2s2.2p4               | 1S   | M1 |
             382.341    |   120 | 6.63e+05  | C+   |    12.5391918    -     15.7810337   | 2s2.2p3.(2D*).3s | 3D*  | 2s2.2p3.(2P*).3p      | 3D   |    |
