
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                Observed  |  Rel. |    Aki    | Acc. |             Ei           Ek             |        Lower level         |        Upper level         |Type|
               Wavelength |  Int. |    s^-1   |      |            (eV)         (eV)            |----------------------------|----------------------------|    |
                Vac (nm)  |       |           |      |                                         | Conf.              | Term  | Conf.              | Term  |    |
---------------------------------------------------------------------------------------------------------------------------------------------------------------
                          |       |           |      |                                         |                    |       |                    |       |    |
               107.4962   |     8 |           |      |     3.324084       -     14.857920      | 2s2.2p3            | 2D*   | 2s.2p4             | 4P    |    |
               108.3139   |    25 | 2.55e+07  | B    |    14.857920       -     26.3047196     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4S*   |    |
               108.5056   |    20 | 1.82e+07  | B    |    14.878156       -     26.3047196     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4S*   |    |
               108.6022   |    18 | 9.44e+06  | C+   |    14.888376       -     26.3047196     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4S*   |    |
               112.8081   |    50 | 3.32e+07  | B    |    14.857920       -     25.8487455     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
                          |       |           |      |                                         |                    |       |                    |       |    |
               112.9251   |    40 | 2.21e+07  | B    |    14.857920       -     25.8373459     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
               113.0147   |    40 | 1.33e+07  | B    |    14.878156       -     25.8487455     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
               113.1325   |    20 | 6.05e+06  | B    |    14.878156       -     25.8373459     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
               113.1914   |    35 | 3.89e+07  | B    |    14.878156       -     25.8316236     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
               113.2389   |    35 | 1.82e+07  | B    |    14.888376       -     25.8373459     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
                          |       |           |      |                                         |                    |       |                    |       |    |
               113.2975   |    18 | 7.45e+06  | B    |    14.888376       -     25.8316236     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4P*   |    |
               114.2601   |     8 |           |      |    22.9989592      -     33.85000       | 2s2.2p2.(3P).3s    | 4P    | 2s2.2p2.(3P).7p    | 4P*   |    |
               114.2947   |     7 |           |      |    22.9662468      -     33.81401       | 2s2.2p2.(3P).3s    | 4P    | 2s2.2p2.(3P).7p    | 4D*   |    |
               114.3258   |    10 |           |      |    22.9989592      -     33.84377       | 2s2.2p2.(3P).3s    | 4P    | 2s2.2p2.(3P).7p    | 4D*   |    |
               114.3548   |     9 |           |      |    22.9793019      -     33.82136       | 2s2.2p2.(3P).3s    | 4P    | 2s2.2p2.(3P).7p    | 4D*   |    |
                          |       |           |      |                                         |                    |       |                    |       |    |
               114.7246   |    10 | 5.78e+06  | C+   |    14.857920       -     25.6650357     | 2s.2p4             | 4P    | 2s2.2p2.(3P).3p    | 4D*   |    |
