
----------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                |      |                |      |    |
           133.8612  |   200 | 2.17e+08  | B    |    22.37677    -     31.63889   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
           134.2992  |   130 | 4.29e+07  | B    |    22.40694    -     31.63889   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
           134.3512  |   230 | 2.57e+08  | B    |    22.40694    -     31.63530   | 2s.2p2         | 2P   | 2p3            | 2D*  |    |
----------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |      Lower level      |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------|-----------------------|    |
           Air (nm)  |       |           |      |                                 | Conf.          | Term | Conf.          | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                |      |                |      |    |
           244.9372  |   200 |           |      |                                 |                |      |                |      |    |
           245.0040  |   200 |           |      |                                 |                |      |                |      |    |
           249.344   |   200 | 1.91e+07  | B    |    63.77391    -     68.7448    | 2s.2p.(3P*).3d | 2P*  | 2s.2p.(1P*).3p | 2S   |    |
           249.377   |   200 | 8.48e+07  | B    |    54.42706    -     59.39736   | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
           250.773   |   200 | 2.32e+08  | B    |    54.42706    -     59.36966   | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
                     |       |           |      |                                 |                |      |                |      |    |
           250.919   |   230 | 1.94e+08  | B    |    54.45769    -     59.39736   | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
           251.72    |   200 | 1.24e+08  | B    |    54.45769    -     59.38135   | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4P   |    |
           283.626   |   160 | 8.43e+07  | B    |    54.45769    -     58.82778   | 2s.2p.(3P*).3s | 4P*  | 2s.2p.(3P*).3p | 4S   |    |
           292.145   |   160 | 1.27e+08  | B    |    57.94338    -     62.18606   | 2s.2p.(3P*).3p | 2P   | 2s.2p.(3P*).3d | 2D*  |    |
           306.342   |   460 | 1.30e+08  | B    |    44.33852    -     48.38458   | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
                     |       |           |      |                                 |                |      |                |      |    |
           307.161   |   410 | 1.29e+08  | B    |    44.33852    -     48.37382   | 2s2.3s         | 2S   | 2s2.3p         | 2P*  |    |
           320.966   |   160 | 2.53e+07  | B    |    58.11883    -     61.98057   | 2s.2p.(3P*).3p | 4D   | 2s.2p.(3P*).3d | 4D*  |    |
           334.808   |   230 | 8.51e+07  | B    |    56.14086    -     59.84297   | 2s.2p.(3P*).3s | 2P*  | 2s.2p.(3P*).3p | 2D   |    |
