
----------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level         |         Upper level         |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------------|-----------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.                | Term | Conf.                | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                      |      |                      |      |    |
           137.1292  |   640 | 3.336e+08 | A+   |    19.68840    -     28.72979   | 1s2.2s.2p            | 1P*  | 1s2.2p2              | 1D   |    |
           150.672   |  160w |           |      |                                 |                      |      |                      |      |    |
           164.368   |  315w |           |      |                                 |                      |      |                      |      |    |
           170.7996  |   160 | 2.02e+09  | B    |    92.96837    -    100.22741   | 1s2.2s.4f            | 1F*  | 1s2.2s.5g            | 1G   |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |         Lower level         |         Upper level         |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |-----------------------------|-----------------------------|    |
           Air (nm)  |       |           |      |                                 | Conf.                | Term | Conf.                | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                      |      |                      |      |    |
           278.101   |  1000 | 1.40e+08  | B    |    67.81597    -     72.27290   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
           278.699   |   920 | 1.39e+08  | B    |    67.81597    -     72.26333   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
           278.985   |   775 | 1.38e+08  | B    |    67.81597    -     72.25878   | 1s2.2s.3s            | 3S   | 1s2.2s.3p            | 3P*  |    |
           294.133   |   200 |           |      |                                 |                      |      |                      |      |    |
           294.165   |   210 |           |      |                                 |                      |      |                      |      |    |
                     |       |           |      |                                 |                      |      |                      |      |    |
           314.466   |   160 | 8.86e+07  | B    |    72.01311    -     75.95465   | 1s2.2s.3p            | 1P*  | 1s2.2s.3d            | 1D   |    |
           412.399   |   100 | 4.81e+07  | B    |    81.01416    -     84.01975   | 1s2.2p.(2P*<3/2>).3s | 3P*  | 1s2.2p.(2P*<3/2>).3p | 3D   |    |
           493.027   |  230w |           |      |                                 |                      |      |                      |      |    |
           559.791   |   130 | 1.48e+07  | B    |    72.27290    -     74.48712   | 1s2.2s.3p            | 3P*  | 1s2.2s.3d            | 3D   |    |
           650.024   |   130 | 1.11e+07  | B    |    84.01975    -     85.92660   | 1s2.2p.(2P*<3/2>).3p | 3D   | 1s2.2p.(2P*<3/2>).3d | 3F*  |    |
