
--------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level       |      Upper level       |Type|
          |           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------|------------------------|    |
          |            Vac (nm)  |       |           |      |                                   | Conf.           | Term | Conf.           | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |       |           |      |                                   |                 |      |                 |      |    |
O IV      |            133.8612  |   200 | 2.17e+08  | B    |    22.37677     -     31.63889    | 2s.2p2          | 2P   | 2p3             | 2D*  |    |
O IV      |            134.2992  |   130 | 4.29e+07  | B    |    22.40694     -     31.63889    | 2s.2p2          | 2P   | 2p3             | 2D*  |    |
O IV      |            134.3512  |   230 | 2.57e+08  | B    |    22.40694     -     31.63530    | 2s.2p2          | 2P   | 2p3             | 2D*  |    |
O III     |            147.689   |   160 | 3.05e+08  | B    |    36.074224    -     44.469274   | 2s2.2p.(2P*).3p | 1P   | 2s2.2p.(2P*).4s | 1P*  |    |
O III     |            159.001   |   285 | 3.96e+08  | C+   |    36.479010    -     44.276864   | 2s2.2p.(2P*).3p | 3D   | 2s2.2p.(2P*).4s | 3P*  |    |
          |                      |       |           |      |                                   |                 |      |                 |      |    |
O III     |            159.133   |   160 | 3.53e+08  | C+   |    36.451707    -     44.243137   | 2s2.2p.(2P*).3p | 3D   | 2s2.2p.(2P*).4s | 3P*  |    |
O III     |            176.012   |   220 |           |      |                                   |                 |      |                 |      |    |
O III     |            176.042   |   110 | 8.38e+07  | C+   |    37.233936    -     44.276864   | 2s2.2p.(2P*).3p | 3P   | 2s2.2p.(2P*).4s | 3P*  |    |
O III     |            176.322   |   220 |           |      |                                   |                 |      |                 |      |    |
O III     |            176.448   |   220 | 2.50e+08  | C+   |    37.250127    -     44.276864   | 2s2.2p.(2P*).3p | 3P   | 2s2.2p.(2P*).4s | 3P*  |    |
          |                      |       |           |      |                                   |                 |      |                 |      |    |
O III     |            176.778   |   750 |           |      |                                   |                 |      |                 |      |    |
O III     |            176.824   |   550 |           |      |                                   |                 |      |                 |      |    |
O III     |            177.167   |   360 |           |      |                                   |                 |      |                 |      |    |
O III     |            177.300   |   110 | 1.37e+08  | C+   |    37.250127    -     44.243137   | 2s2.2p.(2P*).3p | 3P   | 2s2.2p.(2P*).4s | 3P*  |    |
O III     |            177.385   |   110 |           |      |                                   |                 |      |                 |      |    |
          |                      |       |           |      |                                   |                 |      |                 |      |    |
O III     |            177.916   |   220 |           |      |                                   |                 |      |                 |      |    |
O III     |            178.103   |   160 |           |      |                                   |                 |      |                 |      |    |
O III     |            178.485   |   160 |           |      |                                   |                 |      |                 |      |    |
O III     |            178.966   |   220 |           |      |                                   |                 |      |                 |      |    |
O III     |            184.826   |   110 |           |      |                                   |                 |      |                 |      |    |
          |                      |       |           |      |                                   |                 |      |                 |      |    |
O III     |            185.662   |   110 |           |      |                                   |                 |      |                 |      |    |
O III     |            187.278   |   285 |           |      |                                   |                 |      |                 |      |    |
O III     |            187.287   |   285 |           |      |                                   |                 |      |                 |      |    |
O III     |            187.494   |   285 |           |      |                                   |                 |      |                 |      |    |
