
--------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |       |           |      |                     |    |
--------------------------------------------------------------------------------------
          |                    |       |           |      |                     |    |
Os I      |           200.145  |  9600 |           |      |                     |    |
Os I      |           200.373  | 13000 |           |      |                     |    |
Os I      |           201.015  | 17000 |           |      |                     |    |
Os I      |           201.814  | 29000 |           |      |                     |    |
Os I      |           202.276  | 14000 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           202.823  | 14000 |           |      |                     |    |
Os I      |           203.444  | 18000 |           |      |                     |    |
Os I      |           204.536  | 26000 |           |      |                     |    |
Os I      |           205.869  |  8600 |           |      |                     |    |
Os I      |           205.878  |       |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           206.169  | 13000 |           |      |                     |    |
Os II     |           206.721  |  7800 |           |      |                     |    |
Os II     |           207.067  |  4200 |           |      |                     |    |
Os I      |           207.695  |  7200 |           |      |                     |    |
Os I      |           207.997  | 14000 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           208.254  |  2900 |           |      |                     |    |
Os I      |           208.903  |  2900 |           |      |                     |    |
Os I      |           208.921  |  2900 |           |      |                     |    |
Os I      |           209.760  |  6000 |           |      |                     |    |
Os I      |           210.063  |  5300 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           211.766  |  2100 |           |      |                     |    |
Os I      |           211.796  |  4800 |           |      |                     |    |
Os I      |           212.384  |  1900 |           |      |                     |    |
Os I      |           213.711  |  5300 |           |      |                     |    |
Os I      |           215.459  |  2600 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           215.784  |  1300 |           |      |                     |    |
Os I      |           215.853  |  1200 |           |      |                     |    |
Os I      |           216.690  |  3100 |           |      |                     |    |
Os I      |           216.775  |  1100 |           |      |                     |    |
Os I      |           217.165  |  2100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           218.468  |   960 |           |      |                     |    |
Os II     |           219.439  |   840 |           |      |                     |    |
Os I      |           220.249  |   760 |           |      |                     |    |
Os I      |           222.798  |   600 |           |      |                     |    |
Os I      |           223.461  |  1100 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           225.215  |  1300 |           |      |                     |    |
Os II     |           225.585  |  2000 |           |      |                     |    |
Os I      |           226.460  |  1400 |           |      |                     |    |
Os I      |           226.828  |   360 |           |      |                     |    |
Os I      |           227.017  |   960 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os II     |           228.226  |  1400 |           |      |                     |    |
Os I      |           228.367  |   840 |           |      |                     |    |
Os I      |           228.932  |   570 |           |      |                     |    |
Os I      |           229.731  |   380 |           |      |                     |    |
Os I      |           230.831  |   660 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os II     |           231.375  |   190 |           |      |                     |    |
Os I      |           232.018  |   550 |           |      |                     |    |
Os I      |           232.398  |   310 |           |      |                     |    |
Os I      |           232.424  |   660 |           |      |                     |    |
Os I      |           232.699  |   330 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           233.456  |   310 |           |      |                     |    |
Os II     |           233.680  |   720 |           |      |                     |    |
Os I      |           233.863  |   430 |           |      |                     |    |
Os I      |           234.069  |   290 |           |      |                     |    |
Os I      |           234.374  |   430 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           234.575  |   260 |           |      |                     |    |
Os I      |           234.738  |   430 |           |      |                     |    |
Os II     |           235.023  |   230 |           |      |                     |    |
Os I      |           235.299  |   360 |           |      |                     |    |
Os II     |           235.528  |   120 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           235.692  |   240 |           |      |                     |    |
Os I      |           235.725  |   240 |           |      |                     |    |
Os I      |           236.241  |   310 |           |      |                     |    |
Os I      |           236.277  |   900 |           |      |                     |    |
Os II     |           236.735  |   500 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           236.924  |   290 |           |      |                     |    |
Os I      |           237.070  |   500 |           |      |                     |    |
Os I      |           237.118  |   480 |           |      |                     |    |
Os II     |           237.506  |    95 |           |      |                     |    |
Os I      |           237.703  |  2600 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           237.761  |   260 |           |      |                     |    |
Os I      |           237.939  |   900 |           |      |                     |    |
Os I      |           238.462  |   240 |           |      |                     |    |
Os I      |           238.729  |  1700 |           |      |                     |    |
Os I      |           239.429  |   330 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           239.539  |   290 |           |      |                     |    |
Os I      |           239.588  |  1100 |           |      |                     |    |
Os I      |           239.678  |   220 |           |      |                     |    |
Os I      |           240.113  |   960 |           |      |                     |    |
Os I      |           240.223  |   260 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           240.354  |   200 |           |      |                     |    |
Os I      |           240.385  |   330 |           |      |                     |    |
Os II     |           240.508  |    95 |           |      |                     |    |
Os I      |           240.545  |   290 |           |      |                     |    |
Os I      |           240.596  |   200 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           240.867  |   360 |           |      |                     |    |
Os I      |           241.098  |   240 |           |      |                     |    |
Os I      |           241.452  |   290 |           |      |                     |    |
Os I      |           241.799  |   530 |           |      |                     |    |
Os I      |           241.853  |   530 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os II     |           242.002  |    95 |           |      |                     |    |
Os II     |           242.307  |   200 |           |      |                     |    |
Os II     |           242.402  |    70 |           |      |                     |    |
Os I      |           242.456  |   500 |           |      |                     |    |
Os I      |           242.497  |  1400 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           242.681  |   240 |           |      |                     |    |
Os II     |           242.790  |    70 |           |      |                     |    |
Os I      |           243.119  |   380 |           |      |                     |    |
Os I      |           243.161  |   380 |           |      |                     |    |
Os I      |           244.602  |   360 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           245.074  |   900 |           |      |                     |    |
Os I      |           245.173  |   530 |           |      |                     |    |
Os I      |           245.390  |   530 |           |      |                     |    |
Os II     |           245.491  |   110 |           |      |                     |    |
Os I      |           245.646  |   530 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           246.142  |  1800 |           |      |                     |    |
Os II     |           246.890  |   110 |           |      |                     |    |
Os I      |           247.228  |   290 |           |      |                     |    |
Os I      |           247.478  |   290 |           |      |                     |    |
Os I      |           247.684  |   900 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           248.243  |   360 |           |      |                     |    |
Os II     |           248.624  |   530 |           |      |                     |    |
Os I      |           248.855  |  4500 |           |      |                     |    |
Os I      |           249.102  |   290 |           |      |                     |    |
Os I      |           249.169  |   290 |           |      |                     |    |
          |                    |       |           |      |                     |    |
Os I      |           249.242  |   360 |           |      |                     |    |
