
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.145  |  9600 |           |      |                     |    |
           200.373  | 13000 |           |      |                     |    |
           201.015  | 17000 |           |      |                     |    |
           201.814  | 29000 |           |      |                     |    |
           202.276  | 14000 |           |      |                     |    |
                    |       |           |      |                     |    |
           202.823  | 14000 |           |      |                     |    |
           203.444  | 18000 |           |      |                     |    |
           204.536  | 26000 |           |      |                     |    |
           205.869  |  8600 |           |      |                     |    |
           205.878  |       |           |      |                     |    |
                    |       |           |      |                     |    |
           206.169  | 13000 |           |      |                     |    |
           207.695  |  7200 |           |      |                     |    |
           207.997  | 14000 |           |      |                     |    |
           208.254  |  2900 |           |      |                     |    |
           208.903  |  2900 |           |      |                     |    |
                    |       |           |      |                     |    |
           208.921  |  2900 |           |      |                     |    |
           209.760  |  6000 |           |      |                     |    |
           210.063  |  5300 |           |      |                     |    |
           211.766  |  2100 |           |      |                     |    |
           211.796  |  4800 |           |      |                     |    |
                    |       |           |      |                     |    |
           212.384  |  1900 |           |      |                     |    |
           213.711  |  5300 |           |      |                     |    |
           215.459  |  2600 |           |      |                     |    |
           215.784  |  1300 |           |      |                     |    |
           215.853  |  1200 |           |      |                     |    |
                    |       |           |      |                     |    |
           216.690  |  3100 |           |      |                     |    |
           216.775  |  1100 |           |      |                     |    |
           217.165  |  2100 |           |      |                     |    |
           218.468  |   960 |           |      |                     |    |
           220.249  |   760 |           |      |                     |    |
                    |       |           |      |                     |    |
           222.798  |   600 |           |      |                     |    |
           223.461  |  1100 |           |      |                     |    |
           225.215  |  1300 |           |      |                     |    |
           226.460  |  1400 |           |      |                     |    |
           226.828  |   360 |           |      |                     |    |
                    |       |           |      |                     |    |
           227.017  |   960 |           |      |                     |    |
           228.367  |   840 |           |      |                     |    |
           228.932  |   570 |           |      |                     |    |
           229.731  |   380 |           |      |                     |    |
           230.831  |   660 |           |      |                     |    |
                    |       |           |      |                     |    |
           232.018  |   550 |           |      |                     |    |
           232.398  |   310 |           |      |                     |    |
           232.424  |   660 |           |      |                     |    |
           232.699  |   330 |           |      |                     |    |
           233.456  |   310 |           |      |                     |    |
                    |       |           |      |                     |    |
           233.863  |   430 |           |      |                     |    |
           234.069  |   290 |           |      |                     |    |
           234.374  |   430 |           |      |                     |    |
           234.575  |   260 |           |      |                     |    |
           234.738  |   430 |           |      |                     |    |
                    |       |           |      |                     |    |
           235.299  |   360 |           |      |                     |    |
           235.692  |   240 |           |      |                     |    |
           235.725  |   240 |           |      |                     |    |
           236.241  |   310 |           |      |                     |    |
           236.277  |   900 |           |      |                     |    |
                    |       |           |      |                     |    |
           236.924  |   290 |           |      |                     |    |
           237.070  |   500 |           |      |                     |    |
           237.118  |   480 |           |      |                     |    |
           237.703  |  2600 |           |      |                     |    |
           237.761  |   260 |           |      |                     |    |
                    |       |           |      |                     |    |
           237.939  |   900 |           |      |                     |    |
           238.462  |   240 |           |      |                     |    |
           238.729  |  1700 |           |      |                     |    |
           239.429  |   330 |           |      |                     |    |
           239.539  |   290 |           |      |                     |    |
                    |       |           |      |                     |    |
           239.588  |  1100 |           |      |                     |    |
           239.678  |   220 |           |      |                     |    |
           240.113  |   960 |           |      |                     |    |
           240.223  |   260 |           |      |                     |    |
           240.354  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           240.385  |   330 |           |      |                     |    |
           240.545  |   290 |           |      |                     |    |
           240.596  |   200 |           |      |                     |    |
           240.867  |   360 |           |      |                     |    |
           241.098  |   240 |           |      |                     |    |
                    |       |           |      |                     |    |
           241.452  |   290 |           |      |                     |    |
           241.799  |   530 |           |      |                     |    |
           241.853  |   530 |           |      |                     |    |
           242.456  |   500 |           |      |                     |    |
           242.497  |  1400 |           |      |                     |    |
                    |       |           |      |                     |    |
           242.681  |   240 |           |      |                     |    |
           243.119  |   380 |           |      |                     |    |
           243.161  |   380 |           |      |                     |    |
           244.602  |   360 |           |      |                     |    |
           245.074  |   900 |           |      |                     |    |
                    |       |           |      |                     |    |
           245.173  |   530 |           |      |                     |    |
           245.390  |   530 |           |      |                     |    |
           245.646  |   530 |           |      |                     |    |
           246.142  |  1800 |           |      |                     |    |
           247.228  |   290 |           |      |                     |    |
                    |       |           |      |                     |    |
           247.478  |   290 |           |      |                     |    |
           247.684  |   900 |           |      |                     |    |
           248.243  |   360 |           |      |                     |    |
           248.855  |  4500 |           |      |                     |    |
           249.102  |   290 |           |      |                     |    |
                    |       |           |      |                     |    |
           249.169  |   290 |           |      |                     |    |
           249.242  |   360 |           |      |                     |    |
           249.841  |  2600 |           |      |                     |    |
           249.992  |   330 |           |      |                     |    |
           250.229  |   330 |           |      |                     |    |
                    |       |           |      |                     |    |
           250.439  |   500 |           |      |                     |    |
           250.451  |   260 |           |      |                     |    |
           251.287  |   660 |           |      |                     |    |
           251.325  |  2400 |           |      |                     |    |
           251.504  |   660 |           |      |                     |    |
                    |       |           |      |                     |    |
           251.792  |   500 |           |      |                     |    |
           251.844  |   660 |           |      |                     |    |
           251.929  |   200 |           |      |                     |    |
           251.979  |   330 |           |      |                     |    |
           253.244  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.810  |   240 |           |      |                     |    |
           254.251  |  1000 |           |      |                     |    |
           255.446  |   310 |           |      |                     |    |
           256.649  |   600 |           |      |                     |    |
           256.688  |   290 |           |      |                     |    |
                    |       |           |      |                     |    |
           256.883  |   480 |           |      |                     |    |
           257.178  |   340 |           |      |                     |    |
           258.105  |   360 |           |      |                     |    |
           258.196  |   740 |           |      |                     |    |
           259.076  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           259.198  |   200 |           |      |                     |    |
           260.920  |   210 |           |      |                     |    |
           260.956  |   380 |           |      |                     |    |
           261.078  |   400 |           |      |                     |    |
           261.263  |   470 |           |      |                     |    |
                    |       |           |      |                     |    |
           261.306  |  1800 |           |      |                     |    |
           261.994  |   800 |           |      |                     |    |
           262.062  |   230 |           |      |                     |    |
           262.182  |   530 |           |      |                     |    |
           262.848  |   380 |           |      |                     |    |
                    |       |           |      |                     |    |
           263.713  |  3800 |           |      |                     |    |
           264.411  |  1900 |           |      |                     |    |
           264.689  |   340 |           |      |                     |    |
           264.773  |   380 |           |      |                     |    |
           264.934  |   380 |           |      |                     |    |
                    |       |           |      |                     |    |
           265.668  |   490 |           |      |                     |    |
           265.860  |  1900 |           |      |                     |    |
           265.983  |   640 |           |      |                     |    |
           266.118  |   380 |           |      |                     |    |
           267.457  |   580 |           |      |                     |    |
                    |       |           |      |                     |    |
           267.488  |   400 |           |      |                     |    |
           268.982  |  2100 |           |      |                     |    |
           269.959  |   510 |           |      |                     |    |
           270.670  |   580 |           |      |                     |    |
           271.464  |  3000 |           |      |                     |    |
