
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           206.721  |  7800 |           |      |                     |    |
           207.067  |  4200 |           |      |                     |    |
           219.439  |   840 |           |      |                     |    |
           225.585  |  2000 |           |      |                     |    |
           228.226  |  1400 |           |      |                     |    |
                    |       |           |      |                     |    |
           231.375  |   190 |           |      |                     |    |
           233.680  |   720 |           |      |                     |    |
           235.023  |   230 |           |      |                     |    |
           235.528  |   120 |           |      |                     |    |
           236.735  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           237.506  |    95 |           |      |                     |    |
           240.508  |    95 |           |      |                     |    |
           242.002  |    95 |           |      |                     |    |
           242.307  |   200 |           |      |                     |    |
           242.402  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           242.790  |    70 |           |      |                     |    |
           245.491  |   110 |           |      |                     |    |
           246.890  |   110 |           |      |                     |    |
           248.624  |   530 |           |      |                     |    |
           250.718  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           250.971  |    70 |           |      |                     |    |
           253.800  |   780 |           |      |                     |    |
           254.883  |    30 |           |      |                     |    |
           256.316  |   190 |           |      |                     |    |
           257.832  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           258.003  |   130 |           |      |                     |    |
           259.600  |   170 |           |      |                     |    |
           263.122  |    27 |           |      |                     |    |
           266.429  |    40 |           |      |                     |    |
           273.136  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           278.388  |    40 |           |      |                     |    |
           286.337  |    35 |           |      |                     |    |
           287.939  |    35 |           |      |                     |    |
           288.020  |    30 |           |      |                     |    |
           304.274  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           317.393  |   180 |           |      |                     |    |
           321.331  |   150 |           |      |                     |    |
           360.448  |    95 |           |      |                     |    |
