
-----------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |      Lower level       |      Upper level       |Type|
          |            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |------------------------|------------------------|    |
          |             Vac (nm)  |       |           |      |                                     | Conf.           | Term | Conf.           | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P V       |             100.038   |   150 | 1.6e+09   | C    |    25.317447     -     37.711140    | 2p6.3d          | 2D   | 2p6.4p          | 2P*  |    |
P III     |             100.3598  |   250 |           |      |                                     |                 |      |                 |      |    |
P IV      |             102.5563  |   570 | 7.7e+08   | C+   |     8.449086     -     20.538482    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
P IV      |             102.8096  |   500 | 1.01e+09  | C+   |     8.420762     -     20.480377    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
P IV      |             103.0517  |  570* | 7.5e+08   | C+   |     8.449086     -     20.480377    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P IV      |             103.0517  |  570* | 2.26e+09  | C+   |     8.507196     -     20.538482    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
P IV      |             103.3111  |   500 | 2.99e+09  | C+   |     8.449086     -     20.450131    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
P IV      |             103.5517  |   500 | 1.24e+09  | C+   |     8.507196     -     20.480377    | 3s.3p           | 3P*  | 3p2             | 3P   |    |
P V       |             111.798   |   900 | 1.20e+09  | C    |     0.00000      -     11.090045    | 2p6.3s          | 2S   | 2p6.3p          | 2P*  |    |
P IV      |             111.8551  |   570 | 3.24e+09  | C    |    13.041949     -     24.126301    | 3s.3p           | 1P*  | 3p2             | 1S   |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P V       |             112.801   |   700 | 1.16e+09  | C    |     0.00000      -     10.991431    | 2p6.3s          | 2S   | 2p6.3p          | 2P*  |    |
P IV      |             120.6422  |   200 |           |      |                                     |                 |      |                 |      |    |
P II      |             124.982   |    20 |           |      |                                     |                 |      |                 |      |    |
P II      |             130.187   |    20 | 5.0e+07   | C    |     0.00000      -      9.523515    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
P II      |             130.447   |    20 | 1.5e+08   | C    |     0.020445     -      9.524851    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
          |                       |       |           |      |                                     |                 |      |                 |      |    |
P II      |             130.468   |    15 | 3.7e+07   | C    |     0.020445     -      9.523515    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
P II      |             130.548   |    35 | 3.8e+07   | C    |     0.020445     -      9.517530    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
P II      |             130.987   |    25 | 6.2e+07   | C    |     0.058163     -      9.523515    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
P II      |             131.070   |    60 | 1.1e+08   | C    |     0.058163     -      9.517530    | 3s2.3p2         | 3P   | 3s.3p3          | 3P*  |    |
