
--------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |   Lower level    |   Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------|------------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.     | Term | Conf.     | Term |    |
--------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |           |      |           |      |    |
           124.982   |    20 |           |      |                                   |           |      |           |      |    |
           130.187   |    20 | 5.0e+07   | C    |     0.00000     -      9.523515   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
           130.447   |    20 | 1.5e+08   | C    |     0.020445    -      9.524851   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
           130.468   |    15 | 3.7e+07   | C    |     0.020445    -      9.523515   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
           130.548   |    35 | 3.8e+07   | C    |     0.020445    -      9.517530   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
                     |       |           |      |                                   |           |      |           |      |    |
           130.987   |    25 | 6.2e+07   | C    |     0.058163    -      9.523515   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
           131.070   |    60 | 1.1e+08   | C    |     0.058163    -      9.517530   | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
           145.289   |    30 |           |      |                                   |           |      |           |      |    |
           153.251   |    80 | 7.2e+06   | D    |     0.00000     -      8.090148   | 3s2.3p2   | 3P   | 3s.3p3    | 3D*  |    |
           153.590   |   120 | 9.6e+06   | C+   |     0.020445    -      8.092740   | 3s2.3p2   | 3P   | 3s.3p3    | 3D*  |    |
                     |       |           |      |                                   |           |      |           |      |    |
           153.639   |    80 | 5.4e+06   | D    |     0.020445    -      8.090148   | 3s2.3p2   | 3P   | 3s.3p3    | 3D*  |    |
           154.229   |   120 | 1.27e+07  | C+   |     0.058163    -      8.097057   | 3s2.3p2   | 3P   | 3s.3p3    | 3D*  |    |
--------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |   Lower level    |   Upper level    |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------|------------------|    |
           Air (nm)  |       |           |      |                                   | Conf.     | Term | Conf.     | Term |    |
--------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |           |      |           |      |    |
           248.419   |   100 |           |      |                                   |           |      |           |      |    |
           260.606   |   150 |           |      |                                   |           |      |           |      |    |
           262.618   |   100 |           |      |                                   |           |      |           |      |    |
           263.676   |    90 |           |      |                                   |           |      |           |      |    |
           330.892   |   150 |           |      |                                   |           |      |           |      |    |
                     |       |           |      |                                   |           |      |           |      |    |
           341.934   |   125 |           |      |                                   |           |      |           |      |    |
           342.500   |   100 |           |      |                                   |           |      |           |      |    |
           417.848   |   100 |           |      |                                   |           |      |           |      |    |
           428.860   |   200 |           |      |                                   |           |      |           |      |    |
           438.535   |   200 | 4.0e+07   | D    |    12.601219    -     15.427633   | 3s2.3p.4p | 1P   | 3s2.3p.5s | 1P*  |    |
                     |       |           |      |                                   |           |      |           |      |    |
