
---------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |        |      |    |
            102.5563  |   570 | 7.7e+08   | C+   |     8.449086    -     20.538482   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
            102.8096  |   500 | 1.01e+09  | C+   |     8.420762    -     20.480377   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
            103.0517  |  570* | 7.5e+08   | C+   |     8.449086    -     20.480377   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
            103.0517  |  570* | 2.26e+09  | C+   |     8.507196    -     20.538482   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
            103.3111  |   500 | 2.99e+09  | C+   |     8.449086    -     20.450131   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
                      |       |           |      |                                   |        |      |        |      |    |
            103.5517  |   500 | 1.24e+09  | C+   |     8.507196    -     20.480377   | 3s.3p  | 3P*  | 3p2    | 3P   |    |
            111.8551  |   570 | 3.24e+09  | C    |    13.041949    -     24.126301   | 3s.3p  | 1P*  | 3p2    | 1S   |    |
            120.6422  |   200 |           |      |                                   |        |      |        |      |    |
            133.5705  |   200 |           |      |                                   |        |      |        |      |    |
            136.6695  |   500 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            137.2674  |   400 |           |      |                                   |        |      |        |      |    |
            137.7282  |   350 |           |      |                                   |        |      |        |      |    |
            148.4507  |   500 |           |      |                                   |        |      |        |      |    |
            148.7788  |   400 |           |      |                                   |        |      |        |      |    |
            148.9098  |   300 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            186.2762  |   250 |           |      |                                   |        |      |        |      |    |
            186.2893  |   120 |           |      |                                   |        |      |        |      |    |
            186.3580  |   200 |           |      |                                   |        |      |        |      |    |
            188.8523  |   650 | 1.8e+08   | E    |    13.041949    -     19.607086   | 3s.3p  | 1P*  | 3p2    | 1D   |    |
            191.0183  |   200 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            198.5682  |   120 |           |      |                                   |        |      |        |      |    |
            198.5851  |   150 |           |      |                                   |        |      |        |      |    |
            198.6114  |   200 |           |      |                                   |        |      |        |      |    |
            198.7022  |   150 |           |      |                                   |        |      |        |      |    |
---------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Air (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |        |      |    |
            247.7823  |   200 |           |      |                                   |        |      |        |      |    |
            247.8070  |   150 |           |      |                                   |        |      |        |      |    |
            247.8256  |   250 |           |      |                                   |        |      |        |      |    |
            260.5506  |   250 |           |      |                                   |        |      |        |      |    |
            264.4295  |   400 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            272.4764  |   300 |           |      |                                   |        |      |        |      |    |
            272.8770  |   400 |           |      |                                   |        |      |        |      |    |
            272.9120  |   200 |           |      |                                   |        |      |        |      |    |
            273.9309  |   500 |           |      |                                   |        |      |        |      |    |
            273.9872  |   250 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            274.0223  |   200 |           |      |                                   |        |      |        |      |    |
            296.1242  |   200 |           |      |                                   |        |      |        |      |    |
            334.7736  |   650 | 2.13e+08  | C+   |    28.131783    -     31.834238   | 3s.4s  | 3S   | 3s.4p  | 3P*  |    |
            336.4467  |   570 | 2.09e+08  | C+   |    28.131783    -     31.815828   | 3s.4s  | 3S   | 3s.4p  | 3P*  |    |
            337.1122  |   400 | 2.1e+08   | D    |    28.131783    -     31.808561   | 3s.4s  | 3S   | 3s.4p  | 3P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            341.3543  |   200 |           |      |                                   |        |      |        |      |    |
            373.3393  |   200 |           |      |                                   |        |      |        |      |    |
            424.9656  |   300 | 8.4e+07   | C    |    29.012048    -     31.928739   | 3s.4s  | 1S   | 3s.4p  | 1P*  |    |
            454.0288  |   250 |           |      |                                   |        |      |        |      |    |
            454.1112  |   250 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            454.8056  |   150 |           |      |                                   |        |      |        |      |    |
            454.8449  |   200 |           |      |                                   |        |      |        |      |    |
            523.5499  |   150 |           |      |                                   |        |      |        |      |    |
            598.9774  |   150 |           |      |                                   |        |      |        |      |    |
            614.2605  |   150 |           |      |                                   |        |      |        |      |    |
                      |       |           |      |                                   |        |      |        |      |    |
            671.3939  |   150 |           |      |                                   |        |      |        |      |    |
            671.5906  |   120 |           |      |                                   |        |      |        |      |    |
            744.3657  |   200 |           |      |                                   |        |      |        |      |    |
