
--------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |             Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek           |  Lower level   |         Upper level         |Type|
          |            Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)          |----------------|-----------------------------|    |
          |             Vac (nm)  |        |           |      |                                    | Conf.   | Term | Conf.                | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             100.181   |      6 |           |      |                                    |         |      |                      |      |    |
Pb V      |             100.542   |      8 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             101.244   |      8 |           |      |                                    |         |      |                      |      |    |
Pb II     |             101.661   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             102.861   |     14 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb III    |             103.05    |      3 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             103.205   |     20 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             104.124   |     16 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             104.414   |     18 |           |      |                                    |         |      |                      |      |    |
Pb III    |             104.89    |     12 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             104.982   |     10 |           |      |                                    |         |      |                      |      |    |
Pb II     |             105.077   |     10 |           |      |                                    |         |      |                      |      |    |
Pb V      |             105.126   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             105.653   |     15 |           |      |                                    |         |      |                      |      |    |
Pb V      |             105.926   |      4 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             106.066   |     10 |           |      |                                    |         |      |                      |      |    |
Pb II     |             106.558   |      9 |           |      |                                    |         |      |                      |      |    |
Pb III    |             106.92    |      4 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             107.209   |     12 |           |      |                                    |         |      |                      |      |    |
Pb III    |             107.47    |      3 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb IV     |             107.988   |      7 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             108.081   |     18 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             108.417   |     20 |           |      |                                    |         |      |                      |      |    |
Pb V      |             108.886   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             108.994   |      6 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb V      |             109.652   |      9 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             109.947   |      7 |           |      |                                    |         |      |                      |      |    |
Pb II     |             110.394   |     10 |           |      |                                    |         |      |                      |      |    |
Pb V      |             110.479   |      6 |           |      |                                    |         |      |                      |      |    |
Pb II     |             110.843   |     10 |           |      |                                    |         |      |                      |      |    |
          |                       |        |           |      |                                    |         |      |                      |      |    |
Pb II     |             110.984   |     10 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             111.530   |      6 |           |      |                                    |         |      |                      |      |    |
Pb IV     |             111.608   |     20 |           |      |                                    |         |      |                      |      |    |
