
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |         Upper level         |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |----------------|-----------------------------|    |
            Vac (nm)  |        |           |      |                                   | Conf.   | Term | Conf.                | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |         |      |                      |      |    |
            174.000   |      2 |           |      |                                   |         |      |                      |      |    |
            176.664   |      2 |           |      |                                   |         |      |                      |      |    |
            179.467   |      2 |           |      |                                   |         |      |                      |      |    |
            181.297   |      5 |           |      |                                   |         |      |                      |      |    |
            186.876   |      4 |           |      |                                   |         |      |                      |      |    |
                      |        |           |      |                                   |         |      |                      |      |    |
            190.477   |     10 |           |      |                                   |         |      |                      |      |    |
            197.244   |      4 |           |      |                                   |         |      |                      |      |    |
            197.788   |      2 |           |      |                                   |         |      |                      |      |    |
            199.160   |      2 |           |      |                                   |         |      |                      |      |    |
            199.231   |      2 |           |      |                                   |         |      |                      |      |    |
-------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |         Upper level         |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |----------------|-----------------------------|    |
            Air (nm)  |        |           |      |                                   | Conf.   | Term | Conf.                | Term |    |
-------------------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |         |      |                      |      |    |
            202.202   |     5r | 5.9e+06   |      |    0.000000     -     6.1297309   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<3/2>).7s | 1P*  |    |
            205.088   |      5 |           |      |                                   |         |      |                      |      |    |
            205.328   |     8r | 1.02e+07  |      |    0.000000     -     6.0364102   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).8s | 3P*  |    |
            211.1758  |      6 |           |      |                                   |         |      |                      |      |    |
            211.5066  |     10 |           |      |                                   |         |      |                      |      |    |
                      |        |           |      |                                   |         |      |                      |      |    |
            217.000   |   500r | 1.5e+08   |      |    0.000000     -     5.7117581   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).6d | 3D*  |    |
            217.5580  |      7 |           |      |                                   |         |      |                      |      |    |
            218.7888  |      7 |           |      |                                   |         |      |                      |      |    |
            218.9603  |      8 |           |      |                                   |         |      |                      |      |    |
            223.7425  |     20 |           |      |                                   |         |      |                      |      |    |
                      |        |           |      |                                   |         |      |                      |      |    |
            224.686   |     20 |           |      |                                   |         |      |                      |      |    |
            224.689   |     25 |           |      |                                   |         |      |                      |      |    |
            233.2418  |    150 |           |      |                                   |         |      |                      |      |    |
            238.8797  |    180 |           |      |                                   |         |      |                      |      |    |
            239.3792  |   550r |           |      |    1.3204722    -     6.4982998   | 6s2.6p2 | 3P   | 6s2.6p.(2P*<1/2>).7d | 3F*  |    |
                      |        |           |      |                                   |         |      |                      |      |    |
            239.9597  |    140 |           |      |                                   |         |      |                      |      |    |
            240.1940  |   320r | 1.9e+07   |      |                                   |         |      |                      |      |    |
            241.1734  |   320r |           |      |                                   |         |      |                      |      |    |
