
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |        Lower level         |        Upper level         |Type|
          |             Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |----------------------------|----------------------------|    |
          |              Vac (nm)  |       |           |      |                                    | Conf.            | Term    | Conf.            | Term    |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |       |           |      |                                    |                  |         |                  |         |    |
Pd II     |            116.21700   |   600 | 3.36e+08  |      |    0.000000     -     10.6683472   | 4d9              | 2D      | 4d8.(1G).5p      | 2F*     |    |
Pd II     |            118.34003   |   700 | 1.39e+09  |      |    0.4388101    -     10.9157517   | 4d9              | 2D      | 4d8.(3P).5p      | 2P*     |    |
Pd II     |            119.64051   |  1000 | 6.62e+08  |      |    0.4388101    -     10.8018720   | 4d9              | 2D      | 4d8.(1G).5p      | 2F*     |    |
Pd II     |            120.39645   |   800 | 4.54e+08  |      |    0.000000     -     10.2979948   | 4d9              | 2D      | 4d8.(3P).5p      | 4D*     |    |
Pd II     |            121.86219   |   700 | 2.63e+08  |      |    0.000000     -     10.1741254   | 4d9              | 2D      | 4d8.(1D).5p      | 2D*     |    |
          |                        |       |           |      |                                    |                  |         |                  |         |    |
Pd II     |            123.70677   |   700 | 3.97e+08  |      |    0.4388101    -     10.4612289   | 4d9              | 2D      | 4d8.(3P).5p      | 2D*     |    |
Pd II     |            132.00229   |   800 | 4.68e+08  |      |    0.000000     -      9.3925776   | 4d9              | 2D      | 4d8.(3F).5p      | 2F*     |    |
Pd II     |            136.36892   |   700 | 5.78e+07  |      |    0.000000     -      9.0918149   | 4d9              | 2D      | 4d8.(3F).5p      | 4F*     |    |
Pd II     |            136.77039   |   800 | 2.54e+08  |      |    0.000000     -      9.0651280   | 4d9              | 2D      | 4d8.(3F).5p      | 2D*     |    |
Pd II     |            137.48481   |   900 | 1.27e+08  |      |    0.000000     -      9.0180241   | 4d9              | 2D      | 4d8.(3F).5p      | 4F*     |    |
          |                        |       |           |      |                                    |                  |         |                  |         |    |
Pd III    |            150.540     |   100 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            151.718     |   200 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            152.688     |  200w |           |      |                                    |                  |         |                  |         |    |
Pd III    |            154.263     |   100 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            154.595     |  200w |           |      |                                    |                  |         |                  |         |    |
          |                        |       |           |      |                                    |                  |         |                  |         |    |
Pd III    |            159.689     |   300 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            160.610     |  200w |           |      |                                    |                  |         |                  |         |    |
Pd III    |            163.084     |   150 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            167.973     |    50 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            170.433     |   100 |           |      |                                    |                  |         |                  |         |    |
          |                        |       |           |      |                                    |                  |         |                  |         |    |
Pd III    |            170.640     |    50 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            171.986     |   200 |           |      |                                    |                  |         |                  |         |    |
Pd III    |            174.162     |   500 |           |      |                                    |                  |         |                  |         |    |
