
------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level         |        Upper level         |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------|----------------------------|    |
             Air (nm)  |       |           |      |                                   | Conf.            | Term    | Conf.            | Term    |    |
------------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |                  |         |                  |         |    |
            244.79058  |  1100 | 1.11e+07  |      |    0.000000     -     5.0633748   | 4d10             | 1S      | 4d9.(2D<3/2>).5p | 2[1/2]* |    |
            247.64127  |  1700 | 1.18e+07  |      |    0.000000     -     5.0050926   | 4d10             | 1S      | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
            276.30899  |  1900 | 1.69e+07  |      |    0.000000     -     4.4858320   | 4d10             | 1S      | 4d9.(2D<5/2>).5p | 2[3/2]* |    |
            292.24922  |   520 |           |      |    0.8138506    -     5.0550228   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
            300.26500  |   650 |           |      |    0.8138506    -     4.9418067   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<3/2>).5p | 2[5/2]* |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            300.97738  |    45 |           |      |    3.1121564    -     7.2303422   | 4d8.5s2          | 3F      | 4d8.5s.(2F).5p   | 3F*     |    |
            302.79084  |  1500 |           |      |    0.9615005    -     5.0550228   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
            306.52986  |  1100 |           |      |    0.9615005    -     5.0050926   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
            311.40380  |  2600 |           |      |    0.9615005    -     4.9418067   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<3/2>).5p | 2[5/2]* |    |
            314.281    |   270 |           |      |                                   |                  |         |                  |         |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            324.26983  | 11000 | 7.7e+07   |      |    0.8138506    -     4.6362354   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<5/2>).5p | 2[5/2]* |    |
            325.16361  |  2700 |           |      |    1.2514955    -     5.0633748   | 4d9.(2D<3/2>).5s | 2[3/2]  | 4d9.(2D<3/2>).5p | 2[1/2]* |    |
            325.87765  |  3500 |           |      |    1.2514955    -     5.0550228   | 4d9.(2D<3/2>).5s | 2[3/2]  | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
            328.72480  |   460 |           |      |    0.8138506    -     4.5844362   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<5/2>).5p | 2[5/2]* |    |
            330.21262  |  3600 |           |      |    1.2514955    -     5.0050926   | 4d9.(2D<3/2>).5s | 2[3/2]  | 4d9.(2D<3/2>).5p | 2[3/2]* |    |
                       |       |           |      |                                   |                  |         |                  |         |    |
            337.29943  |  5000 |           |      |    0.9615005    -     4.6362354   | 4d9.(2D<5/2>).5s | 2[5/2]  | 4d9.(2D<5/2>).5p | 2[5/2]* |    |
