
----------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |    Lower level     |    Upper level     |Type|
             Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |--------------------|--------------------|    |
              Vac (nm)  |       |           |      |                                    | Conf.       | Term | Conf.       | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                    |             |      |             |      |    |
            116.21700   |   600 | 3.36e+08  |      |    0.000000     -     10.6683472   | 4d9         | 2D   | 4d8.(1G).5p | 2F*  |    |
            118.34003   |   700 | 1.39e+09  |      |    0.4388101    -     10.9157517   | 4d9         | 2D   | 4d8.(3P).5p | 2P*  |    |
            119.64051   |  1000 | 6.62e+08  |      |    0.4388101    -     10.8018720   | 4d9         | 2D   | 4d8.(1G).5p | 2F*  |    |
            120.39645   |   800 | 4.54e+08  |      |    0.000000     -     10.2979948   | 4d9         | 2D   | 4d8.(3P).5p | 4D*  |    |
            121.86219   |   700 | 2.63e+08  |      |    0.000000     -     10.1741254   | 4d9         | 2D   | 4d8.(1D).5p | 2D*  |    |
                        |       |           |      |                                    |             |      |             |      |    |
            123.70677   |   700 | 3.97e+08  |      |    0.4388101    -     10.4612289   | 4d9         | 2D   | 4d8.(3P).5p | 2D*  |    |
            132.00229   |   800 | 4.68e+08  |      |    0.000000     -      9.3925776   | 4d9         | 2D   | 4d8.(3F).5p | 2F*  |    |
            136.36892   |   700 | 5.78e+07  |      |    0.000000     -      9.0918149   | 4d9         | 2D   | 4d8.(3F).5p | 4F*  |    |
            136.77039   |   800 | 2.54e+08  |      |    0.000000     -      9.0651280   | 4d9         | 2D   | 4d8.(3F).5p | 2D*  |    |
            137.48481   |   900 | 1.27e+08  |      |    0.000000     -      9.0180241   | 4d9         | 2D   | 4d8.(3F).5p | 4F*  |    |
----------------------------------------------------------------------------------------------------------------------------------------
              Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek           |    Lower level     |    Upper level     |Type|
             Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)          |--------------------|--------------------|    |
              Air (nm)  |       |           |      |                                    | Conf.       | Term | Conf.       | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                        |       |           |      |                                    |             |      |             |      |    |
            216.22617   |    50 |           |      |    3.3596101    -      9.0918149   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 4F*  |    |
            218.23368   |    50 |           |      |    3.7130973    -      9.3925776   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 2F*  |    |
            221.21419   |    50 |           |      |    3.3596101    -      8.9625764   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 4G*  |    |
            223.15907   |  100r |           |      |    3.1100530    -      8.6641930   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 4F*  |    |
            229.65164   |  200r |           |      |    3.1100530    -      8.5071843   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 4G*  |    |
                        |       |           |      |                                    |             |      |             |      |    |
            235.13469   |    50 |           |      |    3.3596101    -      8.6308976   | 4d8.(3F).5s | 4F   | 4d8.(3F).5p | 4G*  |    |
