
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           203.063  |  3200 |           |      |                     |    |
           203.241  |  4400 |           |      |                     |    |
           204.937  |  5500 |           |      |                     |    |
           206.750  |  1500 |           |      |                     |    |
           208.459  |  3000 |           |      |                     |    |
                    |       |           |      |                     |    |
           210.333  |  1000 |           |      |                     |    |
           212.861  |   950 |           |      |                     |    |
           214.423  |  1900 |           |      |                     |    |
           216.517  |   600 |           |      |                     |    |
           217.467  |  1500 |           |      |                     |    |
                    |       |           |      |                     |    |
           220.222  |   400 |           |      |                     |    |
           222.261  |   320 |           |      |                     |    |
           224.930  |   150 |           |      |                     |    |
           226.884  |   190 |           |      |                     |    |
           227.438  |   280 |           |      |                     |    |
                    |       |           |      |                     |    |
           228.927  |   150 |           |      |                     |    |
           229.240  |   150 |           |      |                     |    |
           230.804  |   240 |           |      |                     |    |
           231.550  |    90 |           |      |                     |    |
           231.829  |   220 |           |      |                     |    |
                    |       |           |      |                     |    |
           232.610  |   100 |           |      |                     |    |
           234.018  |   170 |           |      |                     |    |
           235.710  |   280 |           |      |                     |    |
           236.828  |   180 |           |      |                     |    |
           238.364  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           238.681  |    40 |           |      |                     |    |
           238.953  |   120 |           |      |                     |    |
           239.617  |    35 |           |      |                     |    |
           240.187  |    70 |           |      |                     |    |
           240.309  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           241.806  |   100 |           |      |                     |    |
           242.804  |    80 |           |      |                     |    |
           242.820  |    50 |           |      |                     |    |
           242.910  |    25 |           |      |                     |    |
           243.669  |   180 |           |      |                     |    |
                    |       |           |      |                     |    |
           244.006  |   650 |           |      |                     |    |
           245.097  |    60 |           |      |                     |    |
           246.744  |   440 |           |      |                     |    |
           247.101  |    35 |           |      |                     |    |
           248.717  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           249.012  |   200 |           |      |                     |    |
           249.582  |   160 |           |      |                     |    |
           249.850  |   240 |           |      |                     |    |
           250.593  |    50 |           |      |                     |    |
           250.850  |   120 |           |      |                     |    |
                    |       |           |      |                     |    |
           251.407  |    50 |           |      |                     |    |
           251.503  |    60 |           |      |                     |    |
           251.558  |   240 |           |      |                     |    |
           252.430  |   140 |           |      |                     |    |
           252.941  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
           253.649  |    50 |           |      |                     |    |
           253.920  |   160 |           |      |                     |    |
           254.946  |    18 |           |      |                     |    |
           255.225  |    50 |           |      |                     |    |
           259.600  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           260.314  |    70 |           |      |                     |    |
           261.957  |    50 |           |      |                     |    |
           262.803  |  1100 |           |      |                     |    |
           263.935  |   130 |           |      |                     |    |
           264.689  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           265.086  |   500 |           |      |                     |    |
           265.817  |    20 |           |      |                     |    |
           265.945  |  2800 |           |      |                     |    |
           267.457  |    40 |           |      |                     |    |
           267.715  |   440 |           |      |                     |    |
                    |       |           |      |                     |    |
           269.843  |   200 |           |      |                     |    |
           270.240  |  2000 |           |      |                     |    |
           270.589  |  1600 |           |      |                     |    |
           271.313  |    60 |           |      |                     |    |
           271.904  |  1300 |           |      |                     |    |
                    |       |           |      |                     |    |
           272.992  |   130 |           |      |                     |    |
           273.396  |  1800 |           |      |                     |    |
           273.848  |    70 |           |      |                     |    |
           274.761  |    70 |           |      |                     |    |
           275.386  |    80 |           |      |                     |    |
                    |       |           |      |                     |    |
           275.492  |   200 |           |      |                     |    |
           276.984  |    30 |           |      |                     |    |
           277.167  |   500 |           |      |                     |    |
           277.324  |    40 |           |      |                     |    |
           277.400  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           279.327  |    50 |           |      |                     |    |
           280.324  |   140 |           |      |                     |    |
           280.851  |    10 |           |      |                     |    |
           281.825  |    50 |           |      |                     |    |
           283.030  |  1400 |           |      |                     |    |
                    |       |           |      |                     |    |
           283.471  |    70 |           |      |                     |    |
           285.311  |    16 |           |      |                     |    |
           288.820  |    25 |           |      |                     |    |
           289.322  |    25 |           |      |                     |    |
           289.386  |   600 |           |      |                     |    |
                    |       |           |      |                     |    |
           289.787  |   300 |           |      |                     |    |
           290.590  |    60 |           |      |                     |    |
           291.226  |   120 |           |      |                     |    |
           291.354  |   120 |           |      |                     |    |
           291.934  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           292.138  |    30 |           |      |                     |    |
           292.979  |  1700 |           |      |                     |    |
           294.276  |    30 |           |      |                     |    |
           294.475  |    30 |           |      |                     |    |
           295.910  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           296.075  |    60 |           |      |                     |    |
           299.797  |  1800 |           |      |                     |    |
           300.227  |   220 |           |      |                     |    |
           301.788  |    30 |           |      |                     |    |
           303.645  |   130 |           |      |                     |    |
                    |       |           |      |                     |    |
           304.264  |   800 |           |      |                     |    |
           306.471  |  3200 |           |      |                     |    |
           307.194  |    30 |           |      |                     |    |
           310.004  |   130 |           |      |                     |    |
           313.939  |   320 |           |      |                     |    |
                    |       |           |      |                     |    |
           315.656  |   140 |           |      |                     |    |
           320.071  |   120 |           |      |                     |    |
           320.404  |   320 |           |      |                     |    |
           323.029  |    30 |           |      |                     |    |
           323.342  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           325.036  |    20 |           |      |                     |    |
           325.198  |    40 |           |      |                     |    |
           325.592  |   160 |           |      |                     |    |
           326.842  |    25 |           |      |                     |    |
           328.197  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           329.022  |   120 |           |      |                     |    |
           330.186  |   500 |           |      |                     |    |
           331.505  |    60 |           |      |                     |    |
           332.380  |    35 |           |      |                     |    |
           340.813  |   340 |           |      |                     |    |
                    |       |           |      |                     |    |
           342.793  |    35 |           |      |                     |    |
           348.343  |    60 |           |      |                     |    |
           348.527  |   160 |           |      |                     |    |
           362.811  |   120 |           |      |                     |    |
           363.879  |    70 |           |      |                     |    |
                    |       |           |      |                     |    |
           364.317  |    70 |           |      |                     |    |
           366.310  |    50 |           |      |                     |    |
           367.199  |    80 |           |      |                     |    |
           367.404  |    80 |           |      |                     |    |
           369.991  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           370.653  |    18 |           |      |                     |    |
           381.869  |    80 |           |      |                     |    |
           390.073  |    40 |           |      |                     |    |
           392.296  |   110 |           |      |                     |    |
           394.840  |    35 |           |      |                     |    |
                    |       |           |      |                     |    |
           396.636  |   100 |           |      |                     |    |
           399.657  |    20 |           |      |                     |    |
           411.869  |   110 |           |      |                     |    |
           416.456  |    80 |           |      |                     |    |
           419.243  |    40 |           |      |                     |    |
                    |       |           |      |                     |    |
