
----------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level  |  Upper level  |Type|
          |         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------|---------------|    |
          |          Air (nm)  |       |           |      |                                 | Conf.  | Term | Conf.  | Term |    |
----------------------------------------------------------------------------------------------------------------------------------
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra II     |           236.973  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           246.055  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           247.550  |    10 |           |      |                                 |        |      |        |      |    |
Ra II     |           258.661  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           264.373  |    10 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra II     |           270.896  |    20 |           |      |                                 |        |      |        |      |    |
Ra II     |           279.521  |    10 |           |      |                                 |        |      |        |      |    |
Ra II     |           281.376  |    30 |           |      |    1.703928    -     6.108988   | 6p6.6d | 2D   | 6p6.5f | 2F*  |    |
Ra II     |           303.344  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           310.180  |     5 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra II     |           364.955  |   100 |           |      |    2.647211    -     6.043490   | 6p6.7p | 2P*  | 6p6.7d | 2D   |    |
Ra II     |           381.442  |   200 |           |      |    0.00000     -     3.249484   | 6p6.7s | 2S   | 6p6.7p | 2P*  |    |
Ra II     |           419.409  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           424.472  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           434.064  |   100 |           |      |    3.249484    -     6.105041   | 6p6.7p | 2P*  | 6p6.7d | 2D   |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra II     |           443.627  |    20 |           |      |                                 |        |      |        |      |    |
Ra II     |           453.311  |    30 |           |      |    2.647211    -     5.381535   | 6p6.7p | 2P*  | 6p6.8s | 2S   |    |
Ra I      |           464.129  |     8 |           |      |                                 |        |      |        |      |    |
Ra II     |           468.228  |   100 |           |      |    0.00000     -     2.647211   | 6p6.7s | 2S   | 6p6.7p | 2P*  |    |
Ra I      |           469.928  |     8 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           482.591  |   100 |           |      |    0.00000     -     2.568421   | 7s2    | 1S   | 7s.7p  | 1P*  |    |
Ra I      |           485.607  |    10 |           |      |                                 |        |      |        |      |    |
Ra II     |           485.941  |    10 |           |      |                                 |        |      |        |      |    |
Ra II     |           492.753  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           509.756  |    10 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           520.593  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           528.328  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           532.029  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           539.980  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           540.023  |    20 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           540.681  |    20 |           |      |                                 |        |      |        |      |    |
Ra I      |           548.213  |     8 |           |      |                                 |        |      |        |      |    |
Ra I      |           550.198  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           555.357  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           555.585  |    20 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           561.666  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           566.081  |    50 |           |      |    1.823479    -     4.013093   | 7s.6d  | 3D   | 6d.7p  | 3F*  |    |
Ra II     |           581.363  |    20 |           |      |                                 |        |      |        |      |    |
Ra I      |           620.030  |    30 |           |      |    1.735031    -     3.734129   | 7s.6d  | 3D   | 6d.7p  | 3F*  |    |
Ra I      |           633.690  |   10p |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           644.620  |    20 |           |      |                                 |        |      |        |      |    |
Ra I      |           648.732  |    20 |           |      |                                 |        |      |        |      |    |
Ra II     |           659.334  |    10 |           |      |                                 |        |      |        |      |    |
Ra II     |           671.932  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           698.022  |    20 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra I      |           711.850  |    20 |           |      |                                 |        |      |        |      |    |
Ra I      |           714.121  |    50 |           |      |    0.00000     -     1.735702   | 7s2    | 1S   | 7s.7p  | 3P*  |    |
Ra I      |           722.516  |    20 |           |      |                                 |        |      |        |      |    |
Ra I      |           731.027  |    10 |           |      |                                 |        |      |        |      |    |
Ra I      |           783.812  |    20 |           |      |                                 |        |      |        |      |    |
          |                    |       |           |      |                                 |        |      |        |      |    |
Ra II     |           801.970  |    50 |           |      |    1.703928    -     3.249484   | 6p6.6d | 2D   | 6p6.7p | 2P*  |    |
Ra I      |           817.731  |     6 |           |      |                                 |        |      |        |      |    |
Ra I      |           833.507  |     5 |           |      |                                 |        |      |        |      |    |
Ra I      |           993.221  |     5 |           |      |                                 |        |      |        |      |    |
