
----------------------------------------------------------------------------------------------------------------------------------------------
              Observed  |   Rel. |    Aki    | Acc. |           Ei           Ek           |   Lower level    |      Upper level      |   Type|
             Wavelength |   Int. |    s^-1   |      |          (eV)         (eV)          |------------------|-----------------------|       |
              Air (nm)  |        |           |      |                                     | Conf.     | Term | Conf.          | Term |       |
----------------------------------------------------------------------------------------------------------------------------------------------
                        |        |           |      |                                     |           |      |                |      |       |
             296.9045   |        |           |      |     0.000000     -      4.174680    | 4p6.5s    | 2S   | 4p6.77p        | 2P*  |       |
             296.9045   |        |           |      |     0.000000     -      4.174680    | 4p6.5s    | 2S   | 4p6.77p        | 2P*  |       |
             296.9085   |        |           |      |     0.000000     -      4.174623    | 4p6.5s    | 2S   | 4p6.76p        | 2P*  |       |
             296.9085   |        |           |      |     0.000000     -      4.174623    | 4p6.5s    | 2S   | 4p6.76p        | 2P*  |       |
             296.9138   |        |           |      |     0.000000     -      4.174549    | 4p6.5s    | 2S   | 4p6.75p        | 2P*  |       |
                        |        |           |      |                                     |           |      |                |      |       |
             296.9138   |        |           |      |     0.000000     -      4.174549    | 4p6.5s    | 2S   | 4p6.75p        | 2P*  |       |
             296.9195   |        |           |      |     0.000000     -      4.174468    | 4p6.5s    | 2S   | 4p6.74p        | 2P*  |       |
             296.9195   |        |           |      |     0.000000     -      4.174468    | 4p6.5s    | 2S   | 4p6.74p        | 2P*  |       |
             296.9245   |        |           |      |     0.000000     -      4.174398    | 4p6.5s    | 2S   | 4p6.73p        | 2P*  |       |
             296.9245   |        |           |      |     0.000000     -      4.174398    | 4p6.5s    | 2S   | 4p6.73p        | 2P*  |       |
                        |        |           |      |                                     |           |      |                |      |       |
             296.9305   |        |           |      |     0.000000     -      4.174313    | 4p6.5s    | 2S   | 4p6.72p        | 2P*  |       |
             296.9305   |        |           |      |     0.000000     -      4.174313    | 4p6.5s    | 2S   | 4p6.72p        | 2P*  |       |
             296.9359   |        |           |      |     0.000000     -      4.174237    | 4p6.5s    | 2S   | 4p6.71p        | 2P*  |       |
             296.9359   |        |           |      |     0.000000     -      4.174237    | 4p6.5s    | 2S   | 4p6.71p        | 2P*  |       |
             296.9422   |        |           |      |     0.000000     -      4.174149    | 4p6.5s    | 2S   | 4p6.70p        | 2P*  |       |
                        |        |           |      |                                     |           |      |                |      |       |
             296.9422   |        |           |      |     0.000000     -      4.174149    | 4p6.5s    | 2S   | 4p6.70p        | 2P*  |       |
             296.9487   |        |           |      |     0.000000     -      4.174057    | 4p6.5s    | 2S   | 4p6.69p        | 2P*  |       |
             296.9487   |        |           |      |     0.000000     -      4.174057    | 4p6.5s    | 2S   | 4p6.69p        | 2P*  |       |
             296.9554   |        |           |      |     0.000000     -      4.173963    | 4p6.5s    | 2S   | 4p6.68p        | 2P*  |       |
             296.9554   |        |           |      |     0.000000     -      4.173963    | 4p6.5s    | 2S   | 4p6.68p        | 2P*  |       |
                        |        |           |      |                                     |           |      |                |      |       |
             296.9625   |        |           |      |     0.000000     -      4.173863    | 4p6.5s    | 2S   | 4p6.67p        | 2P*  |       |
             296.9625   |        |           |      |     0.000000     -      4.173863    | 4p6.5s    | 2S   | 4p6.67p        | 2P*  |       |
