
-----------------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |         Lower level         |         Upper level          |Type|
            Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |-----------------------------|------------------------------|    |
             Vac (nm)  |       |           |      |                                     | Conf.             | Term    | Conf.             | Term     |    |
-----------------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                     |                   |         |                   |          |    |
             148.9056  |     2 |           |      |    16.7217172    -     25.0480808   | 4p5.(2P*<3/2>).5s | 2[3/2]* | 4p5.(2P*<3/2>).5f | 2[3/2]   |    |
             149.0787  |     3 |           |      |    17.4334232    -     25.750118    | 4p5.(2P*<1/2>).5s | 2[1/2]* | 4p5.(2P*<3/2>).6f | 2[5/2]   |    |
             149.1637  |    10 |           |      |    17.8482525    -     26.160200    | 4p5.4d            | 3P*     | 4p5.(2P*<3/2>).7f | 2[5/2]   |    |
             149.4258  |     5 |           |      |    17.4334232    -     25.730795    | 4p5.(2P*<1/2>).5s | 2[1/2]* | 4p5.(2P*<3/2>).6f | 2[3/2]   |    |
             150.7262  |     1 |           |      |    18.4348022    -     26.660591    | 4p5.4d            | 3F*     | 4p5.(2P*<1/2>).6f | 2[7/2]   |    |
                       |       |           |      |                                     |                   |         |                   |          |    |
             150.8693  |    10 |           |      |    18.2049206    -     26.422906    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).8f | 2[9/2]   |    |
             151.3707  |     5 |           |      |    16.5322515    -     24.723008    | 4p5.(2P*<3/2>).5s | 2[3/2]* | 4p5.(2P*<1/2>).4f | 2[5/2]   |    |
             151.6631  |     1 |           |      |    18.4348022    -     26.609778    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).9f | 2[7/2]   |    |
             152.0739  |     3 |           |      |    18.0119423    -     26.164833    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).7f | 2[7/2]   |    |
             152.2660  |    50 |           |      |    18.0119423    -     26.154542    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).7f | 2[9/2]   |    |
                       |       |           |      |                                     |                   |         |                   |          |    |
             152.5260  |    25 |           |      |    17.8482525    -     25.976977    | 4p5.4d            | 3P*     | 4p5.(2P*<1/2>).5f | 2[5/2]   |    |
             153.1510  |     2 |           |      |                                     |                   |         |                   |          |    |
             154.8592  |     5 |           |      |                                     |                   |         |                   |          |    |
             155.0960  |     7 |           |      |    18.4348022    -     26.428830    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).8f | 2[7/2]   |    |
             155.2538  |     5 |           |      |    17.7325088    -     25.718416    | 4p5.4d            | 3P*     | 4p5.(2P*<3/2>).6f | 2[3/2]   |    |
                       |       |           |      |                                     |                   |         |                   |          |    |
             155.6984  |     4 |           |      |    17.7870174    -     25.750118    | 4p5.4d            | 3P*     | 4p5.(2P*<3/2>).6f | 2[5/2]   |    |
             155.7661  |     2 |           |      |    18.2049206    -     26.164554    | 4p5.4d            | 3F*     | 4p5.(2P*<3/2>).7f | 2[7/2]   |    |
