
-------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |        Upper level         |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------------|----------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.              | Term    | Conf.              | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                    |         |                    |       |    |
            191.7310  |    20 |           |      |    19.182992    -     25.649542   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<1>).5p | 2[2]* |    |
            192.3062  |     1 |           |      |    19.202333    -     25.649542   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<1>).5p | 2[2]* |    |
            196.7869  |     1 |           |      |    19.287507    -     25.587942   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<0>).5p | 2[1]* |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |         Lower level          |        Upper level         |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------------------|----------------------------|    |
            Air (nm)  |       |           |      |                                   | Conf.              | Term    | Conf.              | Term  |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |                    |         |                    |       |    |
            200.8210  |     4 |           |      |    19.202333    -     25.374191   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<2>).5p | 2[2]* |    |
            205.9600  |     3 |           |      |    19.390317    -     25.408211   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<1>).5p | 2[0]* |    |
            207.0276  |     1 |           |      |    21.129860    -     27.116712   | 4s2.4p4.(1D).4d    | 2D      | 4s2.4p4.(1D<2>).5p | 2[1]* |    |
            215.1262  |     1 |           |      |    21.644557    -     27.406036   | 4s2.4p4.(1D).4d    | 2D      | 4s2.4p4.(1D<2>).5p | 2[2]* |    |
            215.3214  |   100 |           |      |    19.182992    -     24.939279   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<2>).5p | 2[3]* |    |
                      |       |           |      |                                   |                    |         |                    |       |    |
            216.0474  |     7 |           |      |    19.202333    -     24.939279   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<2>).5p | 2[3]* |    |
            216.4520  |    3u |           |      |    21.390465    -     27.116712   | 4s2.4p4.(3P<2>).5s | (2,1/2) | 4s2.4p4.(1D<2>).5p | 2[1]* |    |
            216.4590  |   250 |           |      |    19.182992    -     24.909026   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<2>).5p | 2[3]* |    |
            217.1928  |    50 |           |      |    19.202333    -     24.909026   | 4s2.4p4.(3P).4d    | 4D      | 4s2.4p4.(3P<2>).5p | 2[3]* |    |
            218.0638  |   2*w |           |      |    24.855303    -     30.5393     | 4s2.4p4.(3P<2>).5p | 2[1]*   | 4s2.4p4.(3P).5d    | 4P    |    |
                      |       |           |      |                                   |                    |         |                    |       |    |
