
----------------------------------------------------------------------------------------
Spectrum  |          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          |         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          |          Air (nm)  |         |           |      |                     |    |
----------------------------------------------------------------------------------------
          |                    |         |           |      |                     |    |
Re I      |           200.353  |   25000 |           |      |                     |    |
Re I      |           201.787  |   16000 |           |      |                     |    |
Re I      |           204.908  |   27000 |           |      |                     |    |
Re I      |           207.470  |    4200 |           |      |                     |    |
Re I      |           208.392  |    3700 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           208.559  |   10000 |           |      |                     |    |
Re II     |           209.241  |    4700 |           |      |                     |    |
Re I      |           209.712  |    9800 |           |      |                     |    |
Re I      |           210.922  |    2700 |           |      |                     |    |
Re II     |           213.904  |    3400 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           214.274  |    1600 |           |      |                     |    |
Re I      |           214.297  |         |           |      |                     |    |
Re I      |           215.667  |    3700 |           |      |                     |    |
Re I      |           216.794  |    4900 |           |      |                     |    |
Re I      |           217.621  |    3400 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           221.426  |   4200c |           |      |                     |    |
Re I      |           221.458  |    2200 |           |      |                     |    |
Re I      |           222.642  |    1700 |           |      |                     |    |
Re I      |           223.544  |     920 |           |      |                     |    |
Re I      |           225.573  |     440 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           225.619  |     860 |           |      |                     |    |
Re I      |           226.439  |    2000 |           |      |                     |    |
Re I      |           227.462  |    2100 |           |      |                     |    |
Re II     |           227.525  |   5200c |           |      |                     |    |
Re I      |           228.162  |    1600 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           228.751  |    2900 |           |      |                     |    |
Re I      |           229.449  |    2700 |           |      |                     |    |
Re II     |           229.809  |     390 |           |      |                     |    |
Re I      |           229.977  |     390 |           |      |                     |    |
Re I      |           230.299  |     610 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           230.654  |     680 |           |      |                     |    |
Re I      |           231.297  |     230 |           |      |                     |    |
Re I      |           231.334  |     220 |           |      |                     |    |
Re I      |           231.919  |     220 |           |      |                     |    |
Re I      |           232.016  |     370 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           232.249  |     800 |           |      |                     |    |
Re I      |           232.866  |     300 |           |      |                     |    |
Re I      |           233.433  |     270 |           |      |                     |    |
Re I      |           233.573  |     270 |           |      |                     |    |
Re I      |           233.610  |     220 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           233.795  |     270 |           |      |                     |    |
Re I      |           234.478  |     860 |           |      |                     |    |
Re I      |           234.939  |     230 |           |      |                     |    |
Re I      |           235.046  |   220bl |           |      |                     |    |
Re I      |           235.207  |     680 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           235.395  |   210bl |           |      |                     |    |
Re I      |           235.650  |     250 |           |      |                     |    |
Re I      |           236.532  |     200 |           |      |                     |    |
Re I      |           236.590  |    1200 |           |      |                     |    |
Re I      |           236.768  |     570 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           236.853  |     180 |           |      |                     |    |
Re I      |           236.927  |     520 |           |      |                     |    |
Re II     |           237.076  |     220 |           |      |                     |    |
Re I      |           237.152  |     210 |           |      |                     |    |
Re II     |           237.348  |     150 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           237.507  |     320 |           |      |                     |    |
Re II     |           237.853  |      75 |           |      |                     |    |
Re I      |           237.977  |     370 |           |      |                     |    |
Re II     |           238.690  |     180 |           |      |                     |    |
Re I      |           238.857  |     340 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           239.365  |     230 |           |      |                     |    |
Re I      |           239.437  |     320 |           |      |                     |    |
Re I      |           239.679  |     320 |           |      |                     |    |
Re I      |           239.731  |     200 |           |      |                     |    |
Re I      |           240.072  |   210bl |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           240.089  |         |           |      |                     |    |
Re I      |           240.168  |     210 |           |      |                     |    |
Re II     |           240.304  |      75 |           |      |                     |    |
Re I      |           240.506  |    1500 |           |      |                     |    |
Re I      |           240.560  |     740 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           240.670  |     320 |           |      |                     |    |
Re I      |           241.037  |     270 |           |      |                     |    |
Re II     |           241.820  |      60 |           |      |                     |    |
Re I      |           241.981  |    1200 |           |      |                     |    |
Re I      |           242.173  |     300 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           242.188  |     300 |           |      |                     |    |
Re II     |           242.384  |      60 |           |      |                     |    |
Re I      |           242.858  |    2500 |           |      |                     |    |
Re I      |           243.154  |     490 |           |      |                     |    |
Re I      |           243.218  |     420 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           244.147  |    340c |           |      |                     |    |
Re I      |           244.251  |     230 |           |      |                     |    |
Re I      |           244.494  |     250 |           |      |                     |    |
Re I      |           244.698  |     610 |           |      |                     |    |
Re II     |           244.903  |      85 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           244.952  |      85 |           |      |                     |    |
Re I      |           244.971  |     610 |           |      |                     |    |
Re II     |           245.583  |     200 |           |      |                     |    |
Re I      |           246.120  |     390 |           |      |                     |    |
Re II     |           246.184  |    800c |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           246.757  |     200 |           |      |                     |    |
Re II     |           246.785  |     120 |           |      |                     |    |
Re II     |           246.936  |    150c |           |      |                     |    |
Re II     |           247.061  |     120 |           |      |                     |    |
Re II     |           247.105  |      75 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re II     |           247.372  |     150 |           |      |                     |    |
Re II     |           247.517  |     160 |           |      |                     |    |
Re II     |           247.743  |      75 |           |      |                     |    |
Re I      |           247.902  |     200 |           |      |                     |    |
Re I      |           248.392  |    1200 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           248.581  |     390 |           |      |                     |    |
Re I      |           248.733  |     980 |           |      |                     |    |
Re II     |           249.016  |      75 |           |      |                     |    |
Re I      |           249.284  |     200 |           |      |                     |    |
Re I      |           249.604  |     370 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           249.822  |     200 |           |      |                     |    |
Re I      |           250.172  |     370 |           |      |                     |    |
Re II     |           250.235  |     570 |           |      |                     |    |
Re II     |           250.460  |     230 |           |      |                     |    |
Re I      |           250.594  |     270 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           250.899  |   1800c |           |      |                     |    |
Re I      |           252.001  |     570 |           |      |                     |    |
Re I      |           252.150  |     540 |           |      |                     |    |
Re II     |           253.410  |     150 |           |      |                     |    |
Re I      |           253.480  |     370 |           |      |                     |    |
          |                    |         |           |      |                     |    |
Re I      |           254.051  |     570 |           |      |                     |    |
Re I      |           254.474  |   740bl |           |      |                     |    |
