
-----------------------------------------------------------------------------
          Observed  |    Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |    Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |         |           |      |                     |    |
-----------------------------------------------------------------------------
                    |         |           |      |                     |    |
           200.353  |   25000 |           |      |                     |    |
           201.787  |   16000 |           |      |                     |    |
           204.908  |   27000 |           |      |                     |    |
           207.470  |    4200 |           |      |                     |    |
           208.392  |    3700 |           |      |                     |    |
                    |         |           |      |                     |    |
           208.559  |   10000 |           |      |                     |    |
           209.712  |    9800 |           |      |                     |    |
           210.922  |    2700 |           |      |                     |    |
           214.297  |         |           |      |                     |    |
           215.667  |    3700 |           |      |                     |    |
                    |         |           |      |                     |    |
           216.794  |    4900 |           |      |                     |    |
           217.621  |    3400 |           |      |                     |    |
           221.458  |    2200 |           |      |                     |    |
           222.642  |    1700 |           |      |                     |    |
           223.544  |     920 |           |      |                     |    |
                    |         |           |      |                     |    |
           225.573  |     440 |           |      |                     |    |
           225.619  |     860 |           |      |                     |    |
           226.439  |    2000 |           |      |                     |    |
           227.462  |    2100 |           |      |                     |    |
           228.162  |    1600 |           |      |                     |    |
                    |         |           |      |                     |    |
           228.751  |    2900 |           |      |                     |    |
           229.449  |    2700 |           |      |                     |    |
           229.977  |     390 |           |      |                     |    |
           230.299  |     610 |           |      |                     |    |
           230.654  |     680 |           |      |                     |    |
                    |         |           |      |                     |    |
           231.297  |     230 |           |      |                     |    |
           231.334  |     220 |           |      |                     |    |
           231.919  |     220 |           |      |                     |    |
           232.016  |     370 |           |      |                     |    |
           232.249  |     800 |           |      |                     |    |
                    |         |           |      |                     |    |
           232.866  |     300 |           |      |                     |    |
           233.433  |     270 |           |      |                     |    |
           233.573  |     270 |           |      |                     |    |
           233.610  |     220 |           |      |                     |    |
           233.795  |     270 |           |      |                     |    |
                    |         |           |      |                     |    |
           234.478  |     860 |           |      |                     |    |
           234.939  |     230 |           |      |                     |    |
           235.046  |   220bl |           |      |                     |    |
           235.207  |     680 |           |      |                     |    |
           235.395  |   210bl |           |      |                     |    |
                    |         |           |      |                     |    |
           235.650  |     250 |           |      |                     |    |
           236.532  |     200 |           |      |                     |    |
           236.590  |    1200 |           |      |                     |    |
           236.768  |     570 |           |      |                     |    |
           236.927  |     520 |           |      |                     |    |
                    |         |           |      |                     |    |
           237.152  |     210 |           |      |                     |    |
           237.507  |     320 |           |      |                     |    |
           237.977  |     370 |           |      |                     |    |
           238.857  |     340 |           |      |                     |    |
           239.365  |     230 |           |      |                     |    |
                    |         |           |      |                     |    |
           239.437  |     320 |           |      |                     |    |
           239.679  |     320 |           |      |                     |    |
           239.731  |     200 |           |      |                     |    |
           240.072  |   210bl |           |      |                     |    |
           240.089  |         |           |      |                     |    |
                    |         |           |      |                     |    |
           240.168  |     210 |           |      |                     |    |
           240.506  |    1500 |           |      |                     |    |
           240.560  |     740 |           |      |                     |    |
           240.670  |     320 |           |      |                     |    |
           241.037  |     270 |           |      |                     |    |
                    |         |           |      |                     |    |
           241.981  |    1200 |           |      |                     |    |
           242.173  |     300 |           |      |                     |    |
           242.188  |     300 |           |      |                     |    |
           242.858  |    2500 |           |      |                     |    |
           243.154  |     490 |           |      |                     |    |
                    |         |           |      |                     |    |
           243.218  |     420 |           |      |                     |    |
           244.147  |    340c |           |      |                     |    |
           244.251  |     230 |           |      |                     |    |
           244.494  |     250 |           |      |                     |    |
           244.698  |     610 |           |      |                     |    |
                    |         |           |      |                     |    |
           244.971  |     610 |           |      |                     |    |
           246.120  |     390 |           |      |                     |    |
           247.902  |     200 |           |      |                     |    |
           248.392  |    1200 |           |      |                     |    |
           248.581  |     390 |           |      |                     |    |
                    |         |           |      |                     |    |
           248.733  |     980 |           |      |                     |    |
           249.284  |     200 |           |      |                     |    |
           249.604  |     370 |           |      |                     |    |
           249.822  |     200 |           |      |                     |    |
           250.172  |     370 |           |      |                     |    |
                    |         |           |      |                     |    |
           250.594  |     270 |           |      |                     |    |
           250.899  |   1800c |           |      |                     |    |
           252.001  |     570 |           |      |                     |    |
           252.150  |     540 |           |      |                     |    |
           253.480  |     370 |           |      |                     |    |
                    |         |           |      |                     |    |
           254.051  |     570 |           |      |                     |    |
           254.474  |   740bl |           |      |                     |    |
           254.548  |     370 |           |      |                     |    |
           255.202  |     300 |           |      |                     |    |
           255.651  |    1000 |           |      |                     |    |
                    |         |           |      |                     |    |
           255.908  |     250 |           |      |                     |    |
           256.419  |     340 |           |      |                     |    |
           258.679  |     380 |           |      |                     |    |
           259.986  |     290 |           |      |                     |    |
           260.389  |     290 |           |      |                     |    |
                    |         |           |      |                     |    |
           261.154  |   610bl |           |      |                     |    |
           262.276  |     200 |           |      |                     |    |
           263.664  |     550 |           |      |                     |    |
           264.275  |     270 |           |      |                     |    |
           264.905  |     270 |           |      |                     |    |
                    |         |           |      |                     |    |
           265.190  |     660 |           |      |                     |    |
           265.412  |     400 |           |      |                     |    |
           266.363  |     220 |           |      |                     |    |
           267.434  |     940 |           |      |                     |    |
           268.853  |     220 |           |      |                     |    |
                    |         |           |      |                     |    |
           271.547  |    1300 |           |      |                     |    |
           273.221  |     220 |           |      |                     |    |
           275.800  |     220 |           |      |                     |    |
           276.379  |     210 |           |      |                     |    |
           276.639  |     200 |           |      |                     |    |
                    |         |           |      |                     |    |
           276.774  |     310 |           |      |                     |    |
           276.885  |     220 |           |      |                     |    |
           276.932  |     220 |           |      |                     |    |
           277.042  |     350 |           |      |                     |    |
           278.357  |     550 |           |      |                     |    |
                    |         |           |      |                     |    |
           279.129  |     220 |           |      |                     |    |
           281.468  |     220 |           |      |                     |    |
           281.995  |     880 |           |      |                     |    |
           283.408  |     310 |           |      |                     |    |
           283.755  |     200 |           |      |                     |    |
                    |         |           |      |                     |    |
           284.035  |     200 |           |      |                     |    |
           284.300  |     220 |           |      |                     |    |
           285.098  |     270 |           |      |                     |    |
           286.719  |     240 |           |      |                     |    |
           287.528  |     200 |           |      |                     |    |
                    |         |           |      |                     |    |
           288.344  |     200 |           |      |                     |    |
           288.768  |    2900 |           |      |                     |    |
           289.601  |     490 |           |      |                     |    |
           290.248  |    830c |           |      |                     |    |
           290.558  |     210 |           |      |                     |    |
                    |         |           |      |                     |    |
           290.982  |     550 |           |      |                     |    |
           292.742  |    830c |           |      |                     |    |
           293.061  |     270 |           |      |                     |    |
           294.314  |     440 |           |      |                     |    |
           296.227  |     270 |           |      |                     |    |
                    |         |           |      |                     |    |
           296.511  |     720 |           |      |                     |    |
           296.576  |    1500 |           |      |                     |    |
           297.629  |     310 |           |      |                     |    |
           297.815  |     210 |           |      |                     |    |
           298.082  |     220 |           |      |                     |    |
                    |         |           |      |                     |    |
           298.219  |     220 |           |      |                     |    |
           298.847  |     220 |           |      |                     |    |
           299.236  |    1800 |           |      |                     |    |
           299.960  |    5500 |           |      |                     |    |
           300.114  |     350 |           |      |                     |    |
