
------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level      |     Upper level      |Type|
          |         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |----------------------|----------------------|    |
          |          Vac (nm)  |       |           |      |                                 | Conf.        | Term  | Conf.        | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          100.960   | 500bl |           |      |                                 |              |       |              |       |    |
Rh III    |          101.222   |   200 |           |      |                                 |              |       |              |       |    |
Rh III    |          101.517   |   200 |           |      |                                 |              |       |              |       |    |
Rh III    |          105.000   |   100 |           |      |                                 |              |       |              |       |    |
Rh III    |          105.897   |   100 |           |      |                                 |              |       |              |       |    |
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          107.387   |   200 |           |      |                                 |              |       |              |       |    |
Rh III    |          110.058   |   100 |           |      |                                 |              |       |              |       |    |
Rh III    |          111.379   |   100 |           |      |                                 |              |       |              |       |    |
Rh III    |          176.843   |   100 |           |      |                                 |              |       |              |       |    |
Rh III    |          178.424   |   150 |           |      |                                 |              |       |              |       |    |
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          178.494   |   200 |           |      |                                 |              |       |              |       |    |
Rh III    |          179.650   |   150 |           |      |                                 |              |       |              |       |    |
Rh III    |          181.603   |   200 |           |      |                                 |              |       |              |       |    |
Rh III    |          183.205   |  1000 |           |      |                                 |              |       |              |       |    |
Rh III    |          185.985   |   500 |           |      |                                 |              |       |              |       |    |
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          187.470   |   100 |           |      |                                 |              |       |              |       |    |
Rh III    |          188.066   |   800 |           |      |                                 |              |       |              |       |    |
Rh III    |          188.491   |   500 |           |      |                                 |              |       |              |       |    |
Rh III    |          188.736   |   500 |           |      |                                 |              |       |              |       |    |
Rh III    |          188.862   |   700 |           |      |                                 |              |       |              |       |    |
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          190.132   |   800 |           |      |                                 |              |       |              |       |    |
Rh III    |          191.016   |   500 |           |      |                                 |              |       |              |       |    |
Rh III    |          191.937   |   600 |           |      |                                 |              |       |              |       |    |
Rh III    |          192.707   |   500 |           |      |                                 |              |       |              |       |    |
Rh III    |          193.179   |   700 |           |      |                                 |              |       |              |       |    |
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          195.425   |   500 |           |      |                                 |              |       |              |       |    |
Rh III    |          196.516   |   400 |           |      |                                 |              |       |              |       |    |
Rh III    |          199.426   |   500 |           |      |                                 |              |       |              |       |    |
------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level      |     Upper level      |Type|
          |         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |----------------------|----------------------|    |
          |          Air (nm)  |       |           |      |                                 | Conf.        | Term  | Conf.        | Term  |    |
------------------------------------------------------------------------------------------------------------------------------------------------
          |                    |       |           |      |                                 |              |       |              |       |    |
Rh III    |          200.514   |   400 |           |      |                                 |              |       |              |       |    |
