
-----------------------------------------------------------------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level     |     Upper level     |Type|
         Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |---------------------|---------------------|    |
          Air (nm)  |       |           |      |                                 | Conf.       | Term  | Conf.       | Term  |    |
-----------------------------------------------------------------------------------------------------------------------------------
                    |       |           |      |                                 |             |       |             |       |    |
          228.857   |   140 |           |      |    0.322115    -     5.738000   | 4d8.(3F).5s | a 4F  |             | 21*   |    |
          230.982   |   110 |           |      |    0.430557    -     5.796616   | 4d8.(3F).5s | a 4F  |             | 23*   |    |
          231.836   |    55 |           |      |    0.705590    -     6.051851   | 4d8.(3F).5s | a 2F  |             | 26*   |    |
          231.910   |    95 |           |      |    0.705590    -     6.050148   | 4d8.(3F).5s | a 2F  |             | 25*   |    |
          232.173   |    95 |           |      |    0.189692    -     5.528222   | 4d8.(3F).5s | a 4F  |             | 17*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          232.258   |   350 |           |      |    0.00000     -     5.336566   | 4d8.(3F).5s | a 4F  |             | 15*   |    |
          232.647   |   140 |           |      |    0.410370    -     5.738000   | 4d9         | a 2D  |             | 21*   |    |
          232.864   |    80 |           |      |    0.965989    -     6.288657   | 4d8.(3F).5s | a 2F  |             | 29*   |    |
          234.541   |    55 |           |      |                                 |             |       |             |       |    |
          235.247   |    55 |           |      |    0.00000     -     5.268768   | 4d8.(3F).5s | a 4F  |             | 14*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          235.918   |    55 |           |      |    0.189692    -     5.443493   | 4d8.(3F).5s | a 4F  | 4d8.(1G).5p | x 2F* |    |
          236.192   |   300 |           |      |    0.00000     -     5.247688   | 4d8.(3F).5s | a 4F  |             | 13*   |    |
          236.834   |   110 |           |      |    0.430557    -     5.664021   | 4d8.(3F).5s | a 4F  |             | 20*   |    |
          238.289   |   270 |           |      |    0.00000     -     5.201518   | 4d8.(3F).5s | a 4F  |             | 12*   |    |
          238.340   |   230 |           |      |                                 |             |       |             |       |    |
                    |       |           |      |                                 |             |       |             |       |    |
          238.465   |    40 |           |      |    0.965989    -     6.163663   | 4d8.(3F).5s | a 2F  |             | 27*   |    |
          240.788   |    80 |           |      |    0.189692    -     5.337215   | 4d8.(3F).5s | a 4F  |             | 16*   |    |
          240.819   |    27 |           |      |    0.189692    -     5.336566   | 4d8.(3F).5s | a 4F  |             | 15*   |    |
          241.025   |    27 |           |      |    0.410370    -     5.552839   | 4d9         | a 2D  |             | 19*   |    |
          241.975   |    45 |           |      |    0.430557    -     5.552839   | 4d8.(3F).5s | a 4F  |             | 19*   |    |
                    |       |           |      |                                 |             |       |             |       |    |
          242.768   |   130 |           |      |    0.322115    -     5.427665   | 4d8.(3F).5s | a 4F  | 4d8.(1G).5p | x 2F* |    |
          242.952   |   230 |           |      |    0.430557    -     5.532253   | 4d8.(3F).5s | a 4F  |             | 18*   |    |
          243.266   |    40 |           |      |    0.701499    -     5.796616   | 4d9         | a 2D  |             | 23*   |    |
          243.708   |    18 |           |      |    0.965989    -     6.051851   | 4d8.(3F).5s | a 2F  |             | 26*   |    |
