
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           100.960  | 500bl |           |      |                     |    |
           101.222  |   200 |           |      |                     |    |
           101.517  |   200 |           |      |                     |    |
           105.000  |   100 |           |      |                     |    |
           105.897  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           107.387  |   200 |           |      |                     |    |
           110.058  |   100 |           |      |                     |    |
           111.379  |   100 |           |      |                     |    |
           176.843  |   100 |           |      |                     |    |
           178.424  |   150 |           |      |                     |    |
                    |       |           |      |                     |    |
           178.494  |   200 |           |      |                     |    |
           179.650  |   150 |           |      |                     |    |
           181.603  |   200 |           |      |                     |    |
           183.205  |  1000 |           |      |                     |    |
           185.985  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           187.470  |   100 |           |      |                     |    |
           188.066  |   800 |           |      |                     |    |
           188.491  |   500 |           |      |                     |    |
           188.736  |   500 |           |      |                     |    |
           188.862  |   700 |           |      |                     |    |
                    |       |           |      |                     |    |
           190.132  |   800 |           |      |                     |    |
           191.016  |   500 |           |      |                     |    |
           191.937  |   600 |           |      |                     |    |
           192.707  |   500 |           |      |                     |    |
           193.179  |   700 |           |      |                     |    |
                    |       |           |      |                     |    |
           195.425  |   500 |           |      |                     |    |
           196.516  |   400 |           |      |                     |    |
           199.426  |   500 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           200.514  |   400 |           |      |                     |    |
           201.371  |   800 |           |      |                     |    |
           201.747  |   500 |           |      |                     |    |
           202.853  |   500 |           |      |                     |    |
           203.672  |   800 |           |      |                     |    |
                    |       |           |      |                     |    |
           203.761  |   600 |           |      |                     |    |
           204.018  |  1000 |           |      |                     |    |
           204.867  |  3000 |           |      |                     |    |
           206.411  |  2000 |           |      |                     |    |
           207.684  |   800 |           |      |                     |    |
                    |       |           |      |                     |    |
           211.853  |  1000 |           |      |                     |    |
           211.863  |  1000 |           |      |                     |    |
           213.944  |  1000 |           |      |                     |    |
           215.223  |  1000 |           |      |                     |    |
           215.817  |  3000 |           |      |                     |    |
                    |       |           |      |                     |    |
           216.319  |  3000 |           |      |                     |    |
           216.733  |  3000 |           |      |                     |    |
           220.700  |   100 |           |      |                     |    |
           223.066  |   100 |           |      |                     |    |
           225.084  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           237.484  |    30 |           |      |                     |    |
           247.065  |    20 |           |      |                     |    |
           300.643  |    50 |           |      |                     |    |
           305.244  |    50 |           |      |                     |    |
           331.069  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           385.298  |     1 |           |      |                     |    |
