
----------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek          |       Lower level        |         Upper level          |Type|
           Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)         |--------------------------|------------------------------|    |
            Air (nm)  |       |           |      |                                  | Conf.            | Term  | Conf.             | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                  |                  |       |                   |          |    |
            207.643   |  2400 |           |      |    0.00000     -     5.969093    | 4d7.(a 4F).5s    | a 5F  |                   | 31*      |    |
            208.377   |  2600 |           |      |    0.147621    -     6.095689    | 4d7.(a 4F).5s    | a 5F  |                   | 47*      |    |
            209.089   |  2400 |           |      |                                  |                  |       |                   |          |    |
            225.552   |   690 |           |      |    0.00000     -     5.495204    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
            225.953   |   290 |           |      |    0.00000     -     5.485493    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            227.209   |   780 |           |      |    0.00000     -     5.455131    | 4d7.(a 4F).5s    | a 5F  |                   | 2*(5G*)  |    |
            227.819   |   240 |           |      |    0.147621    -     5.588141    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            227.9584  |   780 |           |      |                                  |                  |       |                   |          |    |
            228.538   |   170 |           |      |    0.00000     -     5.423417    | 4d7.(a 4F).5s    | a 5F  |                   | w 3G*    |    |
            230.254   |   290 |           |      |    0.147621    -     5.530639    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            231.780   |   480 |           |      |    0.147621    -     5.495204    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
            232.201   |   150 |           |      |    0.147621    -     5.485493    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | w 5D*    |    |
            234.069   |   240 |           |      |    0.259318    -     5.554592    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
            234.934   |   190 |           |      |    0.147621    -     5.423417    | 4d7.(a 4F).5s    | a 5F  |                   | w 3G*    |    |
            235.133   |   310 |           |      |    0.259318    -     5.530639    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
                      |       |           |      |                                  |                  |       |                   |          |    |
            236.056   |   140 |           |      |    0.259318    -     5.510055    | 4d7.(a 4F).5s    | a 5F  |                   | 4*       |    |
            237.017   |   170 |           |      |    0.336399    -     5.565824    | 4d7.(a 4F).5s    | a 5F  |                   | 5*(5G*)  |    |
            237.527   |   240 |           |      |    0.336399    -     5.554592    | 4d7.(a 4F).5s    | a 5F  | 4d6.5s.(a 4D).5p  | x 5F*    |    |
            239.242   |   160 |           |      |    0.385032    -     5.565824    | 4d7.(a 4F).5s    | a 5F  |                   | 5*(5G*)  |    |
            241.088   |    55 |           |      |                                  |                  |       |                   |          |    |
