
----------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |     Lower level     |     Upper level     |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------------|---------------------|    |
             Vac (nm)  |       |           |      |                                   | Conf.        | Term | Conf.        | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |              |      |              |      |    |
            187.55571  |     7 |           |      |    0.000000     -     6.61052510  | 4d7          | 4F   | 4d6.(5D).5p  | 4D*  |    |
            188.80428  |     9 | 5.48e+07  |      |    0.000000     -     6.56681088  | 4d7          | 4F   | 4d6.(5D).5p  | 4F*  |    |
            190.32208  |    12 | 1.00e+08  |      |    0.18886103   -     6.7033021   | 4d7          | 4F   | 4d6.(5D).5p  | 4D*  |    |
            191.68152  |    12 | 1.14e+08  |      |    0.30920976   -     6.77744800  | 4d7          | 4F   | 4d6.(5D).5p  | 4D*  |    |
            193.90428  |     6 | 4.97e+07  |      |    0.30920976   -     6.7033021   | 4d7          | 4F   | 4d6.(5D).5p  | 4D*  |    |
                       |       |           |      |                                   |              |      |              |      |    |
            193.95049  |     6 | 6.65e+07  |      |    0.3848792    -     6.77744800  | 4d7          | 4F   | 4d6.(5D).5p  | 4D*  |    |
----------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |     Lower level     |     Upper level     |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------------|---------------------|    |
             Air (nm)  |       |           |      |                                   | Conf.        | Term | Conf.        | Term |    |
----------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |              |      |              |      |    |
            233.49699  |   120 |           |      |    1.25855474   -     6.56681088  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 4F*  |    |
            234.28490  |  190w |           |      |    1.25855474   -     6.5489604   | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
            235.79162  |   170 | 8.4e+07   |      |    1.13468288   -     6.39128547  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
            237.56345  |    80 |           |      |    1.43876329   -     6.65616294  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
            239.67106  |    95 |           |      |    1.13468288   -     6.30620652  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6F*  |    |
                       |       |           |      |                                   |              |      |              |      |    |
            240.27195  |   780 |           |      |    1.13468288   -     6.29327385  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6F*  |    |
            240.79222  |   150 |           |      |    1.40151422   -     6.5489604   | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
            241.48261  |    55 |           |      |    1.25855474   -     6.39128547  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
            245.55314  |   180 |           |      |    1.25855474   -     6.30620652  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6F*  |    |
            245.64386  |   150 | 1.59e+08  |      |    1.34549779   -     6.39128547  | 4d6.(5D).5s  | 6D   | 4d6.(5D).5p  | 6P*  |    |
