
--------------------------------------------------------------------------------------------------------------------------------------------------------
               Observed  |     Rel. |    Aki    | Acc. |          Ei           Ek            |       Lower level       |       Upper level        |Type|
              Wavelength |     Int. |    s^-1   |      |         (eV)         (eV)           |-------------------------|--------------------------|    |
               Vac (nm)  |          |           |      |                                     | Conf.            | Term | Conf.             | Term |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------
                         |          |           |      |                                     |                  |      |                   |      |    |
              100.04     |  20g,a,B |           |      |    0.0711223    -     12.465a       | 3s2.3p4          | 3P   | 3s2.3p3.(2P*).4d  | 3D*  |    |
              101.880    |   10g,a* |           |      |    0.000000     -     12.1697       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).22s | 3D*  |    |
              101.880    |   10g,a* |           |      |    0.000000     -     12.1697       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).22s | 3D*  |    |
              101.880    |   10g,a* |           |      |    0.000000     -     12.1697       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).22s | 3D*  |    |
              101.909    |   15g,a* |           |      |    0.000000     -     12.1661       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).21s | 3D*  |    |
                         |          |           |      |                                     |                  |      |                   |      |    |
              101.909    |   15g,a* |           |      |    0.000000     -     12.1661       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).21s | 3D*  |    |
              101.909    |   15g,a* |           |      |    0.000000     -     12.1661       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).21s | 3D*  |    |
              101.944    |   15g,a* |           |      |    0.000000     -     12.1620       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).20s | 3D*  |    |
              101.944    |   15g,a* |           |      |    0.000000     -     12.1620       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).20s | 3D*  |    |
              101.944    |   15g,a* |           |      |    0.000000     -     12.1620       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).20s | 3D*  |    |
                         |          |           |      |                                     |                  |      |                   |      |    |
              101.987    |   20g,a* |           |      |    0.000000     -     12.1569       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).19s | 3D*  |    |
              101.987    |   20g,a* |           |      |    0.000000     -     12.1569       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).19s | 3D*  |    |
              101.987    |   20g,a* |           |      |    0.000000     -     12.1569       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).19s | 3D*  |    |
              102.041    |   20g,a* |           |      |    0.000000     -     12.15         | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).18s | 3D*  |    |
              102.041    |   20g,a* |           |      |    0.000000     -     12.15         | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).18s | 3D*  |    |
                         |          |           |      |                                     |                  |      |                   |      |    |
              102.041    |   20g,a* |           |      |    0.000000     -     12.15         | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).18s | 3D*  |    |
              102.103    |   30g,a* |           |      |    0.000000     -     12.1430       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).17s | 3D*  |    |
              102.103    |   30g,a* |           |      |    0.000000     -     12.1430       | 3s2.3p4          | 3P   | 3s2.3p3.(2D*).17s | 3D*  |    |
