
----------------------------------------------------------------------------------------------------------------------------------
            Observed  |   Rel. |    Aki    | Acc. |          Ei           Ek          |   Lower level    |   Upper level    |Type|
           Wavelength |   Int. |    s^-1   |      |         (eV)         (eV)         |------------------|------------------|    |
            Vac (nm)  |        |           |      |                                   | Conf.     | Term | Conf.     | Term |    |
----------------------------------------------------------------------------------------------------------------------------------
                      |        |           |      |                                   |           |      |           |      |    |
            101.2504  |    50g | 9.56e+07  | B    |     0.00000     -     12.24541    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
            101.5487  |    25g | 2.88e+08  | B    |     0.037033    -     12.24619    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
            101.5573  |    12g | 7.80e+07  | B    |     0.037033    -     12.24541    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
            101.5783  |    25g | 6.53e+07  | B    |     0.037033    -     12.24286    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
            102.1112  |   150g | 1.09e+08  | B    |     0.103289    -     12.24541    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
                      |        |           |      |                                   |           |      |           |      |    |
            102.1328  |   150g | 2.09e+08  | B    |     0.103289    -     12.24286    | 3s2.3p2   | 3P   | 3s.3p3    | 3P*  |    |
            107.7145  |    150 | 1.36e+08  | B    |     1.40384     -     12.91416    | 3s2.3p2   | 1D   | 3s2.3p.3d | 1D*  |    |
            112.1760  |      4 | 3.04e+07  | B    |    10.42046     -     21.473212   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3P   |    |
            112.2413  |      7 | 1.48e+08  | B    |    10.42700     -     21.473212   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3P   |    |
            112.6536  |      5 | 4.91e+07  | B    |    10.41707     -     21.422889   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3P   |    |
                      |        |           |      |                                   |           |      |           |      |    |
            112.6879  |      7 | 1.34e+08  | B    |    10.42046     -     21.422889   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3P   |    |
            112.8497  |      5 | 1.93e+08  | B    |    10.41707     -     21.403737   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3P   |    |
            115.4689  |      3 | 4.19e+06  | C+   |    10.42046     -     21.157971   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
            115.5389  |      6 | 3.67e+07  | B    |    10.42700     -     21.157971   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
            116.2132  |     3w | 5.40e+06  | C+   |    10.41707     -     21.085834   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
                      |        |           |      |                                   |           |      |           |      |    |
            116.2494  |      6 | 2.50e+07  | C+   |    10.42046     -     21.085834   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
            116.3209  |      5 | 1.17e+07  | C+   |    10.42700     -     21.085834   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
            116.6150  |      6 | 2.64e+07  | C+   |    10.41707     -     21.048974   | 3s.3p3    | 3D*  | 3s2.3p.4p | 3D   |    |
