
-------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |  Lower level   |  Upper level  |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |----------------|---------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.   | Term | Conf.  | Term |    |
-------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |         |      |        |      |    |
           103.9917  |     7 | 1.50e+09  | B+   |    33.56257    -     45.48509   | 3s.3d   | 1D   | 3p.3d  | 1F*  |    |
           105.1524  |     0 |           |      |    49.29676    -     61.08776   | 3s.4d   | 1D   | 3s.6p  | 1P*  |    |
           106.3555  |     1 |           |      |    49.10525    -     60.76277   | 3s.4d   | 3D   | 3s.6p  | 3P*  |    |
           106.4022  |     0 |           |      |    49.10264    -     60.75506   | 3s.4d   | 3D   | 3s.6p  | 3P*  |    |
           107.1113  |     2 | 4.48e+08  | D    |    45.48509    -     57.06043   | 3p.3d   | 1F*  | 3p.4p  | 1D   |    |
                     |       |           |      |                                 |         |      |        |      |    |
           112.2042  |    10 | 7.15e+08  | B+   |    29.13083    -     40.18081   | 3s.3d   | 3D   | 3p.3d  | 3F*  |    |
           112.8667  |    10 | 6.17e+08  | B+   |    29.12973    -     40.11475   | 3s.3d   | 3D   | 3p.3d  | 3F*  |    |
           112.8776  |     6 | 8.57e+07  | B    |    29.13083    -     40.11475   | 3s.3d   | 3D   | 3p.3d  | 3F*  |    |
           113.3902  |     9 | 5.73e+08  | B+   |    29.12903    -     40.06333   | 3s.3d   | 3D   | 3p.3d  | 3F*  |    |
           119.9134  |    8g | 1.65e+05  | B+   |     0.0000     -     10.33948   | 2p6.3s2 | 1S   | 3s.3p  | 3P*  |    |
                     |       |           |      |                                 |         |      |        |      |    |
           123.0507  |     6 | 2.34e+09  | D    |    43.33674    -     53.41260   | 3s.4p   | 1P*  | 3s.5s  | 1S   |    |
           126.0763  |     3 | 2.70e+08  | E    |    43.28563    -     53.11966   | 3s.4p   | 3P*  | 3s.5s  | 3S   |    |
           126.1381  |     4 | 8.09e+08  | D    |    43.29046    -     53.11966   | 3s.4p   | 3P*  | 3s.5s  | 3S   |    |
           126.6453  |     7 | 1.33e+09  | D    |    43.32979    -     53.11966   | 3s.4p   | 3P*  | 3s.5s  | 3S   |    |
           126.8493  |     9 | 5.66e+08  | B+   |    33.56257    -     43.33674   | 3s.3d   | 1D   | 3s.4p  | 1P*  |    |
                     |       |           |      |                                 |         |      |        |      |    |
           127.4520  |     7 | 1.34e+08  | C+   |    33.56257    -     43.29046   | 3s.3d   | 1D   | 3s.4p  | 3P*  |    |
           127.8814  |     5 | 1.13e+09  | D    |    49.29676    -     58.99199   | 3s.4d   | 1D   | 3s.5f  | 1F*  |    |
           128.3689  |     2 | 1.19e+09  | D    |    49.10090    -     58.75933   | 3s.4d   | 3D   | 3s.5f  | 3F*  |    |
           128.3911  |     4 | 1.26e+09  | D    |    49.10264    -     58.75939   | 3s.4d   | 3D   | 3s.5f  | 3F*  |    |
           128.4210  |     6 | 1.42e+09  | D+   |    49.10525    -     58.75977   | 3s.4d   | 3D   | 3s.5f  | 3F*  |    |
