
------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |              Observed  |  Rel. |    Aki    | Acc. |           Ei           Ek           |        Lower level        |        Upper level        |Type|
          |             Wavelength |  Int. |    s^-1   |      |          (eV)         (eV)          |---------------------------|---------------------------|    |
          |              Vac (nm)  |       |           |      |                                     | Conf.          | Term     | Conf.          | Term     |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb II     |            100.1144    |     6 |           |      |                                     |                |          |                |          |    |
Sb II     |            100.9442    |     6 |           |      |     0.70153      -     12.98396     | 5s2.5p2        | 3P       | 5s2.5p.6d      | 3D*      |    |
Sb III    |            101.194     |    40 |           |      |                                     |                |          |                |          |    |
Sb II     |            105.2236    |     6 |           |      |     1.58573      -     13.36867     | 5s2.5p2        | 1D       | 5s2.5p.7s      | 3P*      |    |
Sb II     |            105.6228    |     8 |           |      |     1.58573      -     13.32415     | 5s2.5p2        | 1D       | 5s.5p3         | 1P*      |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb III    |            105.658     |    10 |           |      |                                     |                |          |                |          |    |
Sb II     |            105.7276    |     8 |           |      |     0.37872      -     12.10548     | 5s2.5p2        | 3P       | 5s.5p3         | 3S*      |    |
Sb III    |            106.590     |    40 |           |      |                                     |                |          |                |          |    |
Sb III    |            106.993     |    20 |           |      |                                     |                |          |                |          |    |
Sb III    |            107.043     |    20 |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb III    |            107.376     |     5 |           |      |                                     |                |          |                |          |    |
Sb II     |            107.3828    |     6 |           |      |                                     |                |          |                |          |    |
Sb III    |            107.582     |    30 |           |      |                                     |                |          |                |          |    |
Sb III    |            107.810     |     5 |           |      |                                     |                |          |                |          |    |
Sb III    |            108.406     |    20 |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb IV     |            108.76      |       |           |      |                                     |                |          |                |          |    |
Sb III    |            109.834     |    10 |           |      |                                     |                |          |                |          |    |
Sb IV     |            109.93      |       |           |      |                                     |                |          |                |          |    |
Sb V      |            110.432     |     8 |           |      |                                     |                |          |                |          |    |
Sb IV     |            111.51      |       |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb IV     |            112.04      |       |           |      |                                     |                |          |                |          |    |
Sb III    |            113.543     |    10 |           |      |                                     |                |          |                |          |    |
Sb IV     |            114.59      |       |           |      |                                     |                |          |                |          |    |
Sb III    |            115.149     |    30 |           |      |                                     |                |          |                |          |    |
Sb IV     |            115.15      |       |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb III    |            115.774     |    40 |           |      |                                     |                |          |                |          |    |
Sb III    |            116.696     |    12 |           |      |                                     |                |          |                |          |    |
Sb IV     |            117.14      |       |           |      |                                     |                |          |                |          |    |
Sb IV     |            119.29      |       |           |      |                                     |                |          |                |          |    |
Sb IV     |            119.91      |       |           |      |                                     |                |          |                |          |    |
          |                        |       |           |      |                                     |                |          |                |          |    |
Sb III    |            120.520     |    50 |           |      |                                     |                |          |                |          |    |
