
----------------------------------------------------------------------------------------------------------------------------------------------------
             Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |        Lower level        |        Upper level        |Type|
            Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------------------|---------------------------|    |
             Vac (nm)  |       |           |      |                                   | Conf.          | Term     | Conf.          | Term     |    |
----------------------------------------------------------------------------------------------------------------------------------------------------
                       |       |           |      |                                   |                |          |                |          |    |
           143.076     |    10 |           |      |    0.000000     -     8.66563     | 5p3            | 4S*      | 5p2.(3P).9d    |          |    |
           146.419     |  10w? |           |      |                                   |                |          |                |          |    |
           148.657     |   20r |           |      |    0.000000     -     8.3402298   | 5p3            | 4S*      | 5p2.(3P).6d    | 2D?      |    |
           149.136     |   40w |           |      |    0.000000     -     8.3135285   | 5p3            | 4S*      |                | 67053    |    |
           151.257     |   50r |           |      |    0.000000     -     8.1969939   | 5p3            | 4S*      | 5p2.(3P).8s    | 4P       |    |
                       |       |           |      |                                   |                |          |                |          |    |
           153.274     |  120r |           |      |    0.000000     -     8.0891317   | 5p3            | 4S*      | 5p2.(1D).5d    | 2D       |    |
           153.506     |   80r |           |      |    0.000000     -     8.076777    | 5p3            | 4S*      | 5p2.(3P).6d    | 4D       |    |
           159.996     |   80r |           |      |    0.000000     -     7.7492263   | 5p3            | 4S*      | 5p2.(3P).6d    | 4F       |    |
           161.28      |  200w |           |      |                                   |                |          |                |          |    |
           162.33      |  100w |           |      |                                   |                |          |                |          |    |
                       |       |           |      |                                   |                |          |                |          |    |
           165.120     |   50w |           |      |                                   |                |          |                |          |    |
           166.26      |  100w |           |      |    1.05536895   -     8.51163     | 5p3            | 2D*      | 5p2.(3P).8s    | 4P       |    |
           169.885     |    50 |           |      |    0.000000     -     7.2980678   | 5p3            | 4S*      | 5p2.(3P).5d    | 4D       |    |
           171.693     |   80r |           |      |                                   |                |          |                |          |    |
           171.745     |  150r |           |      |    1.22174247   -     8.4408062   | 5p3            | 2D*      | 5p2.(3P).6d    | 2F       |    |
                       |       |           |      |                                   |                |          |                |          |    |
           172.343     |  150r |           |      |    1.05536895   -     8.249312    | 5p3            | 2D*      |                | 66535    |    |
           173.619     |  100r |           |      |    0.000000     -     7.1411427   | 5p3            | 4S*      | 5p2.(3P).5d    | 4D       |    |
           175.779     |    50 |           |      |    1.22174247   -     8.2750925   | 5p3            | 2D*      | 5p2.(3P).6d    | 4D       |    |
           176.576     |  100w |           |      |    1.05536895   -     8.076777    | 5p3            | 2D*      | 5p2.(3P).6d    | 4D       |    |
           178.087     |  100r |           |      |    0.000000     -     6.9619359   | 5p3            | 4S*      | 5p2.(3P).5d    | 4P       |    |
                       |       |           |      |                                   |                |          |                |          |    |
           178.824     |  100r |           |      |    1.05536895   -     7.9885985   | 5p3            | 2D*      | 5p2.(3P).7d    |          |    |
           180.018     |   150 |           |      |    1.22174247   -     8.1090371   | 5p3            | 2D*      | 5p2.(1D).5d    | 2F       |    |
           181.050     |   50r |           |      |    0.000000     -     6.8480143   | 5p3            | 4S*      | 5p2.(1D).6s    | 2D       |    |
