
-----------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |------------------|-----------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.     | Term | Conf.          | Term |    |
-----------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |           |      |                |      |    |
           100.1144  |     6 |           |      |                                 |           |      |                |      |    |
           100.9442  |     6 |           |      |     0.70153    -     12.98396   | 5s2.5p2   | 3P   | 5s2.5p.6d      | 3D*  |    |
           105.2236  |     6 |           |      |     1.58573    -     13.36867   | 5s2.5p2   | 1D   | 5s2.5p.7s      | 3P*  |    |
           105.6228  |     8 |           |      |     1.58573    -     13.32415   | 5s2.5p2   | 1D   | 5s.5p3         | 1P*  |    |
           105.7276  |     8 |           |      |     0.37872    -     12.10548   | 5s2.5p2   | 3P   | 5s.5p3         | 3S*  |    |
                     |       |           |      |                                 |           |      |                |      |    |
           107.3828  |     6 |           |      |                                 |           |      |                |      |    |
           123.0236  |     6 |           |      |     2.96390    -     13.04197   | 5s2.5p2   | 1S   | 5s2.5p.6d      | 3D*  |    |
           127.4670  |     8 |           |      |     1.58573    -     11.31248   | 5s2.5p2   | 1D   | 5s2.5p.5d      | 3P*  |    |
           127.4938  |     8 |           |      |     1.58573    -     11.31046   | 5s2.5p2   | 1D   | 5s2.5p.5d      | 1F*  |    |
           132.7378  |     8 |           |      |     0.37872    -      9.71923   | 5s2.5p2   | 3P   | 5s.5p3         | 3P*  |    |
                     |       |           |      |                                 |           |      |                |      |    |
           135.8009  |     6 |           |      |     0.37872    -      9.50857   | 5s2.5p2   | 3P   | 5s2.5p.5d      | 3F*  |    |
           138.4656  |     8 | 1.1e+08   |      |     0.37872    -      9.33285   | 5s2.5p2   | 3P   | 5s2.5p.6s      | 3P*  |    |
           140.7784  |     6 |           |      |     0.70153    -      9.50857   | 5s2.5p2   | 3P   | 5s2.5p.5d      | 3F*  |    |
           143.6447  |     8 | 5.2e+08   |      |     0.70153    -      9.33285   | 5s2.5p2   | 3P   | 5s2.5p.6s      | 3P*  |    |
           156.5501  |     6 |           |      |     0.70153    -      8.62133   | 5s2.5p2   | 3P   | 5s2.5p.6s      | 3P*  |    |
                     |       |           |      |                                 |           |      |                |      |    |
           157.6099  |     8 |           |      |     0.37872    -      8.24523   | 5s2.5p2   | 3P   | 5s.5p3         | 3D*  |    |
           158.1353  |     7 |           |      |     0.37872    -      8.21911   | 5s2.5p2   | 3P   | 5s.5p3         | 3D*  |    |
           160.6952  |    10 |           |      |     0.70153    -      8.41698   | 5s2.5p2   | 3P   | 5s.5p3         | 3D*  |    |
           165.7036  |    20 |           |      |     6.41282    -     13.89367   | 5s.5p3    | 5S*  | 5s2.5p.4f      | 1D   |    |
           173.6469  |     8 |           |      |                                 |           |      |                |      |    |
                     |       |           |      |                                 |           |      |                |      |    |
           199.017   |     1 |           |      |     9.56407    -     15.79375   | 5s.5p3    | 3P*  | 5s.5p2.(4P).6s | 3P   |    |
