
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.194  |    40 |           |      |                     |    |
           105.658  |    10 |           |      |                     |    |
           106.590  |    40 |           |      |                     |    |
           106.993  |    20 |           |      |                     |    |
           107.043  |    20 |           |      |                     |    |
                    |       |           |      |                     |    |
           107.376  |     5 |           |      |                     |    |
           107.582  |    30 |           |      |                     |    |
           107.810  |     5 |           |      |                     |    |
           108.406  |    20 |           |      |                     |    |
           109.834  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           113.543  |    10 |           |      |                     |    |
           115.149  |    30 |           |      |                     |    |
           115.774  |    40 |           |      |                     |    |
           116.696  |    12 |           |      |                     |    |
           120.520  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           121.064  |    50 |           |      |                     |    |
           130.669  |    20 |           |      |                     |    |
           137.958  |     8 |           |      |                     |    |
           140.418  |    20 |           |      |                     |    |
           142.957  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           167.389  |    15 |           |      |                     |    |
           171.023  |     3 |           |      |                     |    |
           171.184  |    15 |           |      |                     |    |
           172.533  |    15 |           |      |                     |    |
           176.230  |    12 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.932  |    12 |           |      |                     |    |
           194.613  |    10 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           205.410  |     3 |           |      |                     |    |
           209.185  |     2 |           |      |                     |    |
           212.700  |     5 |           |      |                     |    |
           250.771  |     5 |           |      |                     |    |
           259.013  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           261.420  |     1 |           |      |                     |    |
           261.717  |    12 |           |      |                     |    |
           261.763  |     1 |           |      |                     |    |
           266.939  |    20 |           |      |                     |    |
           278.587  |     5 |           |      |                     |    |
                    |       |           |      |                     |    |
           279.027  |    20 |           |      |                     |    |
           333.661  |    20 |           |      |                     |    |
           350.407  |    50 |           |      |                     |    |
           351.906  |    15 |           |      |                     |    |
           353.345  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           355.918  |    40 |           |      |                     |    |
           356.625  |    40 |           |      |                     |    |
           373.890  |    30 |           |      |                     |    |
           426.509  |    40 |           |      |                     |    |
           435.216  |    50 |           |      |                     |    |
                    |       |           |      |                     |    |
           459.189  |    30 |           |      |                     |    |
           469.291  |    30 |           |      |                     |    |
           524.771  |     1 |           |      |                     |    |
           569.08   |     1 |           |      |                     |    |
           571.73   |     1 |           |      |                     |    |
                    |       |           |      |                     |    |
           584.55   |     3 |           |      |                     |    |
           624.67   |     5 |           |      |                     |    |
           628.76   |     3 |           |      |                     |    |
