
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |            Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek          |           Lower level            |           Upper level            |Type|
          |           Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)         |----------------------------------|----------------------------------|    |
          |            Vac (nm)  |         |           |      |                                   | Conf.                 | Term     | Conf.                 | Term     |    |
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc V      |            111.1394  |       2 |           |      |    43.66975     -     54.82560    | 3s2.3p4.(3P).3d       | 2D       | 3s2.3p4.(3P).4p       | 2D*      |    |
Sc V      |            112.2037  |       0 |           |      |    55.44985     -     66.49986    | 3s.3p5.(3P*).3d       | 2F*      | 3s2.3p4.(1D).4d       | 2G       |    |
Sc V      |            113.5482  |       1 |           |      |    44.12300     -     55.04213    | 3s2.3p4.(3P).3d       | 2D       | 3s2.3p4.(3P).4p       | 2P*      |    |
Sc IV     |            113.9449  |       6 |           |      |    46.08929     -     56.97035    | 3s2.3p5.4p            | 3S       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
Sc V      |            114.8129  |       3 |           |      |    53.95010     -     64.74913    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4P       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc III    |            114.8241  |      15 | 1.1e+08   | D    |     7.699952    -     18.497701   | 3p6.4p                | 2P*      | 3p6.6s                | 2S       |    |
Sc V      |            115.0271  |       0 |           |      |    55.71010     -     66.48883    | 3s.3p5.(3P*).3d       | 2F*      | 3s2.3p4.(1D).4d       | 2G       |    |
Sc V      |            115.3459  |       0 |           |      |    43.66975     -     54.41852    | 3s2.3p4.(3P).3d       | 2D       | 3s.3p5.(3P*).3d       | 4D*      |    |
Sc III    |            115.4523  |      20 | 2.3e+08   | D    |     7.758705    -     18.497701   | 3p6.4p                | 2P*      | 3p6.6s                | 2S       |    |
Sc V      |            115.5237  |       6 |           |      |    54.01674     -     64.74913    | 3s2.3p4.(3P).4p       | 4P*      | 3s2.3p4.(3P).4d       | 4P       |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            116.1347  |       1 |           |      |     0.618407    -     11.29430    | 3p6.3d2               | 3F       | 3p6.3d.6f             | 3G*      |    |
Sc II     |            116.1624  |       0 |           |      |     0.618407    -     11.29179    | 3p6.3d2               | 3F       | 3p6.3d.6f             | 3G*      |    |
Sc II     |            116.1781  |       0 |           |      |     0.618407    -     11.29031    | 3p6.3d2               | 3F       | 3p6.3d.6f             | 3F*      |    |
Sc III    |            116.2443  |      20 | 1.6e+08   | D    |     7.699952    -     18.365782   | 3p6.4p                | 2P*      | 3p6.5d                | 2D       |    |
Sc II     |            116.2544  |       0 |           |      |     0.595480    -     11.26038    | 3p6.3d2               | 3F       | 3p6.3d.6f             | 3G*      |    |
          |                      |         |           |      |                                   |                       |          |                       |          |    |
Sc II     |            116.3464  |       0 |           |      |     0.618407    -     11.27486    | 3p6.3d2               | 3F       | 3p6.3d.6f             | 3H*      |    |
