
------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |   Rel. |    Aki    | Acc. |         Ei           Ek         |     Lower level      |       Upper level       |Type|
          Wavelength |   Int. |    s^-1   |      |        (eV)         (eV)        |----------------------|-------------------------|    |
           Vac (nm)  |        |           |      |                                 | Conf.         | Term | Conf.            | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                     |        |           |      |                                 |               |      |                  |      |    |
           155.405   |    g,a |           |      |    0.00000     -     7.97813    | 3d.4s2        | 2D   | 4s2.19f          | 2F*  |    |
           155.491   |    g,a |           |      |    0.00000     -     7.97372    | 3d.4s2        | 2D   | 4s2.18f          | 2F*  |    |
           155.576   |   g,a* |           |      |    0.020871    -     7.99026    | 3d.4s2        | 2D   | 4s2.23f          | 2F*  |    |
           155.576   |   g,a* |           |      |    0.020871    -     7.99026    | 3d.4s2        | 2D   | 4s2.23f          | 2F*  |    |
           155.590   |    g,a |           |      |    0.00000     -     7.96861    | 3d.4s2        | 2D   | 4s2.17f          | 2F*  |    |
                     |        |           |      |                                 |               |      |                  |      |    |
           155.622   |   g,a* |           |      |    0.020871    -     7.98788    | 3d.4s2        | 2D   | 4s2.22f          | 2F*  |    |
           155.622   |   g,a* |           |      |    0.020871    -     7.98788    | 3d.4s2        | 2D   | 4s2.22f          | 2F*  |    |
           155.675   |   g,a* |           |      |    0.020871    -     7.98518    | 3d.4s2        | 2D   | 4s2.21f          | 2F*  |    |
           155.675   |   g,a* |           |      |    0.020871    -     7.98518    | 3d.4s2        | 2D   | 4s2.21f          | 2F*  |    |
           155.813   |   g,a* |           |      |    0.020871    -     7.97813    | 3d.4s2        | 2D   | 4s2.19f          | 2F*  |    |
                     |        |           |      |                                 |               |      |                  |      |    |
           155.813   |   g,a* |           |      |    0.020871    -     7.97813    | 3d.4s2        | 2D   | 4s2.19f          | 2F*  |    |
           155.862   |    g,a |           |      |    0.00000     -     7.95488    | 3d.4s2        | 2D   | 4s2.15f          | 2F*  |    |
           155.899   |   g,a* |           |      |    0.020871    -     7.97372    | 3d.4s2        | 2D   | 4s2.18f          | 2F*  |    |
           155.899   |   g,a* |           |      |    0.020871    -     7.97372    | 3d.4s2        | 2D   | 4s2.18f          | 2F*  |    |
           156.000   |   g,a* |           |      |    0.020871    -     7.96861    | 3d.4s2        | 2D   | 4s2.17f          | 2F*  |    |
                     |        |           |      |                                 |               |      |                  |      |    |
           156.000   |   g,a* |           |      |    0.020871    -     7.96861    | 3d.4s2        | 2D   | 4s2.17f          | 2F*  |    |
           156.039   |    g,a |           |      |    0.00000     -     7.94568    | 3d.4s2        | 2D   | 4s2.14f          | 2F*  |    |
           156.267   |   g,a* |           |      |    0.00000     -     7.93422    | 3d.4s2        | 2D   | 4s2.13f          | 2F*  |    |
           156.267   |      * |           |      |    0.020871    -     7.95488    | 3d.4s2        | 2D   | 4s2.15f          | 2F*  |    |
           156.267   |      * |           |      |    0.020871    -     7.95488    | 3d.4s2        | 2D   | 4s2.15f          | 2F*  |    |
                     |        |           |      |                                 |               |      |                  |      |    |
           156.452   |   g,a* |           |      |    0.020871    -     7.94568    | 3d.4s2        | 2D   | 4s2.14f          | 2F*  |    |
