
---------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |    Rel. |    Aki    | Acc. |         Ei           Ek         |   Lower level    |          Upper level          |Type|
          Wavelength |    Int. |    s^-1   |      |        (eV)         (eV)        |------------------|-------------------------------|    |
           Vac (nm)  |         |           |      |                                 | Conf.     | Term | Conf.               | Term    |    |
---------------------------------------------------------------------------------------------------------------------------------------------
                     |         |           |      |                                 |           |      |                     |         |    |
           116.1347  |       1 |           |      |    0.618407    -    11.29430    | 3p6.3d2   | 3F   | 3p6.3d.6f           | 3G*     |    |
           116.1624  |       0 |           |      |    0.618407    -    11.29179    | 3p6.3d2   | 3F   | 3p6.3d.6f           | 3G*     |    |
           116.1781  |       0 |           |      |    0.618407    -    11.29031    | 3p6.3d2   | 3F   | 3p6.3d.6f           | 3F*     |    |
           116.2544  |       0 |           |      |    0.595480    -    11.26038    | 3p6.3d2   | 3F   | 3p6.3d.6f           | 3G*     |    |
           116.3464  |       0 |           |      |    0.618407    -    11.27486    | 3p6.3d2   | 3F   | 3p6.3d.6f           | 3H*     |    |
                     |         |           |      |                                 |           |      |                     |         |    |
           120.3635  |       0 |           |      |    0.315038    -    10.61585    | 3p6.3d.4s | 1D   | 3p6.3d.5f           | 1F*     |    |
           123.7170  |       0 |           |      |    0.618407    -    10.640001   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 1H*     |    |
           123.7317  |       1 |           |      |    0.595480    -    10.61585    | 3p6.3d2   | 3F   | 3p6.3d.5f           | 1F*     |    |
           123.8571  |       1 |           |      |    0.605485    -    10.61585    | 3p6.3d2   | 3F   | 3p6.3d.5f           | 1F*     |    |
           123.8813  |       3 |           |      |    0.605485    -    10.613790   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3G*     |    |
                     |         |           |      |                                 |           |      |                     |         |    |
           123.8963  |       0 |           |      |    0.618407    -    10.62553    | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3D*     |    |
           123.9952  |       4 |           |      |    0.618407    -    10.617517   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3G*     |    |
           124.0415  |       1 |           |      |    0.618407    -    10.613790   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3G*     |    |
           124.0656  |       2 |           |      |    0.595480    -    10.588918   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3G*     |    |
           124.0810  |       1 |           |      |    0.618407    -    10.61060    | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3F*     |    |
                     |         |           |      |                                 |           |      |                     |         |    |
           124.1166  |       2 |           |      |    0.605485    -    10.594820   | 3p6.3d2   | 3F   | 3p6.3d.5f           | *       |    |
           124.1283  |       1 |           |      |    0.605485    -    10.593873   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3H*     |    |
           124.1979  |       0 |           |      |    0.618407    -    10.601197   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 3H*     |    |
           124.2693  |       0 |           |      |    0.605485    -    10.582542   | 3p6.3d2   | 3F   | 3p6.3d.5f           | 1G*     |    |
           124.7834  |       0 |           |      |    1.356952    -    11.29290    | 3p6.3d2   | 1D   | 3p6.3d.6f           | 1F*     |    |
