
---------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |        |      |    |
            114.8241  |    15 | 1.1e+08   | D    |     7.699952    -     18.497701   | 3p6.4p | 2P*  | 3p6.6s | 2S   |    |
            115.4523  |    20 | 2.3e+08   | D    |     7.758705    -     18.497701   | 3p6.4p | 2P*  | 3p6.6s | 2S   |    |
            116.2443  |    20 | 1.6e+08   | D    |     7.699952    -     18.365782   | 3p6.4p | 2P*  | 3p6.5d | 2D   |    |
            116.8607  |    25 | 1.9e+08   | D    |     7.758705    -     18.368276   | 3p6.4p | 2P*  | 3p6.5d | 2D   |    |
            116.8883  |    10 | 3.2e+07   | D    |     7.758705    -     18.365782   | 3p6.4p | 2P*  | 3p6.5d | 2D   |    |
                      |       |           |      |                                   |        |      |        |      |    |
            149.3502  |     1 | 9.3e+06   | E    |    13.918170    -     22.219790   | 3p6.4d | 2D   | 3p6.7f | 2F*  |    |
            149.4506  |     1 | 9.9e+06   | E    |    13.923791    -     22.219790   | 3p6.4d | 2D   | 3p6.7f | 2F*  |    |
            159.8002  |   80g | 4.6e+07   | D    |     0.00000     -      7.758705   | 3p6.3d | 2D   | 3p6.4p | 2P*  |    |
            160.3063  |  180g | 4.1e+08   | D    |     0.024504    -      7.758705   | 3p6.3d | 2D   | 3p6.4p | 2P*  |    |
            161.0194  |  150g | 4.4e+08   | D    |     0.00000     -      7.699952   | 3p6.3d | 2D   | 3p6.4p | 2P*  |    |
                      |       |           |      |                                   |        |      |        |      |    |
            167.9824  |     5 | 6.3e+06   | E    |    13.918170    -     21.298952   | 3p6.4d | 2D   | 3p6.6f | 2F*  |    |
            168.1105  |     7 | 6.9e+06   | E    |    13.923791    -     21.298952   | 3p6.4d | 2D   | 3p6.6f | 2F*  |    |
            174.2690  |    2d |           |      |    13.923791    -     21.03837    | 3p6.4d | 2D   | 3p6.7p | 2P*  |    |
            189.5441  |    40 | 3.0e+08   | D    |     7.699952    -     14.241132   | 3p6.4p | 2P*  | 3p6.5s | 2S   |    |
            191.2620  |    60 | 5.8e+08   | C    |     7.758705    -     14.241132   | 3p6.4p | 2P*  | 3p6.5s | 2S   |    |
                      |       |           |      |                                   |        |      |        |      |    |
            199.3886  |    90 | 9.4e+08   | C    |     7.699952    -     13.918170   | 3p6.4p | 2P*  | 3p6.4d | 2D   |    |
---------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level  |  Upper level  |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |---------------|---------------|    |
            Air (nm)  |       |           |      |                                   | Conf.  | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |        |      |        |      |    |
            201.0420  |    60 | 1.10e+09  | C    |     7.758705    -     13.923791   | 3p6.4p | 2P*  | 3p6.4d | 2D   |    |
