
--------------------------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |         Ei           Ek         |           Lower level            |           Upper level            |Type|
          Wavelength |  Int. |    s^-1   |      |        (eV)         (eV)        |----------------------------------|----------------------------------|    |
           Vac (nm)  |       |           |      |                                 | Conf.                 | Term     | Conf.                 | Term     |    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                 |                       |          |                       |          |    |
           113.9449  |     6 |           |      |    46.08929    -     56.97035   | 3s2.3p5.4p            | 3S       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           119.5869  |     1 |           |      |    47.13238    -     57.50001   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           120.8521  |     2 |           |      |    47.32625    -     57.58535   | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           121.9399  |     8 |           |      |    46.91792    -     57.08566   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           122.8204  |     9 |           |      |    46.87557    -     56.97035   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
                     |       |           |      |                                 |                       |          |                       |          |    |
           123.3376  |     6 |           |      |    46.91792    -     56.97035   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           123.5627  |     5 |           |      |    47.55130    -     57.58535   | 3s2.3p5.4p            | 1P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           124.5661  |     6 |           |      |    47.13238    -     57.08566   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           124.6224  |     3 |           |      |    47.55130    -     57.50001   | 3s2.3p5.4p            | 1P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           125.3195  |     7 |           |      |    47.69192    -     57.58535   | 3s2.3p5.4p            | 1D       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
                     |       |           |      |                                 |                       |          |                       |          |    |
           125.5663  |     1 |           |      |    47.71132    -     57.58535   | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           126.0248  |     0 |           |      |    47.13238    -     56.97035   | 3s2.3p5.4p            | 3D       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           126.7628  |     5 |           |      |    47.80459    -     57.58535   | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
           127.0408  |     4 |           |      |    47.32625    -     57.08566   | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<3/2>).5s | 2[3/2]*  |    |
           127.8784  |     4 |           |      |    47.80459    -     57.50001   | 3s2.3p5.4p            | 3P       | 3s2.3p5.(2P*<1/2>).5s | 2[1/2]*  |    |
                     |       |           |      |                                 |                       |          |                       |          |    |
