
----------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
           Vac (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------
                     |       |           |      |                     |    |
           140.54    |   100 |           |      |                     |    |
           140.64    |   100 |           |      |                     |    |
           140.66    |   100 |           |      |                     |    |
           143.53    |   120 |           |      |                     |    |
           143.58    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           144.48    |   100 |           |      |                     |    |
           144.68    |   100 |           |      |                     |    |
           144.70    |   100 |           |      |                     |    |
           144.92    |   150 |           |      |                     |    |
           145.63    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           150.09    |   150 |           |      |                     |    |
           153.04    |   250 |           |      |                     |    |
           153.13    |   150 |           |      |                     |    |
           153.18    |   200 |           |      |                     |    |
           154.71    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           156.03    |   120 |           |      |                     |    |
           157.53    |   150 |           |      |                     |    |
           157.76    |   150 |           |      |                     |    |
           157.79    |   150 |           |      |                     |    |
           157.95    |   150 |           |      |                     |    |
                     |       |           |      |                     |    |
           158.00    |   200 |           |      |                     |    |
           158.75    |   150 |           |      |                     |    |
           159.32    |   150 |           |      |                     |    |
           160.65    |   250 |           |      |                     |    |
           161.07    |   100 |           |      |                     |    |
                     |       |           |      |                     |    |
           161.13    |   100 |           |      |                     |    |
           161.74    |   200 |           |      |                     |    |
           162.12    |   150 |           |      |                     |    |
           162.27    |   100 |           |      |                     |    |
           162.62    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           164.34    |   150 |           |      |                     |    |
           167.12    |   250 |           |      |                     |    |
           167.53    |   250 |           |      |                     |    |
           169.07    |   250 |           |      |                     |    |
           179.33    |   250 |           |      |                     |    |
                     |       |           |      |                     |    |
           179.53    |   300 |           |      |                     |    |
           185.52    |   300 |           |      |                     |    |
           185.88    |   250 |           |      |                     |    |
           189.86    |   400 |           |      |                     |    |
           191.38    |   350 |           |      |                     |    |
                     |       |           |      |                     |    |
           191.92    |   300 |           |      |                     |    |
           196.09    |   500 |           |      |                     |    |
           199.51    |   150 |           |      |                     |    |
----------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
          Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
           Air (nm)  |       |           |      |                     |    |
----------------------------------------------------------------------------
                     |       |           |      |                     |    |
           203.98    |   500 |           |      |                     |    |
           207.48    |   500 |           |      |                     |    |
           216.42    |   500 |           |      |                     |    |
           233.28    |   150 |           |      |                     |    |
           241.35    |   600 |           |      |                     |    |
                     |       |           |      |                     |    |
           254.80    |   300 |           |      |                     |    |
           432.87    |   120 |           |      |                     |    |
           433.03    |   100 |           |      |                     |    |
           473.08    |   500 |           |      |                     |    |
           473.90    |   400 |           |      |                     |    |
                     |       |           |      |                     |    |
           474.22    |   300 |           |      |                     |    |
           536.55    |   100 |           |      |                     |    |
           536.99    |   120 |           |      |                     |    |
           537.41    |   110 |           |      |                     |    |
           632.56    |   200 |           |      |                     |    |
                     |       |           |      |                     |    |
           683.13    |   150 |           |      |                     |    |
           699.0690  |   120 |           |      |                     |    |
           699.1792  |   100 |           |      |                     |    |
           701.0809  |   200 |           |      |                     |    |
           701.3875  |   150 |           |      |                     |    |
                     |       |           |      |                     |    |
           706.2065  |   300 |           |      |                     |    |
           757.51    |   200 |           |      |                     |    |
           758.34    |   250 |           |      |                     |    |
           759.22    |   150 |           |      |                     |    |
           760.68    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           800.10    |   300 |           |      |                     |    |
           803.64    |   200 |           |      |                     |    |
           806.09    |   120 |           |      |                     |    |
           806.53    |   120 |           |      |                     |    |
           808.11    |   120 |           |      |                     |    |
                     |       |           |      |                     |    |
           809.32    |   150 |           |      |                     |    |
           809.47    |   150 |           |      |                     |    |
           814.93    |   180 |           |      |                     |    |
           815.20    |   150 |           |      |                     |    |
           815.77    |   200 |           |      |                     |    |
                     |       |           |      |                     |    |
           816.31    |   180 |           |      |                     |    |
           818.29    |   150 |           |      |                     |    |
           818.50    |   100 |           |      |                     |    |
           819.46    |   120 |           |      |                     |    |
           844.047   |   150 |           |      |                     |    |
                     |       |           |      |                     |    |
           845.038   |   150 |           |      |                     |    |
           874.233   |   150 |           |      |                     |    |
           891.886   |   300 |           |      |                     |    |
           896.969   |   100 |           |      |                     |    |
           900.197   |   200 |           |      |                     |    |
                     |       |           |      |                     |    |
           903.861   |   200 |           |      |                     |    |
           908.314   |    80 |           |      |                     |    |
           908.879   |   120 |           |      |                     |    |
           914.083   |    80 |           |      |                     |    |
           918.188   |    60 |           |      |                     |    |
                     |       |           |      |                     |    |
           927.112   |    60 |           |      |                     |    |
           943.250   |   100 |           |      |                     |    |
           982.558   |    60 |           |      |                     |    |
          1021.725   |   200 |           |      |                     |    |
          1030.745   |   377 |           |      |                     |    |
                     |       |           |      |                     |    |
          1032.726   |   900 |           |      |                     |    |
          1038.636   |   640 |           |      |                     |    |
          1065.030   |   124 |           |      |                     |    |
          1193.456   |   125 |           |      |                     |    |
          1194.687   |   275 |           |      |                     |    |
                     |       |           |      |                     |    |
          1194.792   |   100 |           |      |                     |    |
          1195.227   |   105 |           |      |                     |    |
          1195.264   |   170 |           |      |                     |    |
          1196.604   |   100 |           |      |                     |    |
          1197.293   |   205 |           |      |                     |    |
                     |       |           |      |                     |    |
          1197.307   |   115 |           |      |                     |    |
