
-------------------------------------------------------------------------------------------------------------------------------------------------------
            Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |   Lower level    |              Upper level               |Type|
           Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |------------------|----------------------------------------|    |
            Vac (nm)  |       |           |      |                                   | Conf.     | Term | Conf.                     | Term       |    |
-------------------------------------------------------------------------------------------------------------------------------------------------------
                      |       |           |      |                                   |           |      |                           |            |    |
            125.528   |    10 |           |      |                                   |           |      |                           |            |    |
            125.649   |    40 |           |      |                                   |           |      |                           |            |    |
            125.880   |    50 |           |      |                                   |           |      |                           |            |    |
            157.387   |    50 |           |      |                                   |           |      |                           |            |    |
            157.482   |    50 |           |      |                                   |           |      |                           |            |    |
                      |       |           |      |                                   |           |      |                           |            |    |
            159.241   |    50 |           |      |                                   |           |      |                           |            |    |
            159.455   |   150 |           |      |                                   |           |      |                           |            |    |
            159.493   |    50 |           |      |                                   |           |      |                           |            |    |
            159.795   |    30 |           |      |                                   |           |      |                           |            |    |
            162.287   |   100 |           |      |                                   |           |      |                           |            |    |
                      |       |           |      |                                   |           |      |                           |            |    |
            162.571   |    30 | 7.16e+07  | E    |    0.000000     -     7.626487    | 3s2.3p2   | 3P   | 3s2.3p.5d                 | 3D*        |    |
            162.943   |   300 | 8.73e+07  | C    |    0.0095610    -     7.618563    | 3s2.3p2   | 3P   | 3s2.3p.5d                 | 3D*        |    |
            162.992   |   200 |           |      |                                   |           |      |                           |            |    |
            163.113   |    75 |           |      |                                   |           |      |                           |            |    |
            163.398   |    50 |           |      |                                   |           |      |                           |            |    |
                      |       |           |      |                                   |           |      |                           |            |    |
            165.335   |   30w |           |      |                                   |           |      |                           |            |    |
            166.452   |    30 |           |      |                                   |           |      |                           |            |    |
            166.637   |    50 | 1.75e+07  | D    |    0.000000     -     7.4403482   | 3s2.3p2   | 3P   | 3s2.3p.nd                 | a 3P*      |    |
            166.762   |   100 | 8.27e+07  | E    |    0.0095610    -     7.444321    | 3s2.3p2   | 3P   | 3s2.3p.nd                 | a 3P*      |    |
            166.852   |   100 | 2.58e+07  | D    |    0.0095610    -     7.4403482   | 3s2.3p2   | 3P   | 3s2.3p.nd                 | a 3P*      |    |
                      |       |           |      |                                   |           |      |                           |            |    |
            167.259   |   100 | 3.09e+07  | D+   |    0.0276679    -     7.4403482   | 3s2.3p2   | 3P   | 3s2.3p.nd                 | a 3P*      |    |
            167.520   |   200 | 6.41e+07  | C    |    0.0276679    -     7.4288026   | 3s2.3p2   | 3P   | 3s2.3p.nd                 | a 3P*      |    |
            168.268   |    30 |           |      |                                   |           |      |                           |            |    |
            168.682   |    30 |           |      |                                   |           |      |                           |            |    |
            168.929   |   50w |           |      |                                   |           |      |                           |            |    |
                      |       |           |      |                                   |           |      |                           |            |    |
            169.079   |   30w |           |      |                                   |           |      |                           |            |    |
            169.329   |    50 | 6.75e+07  | D+   |    0.000000     -     7.3220735   | 3s2.3p2   | 3P   | 3s2.3p.4d                 | 3D*        |    |
            169.551   |    50 | 3.97e+07  | D+   |    0.0095610    -     7.3220735   | 3s2.3p2   | 3P   | 3s2.3p.4d                 | 3D*        |    |
