
------------------------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |      Lower level      |      Upper level      |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |-----------------------|-----------------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.          | Term | Conf.          | Term |    |
------------------------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |                |      |                |      |    |
           102.070   |    25 | 8.91e+07  | D    |     0.00000     -     12.146991   | 3s2.3p         | 2P*  | 3s2.5s         | 2S   |    |
           102.369   |    50 | 1.77e+08  | D+   |     0.035613    -     12.146991   | 3s2.3p         | 2P*  | 3s2.5s         | 2S   |    |
           105.705   |    30 |           |      |                                   |                |      |                |      |    |
           105.750   |    15 |           |      |                                   |                |      |                |      |    |
           112.744   |   20w |           |      |                                   |                |      |                |      |    |
                     |       |           |      |                                   |                |      |                |      |    |
           112.791   |   40w |           |      |                                   |                |      |                |      |    |
           119.042   |   100 | 6.53e+08  | C+   |     0.00000     -     10.415200   | 3s2.3p         | 2P*  | 3s.3p2         | 2P   |    |
           119.328   |   200 | 2.69e+09  | B    |     0.00000     -     10.390117   | 3s2.3p         | 2P*  | 3s.3p2         | 2P   |    |
           119.450   |   250 | 3.45e+09  | B    |     0.035613    -     10.415200   | 3s2.3p         | 2P*  | 3s.3p2         | 2P   |    |
           119.739   |   100 | 1.40e+09  | C+   |     0.035613    -     10.390117   | 3s2.3p         | 2P*  | 3s.3p2         | 2P   |    |
                     |       |           |      |                                   |                |      |                |      |    |
           121.612   |   10w |           |      |                                   |                |      |                |      |    |
           122.391   |    20 |           |      |                                   |                |      |                |      |    |
           122.425   |    20 | 6.72e+08  | C+   |     5.322966    -     15.45036    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4P*  |    |
           122.497   |    10 | 4.39e+08  | C    |     5.322966    -     15.44439    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4P*  |    |
           122.681   |    50 | 2.77e+09  | C    |     5.309535    -     15.41586    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4D*  |    |
                     |       |           |      |                                   |                |      |                |      |    |
           122.689   |    20 | 6.55e+08  | C    |     5.344699    -     15.45036    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4P*  |    |
           122.699   |    40 | 1.39e+09  | C    |     5.309535    -     15.41437    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4D*  |    |
           122.760   |   100 | 1.46e+09  | B    |     5.344699    -     15.44439    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4P*  |    |
           122.844   |    10 | 5.53e+08  | D+   |     5.322966    -     15.41586    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4D*  |    |
           122.862   |    25 | 1.77e+09  | C    |     5.322966    -     15.41437    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4D*  |    |
                     |       |           |      |                                   |                |      |                |      |    |
           122.875   |   150 | 2.32e+09  | C+   |     5.322966    -     15.41333    | 3s.3p2         | 4P   | 3s.3p.(3P*).3d | 4D*  |    |
