
---------------------------------------------------------------------------------------------------------------------------
           Observed  |  Rel. |    Aki    | Acc. |          Ei           Ek          |  Lower level   |  Upper level  |Type|
          Wavelength |  Int. |    s^-1   |      |         (eV)         (eV)         |----------------|---------------|    |
           Vac (nm)  |       |           |      |                                   | Conf.   | Term | Conf.  | Term |    |
---------------------------------------------------------------------------------------------------------------------------
                     |       |           |      |                                   |         |      |        |      |    |
           100.537   |     7 | 7.06e+07  | D+   |    17.723025    -     30.055117   | 3s.3d   | 3D   | 3s.6f  | 3F*  |    |
           103.116   |     7 | 2.72e+08  | C    |    16.098352    -     28.122129   | 3p2     | 3P   | 3p.4s  | 3P*  |    |
           103.392   |     8 | 8.11e+08  | C+   |    16.130408    -     28.122129   | 3p2     | 3P   | 3p.4s  | 3P*  |    |
           103.705   |     7 | 4.46e+08  | C    |    16.130408    -     28.085819   | 3p2     | 3P   | 3p.4s  | 3P*  |    |
           108.322   |     6 | 3.65e+08  | C    |    15.152669    -     26.598598   | 3p2     | 1D   | 3s.5p  | 1P*  |    |
                     |       |           |      |                                   |         |      |        |      |    |
           110.837   |    14 | 1.54e+09  | B+   |     6.537028    -     17.723323   | 3s.3p   | 3P*  | 3s.3d  | 3D   |    |
           110.997   |    16 | 2.07e+09  | B+   |     6.552971    -     17.723025   | 3s.3p   | 3P*  | 3s.3d  | 3D   |    |
           111.323   |    18 | 2.74e+09  | A    |     6.585422    -     17.722764   | 3s.3p   | 3P*  | 3s.3d  | 3D   |    |
           114.055   |     6 | 1.96e+09  | B    |    16.081798    -     26.952399   | 3p2     | 3P   | 3p.3d  | 3D*  |    |
           114.158   |     7 | 2.67e+09  | B+   |    16.098352    -     26.959113   | 3p2     | 3P   | 3p.3d  | 3D*  |    |
                     |       |           |      |                                   |         |      |        |      |    |
           114.228   |     6 | 1.75e+09  | B    |    16.098352    -     26.952399   | 3p2     | 3P   | 3p.3d  | 3D*  |    |
           114.431   |     8 | 3.86e+09  | B+   |    16.130408    -     26.965259   | 3p2     | 3P   | 3p.3d  | 3D*  |    |
           114.496   |     6 | 1.19e+09  | B    |    16.130408    -     26.959113   | 3p2     | 3P   | 3p.3d  | 3D*  |    |
           114.511   |     8 |           |      |                                   |         |      |        |      |    |
           114.518   |     7 | 1.38e+08  | C    |    17.723025    -     28.54955    | 3s.3d   | 3D   | 3s.5f  | 3F*  |    |
                     |       |           |      |                                   |         |      |        |      |    |
           115.500   |     6 | 9.34e+08  | B    |    16.081798    -     26.816379   | 3p2     | 3P   | 3p.3d  | 3P*  |    |
           115.596   |     6 | 2.22e+09  | C+   |    16.098352    -     26.824012   | 3p2     | 3P   | 3p.3d  | 3P*  |    |
           115.810   |     7 | 7.88e+08  | B    |    16.098352    -     26.804172   | 3p2     | 3P   | 3p.3d  | 3P*  |    |
           116.026   |     6 | 8.65e+08  | B    |    16.130408    -     26.816379   | 3p2     | 3P   | 3p.3d  | 3P*  |    |
           116.158   |     8 | 1.42e+09  | B    |    16.130408    -     26.804172   | 3p2     | 3P   | 3p.3d  | 3P*  |    |
                     |       |           |      |                                   |         |      |        |      |    |
