
----------------------------------------------------------------------------------------------------------------------------------------
              Observed  |    Rel. |    Aki    | Acc. |          Ei           Ek           |   Lower level    |    Upper level     |Type|
             Wavelength |    Int. |    s^-1   |      |         (eV)         (eV)          |------------------|--------------------|    |
              Vac (nm)  |         |           |      |                                    | Conf.     | Term | Conf.      | Term  |    |
----------------------------------------------------------------------------------------------------------------------------------------
                        |         |           |      |                                    |           |      |            |       |    |
            173.361     |    500w |           |      |    0.2097572    -     7.36146      | 5s2.5p2   | 3P   | 5s2.5p.9s  | 3P*   |    |
            173.72436   |    710r |           |      |    0.000000     -     7.136833     | 5s2.5p2   | 3P   | 5s2.5p.10d | 3D*   |    |
            175.14880   |    880r |           |      |    0.000000     -     7.078794     | 5s2.5p2   | 3P   | 5s2.5p.9d  | 3D*   |    |
            175.352     |    690w |           |      |    0.4249773    -     7.49510      | 5s2.5p2   | 3P   | 5s2.5p.8d  | 3D*   |    |
            176.49391   |   1500r |           |      |    0.000000     -     7.0248427    | 5s2.5p2   | 3P   | 5s2.5p.6d  | 1P*   |    |
                        |         |           |      |                                    |           |      |            |       |    |
            177.33603   |     960 |           |      |    0.000000     -     6.9914827    | 5s2.5p2   | 3P   | 5s2.5p.10s | 3P*   |    |
            179.07835   |   1900r |           |      |    0.2097572    -     7.133220     | 5s2.5p2   | 3P   | 5s2.5p.10d | a 3P* |    |
            180.46343   |   5000r |           |      |    0.2097572    -     7.080084     | 5s2.5p2   | 3P   | 5s2.5p.9d  | b 3P* |    |
            180.49717   |     630 |           |      |    0.2097572    -     7.078794     | 5s2.5p2   | 3P   | 5s2.5p.9d  | 3D*   |    |
            181.30157   |    1400 |           |      |    0.000000     -     6.8385628    | 5s2.5p2   | 3P   | 5s2.5p.9s  | 3P*   |    |
                        |         |           |      |                                    |           |      |            |       |    |
            181.57659   |   2200r |           |      |    0.000000     -     6.8282055    | 5s2.5p2   | 3P   | 5s2.5p.7d  | b 3D* |    |
            181.92611   |    2200 |           |      |    0.2097572    -     7.0248427    | 5s2.5p2   | 3P   | 5s2.5p.6d  | 1P*   |    |
            182.30095   |   6400r |           |      |    0.2097572    -     7.0108272    | 5s2.5p2   | 3P   | 5s2.5p.9d  | a 3P* |    |
            184.87692   |   3100r |           |      |    0.4249773    -     7.131300     | 5s2.5p2   | 3P   | 5s2.5p.10d | a 3F* |    |
            185.19695   |    1400 |           |      |    0.2097572    -     6.9044785    | 5s2.5p2   | 3P   | 5s2.5p.6d  | 3P*   |    |
                        |         |           |      |                                    |           |      |            |       |    |
            185.42531   |     600 |           |      |    0.2097572    -     6.896236     | 5s2.5p2   | 3P   | 5s2.5p.6d  | 3P*   |    |
            186.03253   |   8600r |           |      |    0.4249773    -     7.089628     | 5s2.5p2   | 3P   | 5s2.5p.6d  | 3D*   |    |
            186.14175   |    1000 |           |      |    0.4249773    -     7.0857186    | 5s2.5p2   | 3P   | 5s2.5p.8s  | 3P*   |    |
            186.55164   |    1500 |           |      |    0.2097572    -     6.8558612    | 5s2.5p2   | 3P   | 5s2.5p.6d  | 3P*   |    |
