
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.626  |     2 |           |      |                     |    |
           104.078  |     4 |           |      |                     |    |
           104.132  |     1 |           |      |                     |    |
           106.210  |     3 |           |      |                     |    |
           110.819  |     8 |           |      |                     |    |
                    |       |           |      |                     |    |
           115.905  |     4 |           |      |                     |    |
           116.143  |    10 |           |      |                     |    |
           116.294  |     3 |           |      |                     |    |
           118.051  |     4 |           |      |                     |    |
           121.907  |     9 |           |      |                     |    |
                    |       |           |      |                     |    |
           122.370  |    13 |           |      |                     |    |
           124.300  |    11 |           |      |                     |    |
           129.086  |    20 |           |      |                     |    |
           131.659  |    20 |           |      |                     |    |
           140.052  |    25 |           |      |                     |    |
                    |       |           |      |                     |    |
           147.515  |    20 |           |      |                     |    |
           148.922  |     9 |           |      |                     |    |
           169.947  |     7 |           |      |                     |    |
           175.800  |     7 |           |      |                     |    |
           181.134  |    15 |           |      |                     |    |
                    |       |           |      |                     |    |
           183.189  |     9 |           |      |                     |    |
           189.991  |    12 |           |      |                     |    |
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Air (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           214.863  |     1 |           |      |                     |    |
           215.154  |    30 |           |      |                     |    |
           220.967  |     4 |           |      |                     |    |
           224.607  |     6 |           |      |                     |    |
           236.034  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           236.833  |    22 | 4.4e+05   |      |                     |    |
           238.454  |     4 |           |      |                     |    |
           243.352  |     1 |           |      |                     |    |
           244.898  |    15 | 3.7e+07   |      |                     |    |
           248.348  |    13 |           |      |                     |    |
                    |       |           |      |                     |    |
           248.699  |    10 | 5.5e+07   |      |                     |    |
           252.261  |     5 |           |      |                     |    |
           266.493  |     2 |           |      |                     |    |
           272.782  |     2 |           |      |                     |    |
           282.552  |     2 |           |      |                     |    |
                    |       |           |      |                     |    |
           284.642  |     1 |           |      |                     |    |
           291.280  |     1 |           |      |                     |    |
           291.982  |     6 |           |      |                     |    |
           299.100  |     3 |           |      |                     |    |
           299.444  |     7 |           |      |                     |    |
                    |       |           |      |                     |    |
           301.218  |     1 |           |      |                     |    |
           302.394  |     8 |           |      |                     |    |
           304.750  |    12 |           |      |                     |    |
           309.469  |     6 |           |      |                     |    |
           328.321  |    50 | 1.0e+08   |      |                     |    |
                    |       |           |      |                     |    |
           335.197  |    60 | 1.0e+08   |      |                     |    |
           340.748  |     2 |           |      |                     |    |
           347.246  |    10 | 1.6e+07   |      |                     |    |
           353.757  |     7 |           |      |                     |    |
           357.545  |    11 | 1.3e+07   |      |                     |    |
                    |       |           |      |                     |    |
           358.239  |     3 |           |      |                     |    |
           362.008  |     2 |           |      |                     |    |
           362.054  |     6 |           |      |                     |    |
           371.523  |     6 |           |      |                     |    |
           384.144  |     4 |           |      |                     |    |
                    |       |           |      |                     |    |
           429.465  |     1 |           |      |                     |    |
           457.913  |     1 |           |      |                     |    |
           458.029  |     1 |           |      |                     |    |
           487.722  |     2 |           |      |                     |    |
           494.431  |     3 |           |      |                     |    |
                    |       |           |      |                     |    |
           507.114  |     2 |           |      |                     |    |
           507.267  |     2 |           |      |                     |    |
           533.236  |    10 | 8.6e+07   |      |                     |    |
           556.195  |    20 | 1.2e+08   |      |                     |    |
           558.892  |    25 | 8.5e+07   |      |                     |    |
                    |       |           |      |                     |    |
           559.620  |     2 | 1.5e+07   |      |                     |    |
           579.720  |     1 | 2.8e+07   |      |                     |    |
           579.918  |    15 | 8.1e+07   |      |                     |    |
           607.748  |     6 |           |      |                     |    |
           607.970  |     5 |           |      |                     |    |
                    |       |           |      |                     |    |
           645.350  |    70 | 1.2e+08   |      |                     |    |
           676.145  |     8 | 3.2e+07   |      |                     |    |
           684.405  |    25 | 6.6e+07   |      |                     |    |
           719.140  |    20 |           |      |                     |    |
           738.779  |    10 |           |      |                     |    |
                    |       |           |      |                     |    |
           740.862  |     1 |           |      |                     |    |
           774.180  |    13 |           |      |                     |    |
           790.400  |     3 |           |      |                     |    |
