
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.092  |    50 |           |      |                     |    |
           104.884  |    50 |           |      |                     |    |
           113.929  |  1000 |           |      |                     |    |
           115.833  |  1000 |           |      |                     |    |
           116.109  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           116.158  |   100 |           |      |                     |    |
           118.062  |   100 |           |      |                     |    |
           118.425  |  1000 |           |      |                     |    |
           118.999  |   200 |           |      |                     |    |
           120.406  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           121.052  |  2000 |           |      |                     |    |
           121.510  |   100 |           |      |                     |    |
           121.814  |   100 |           |      |                     |    |
           123.017  |   100 |           |      |                     |    |
           123.138  |   100 |           |      |                     |    |
                    |       |           |      |                     |    |
           124.363  |   500 |           |      |                     |    |
           125.992  |  1000 |           |      |                     |    |
           127.631  |    40 |           |      |                     |    |
           130.597  |  1000 |           |      |                     |    |
           132.734  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           133.470  |   200 |           |      |                     |    |
           134.605  |   200 |           |      |                     |    |
           134.765  |  1000 |           |      |                     |    |
           136.971  |   200 |           |      |                     |    |
           138.674  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           141.061  |   500 |           |      |                     |    |
           144.977  |   200 |           |      |                     |    |
           157.036  |  1000 |           |      |                     |    |
           167.429  |    50 |           |      |                     |    |
           181.171  |   500 |           |      |                     |    |
                    |       |           |      |                     |    |
           194.186  |   500 |           |      |                     |    |
           195.552  |    50 |           |      |                     |    |
