
---------------------------------------------------------------------------
          Observed  |  Rel. |    Aki    | Acc. |   Ei           Ek   |Type|
         Wavelength |  Int. |    s^-1   |      |  (eV)         (eV)  |    |
          Vac (nm)  |       |           |      |                     |    |
---------------------------------------------------------------------------
                    |       |           |      |                     |    |
           101.972  |   500 |           |      |                     |    |
           104.449  |  1000 |           |      |                     |    |
           105.837  |   100 |           |      |                     |    |
           105.859  |    50 |           |      |                     |    |
           107.341  |  1000 |           |      |                     |    |
                    |       |           |      |                     |    |
           108.750  |   200 |           |      |                     |    |
           109.692  |   300 |           |      |                     |    |
           110.324  |    50 |           |      |                     |    |
           111.934  |  1000 |           |      |                     |    |
           112.068  |   200 |           |      |                     |    |
                    |       |           |      |                     |    |
           131.455  |  1000 |           |      |                     |    |
           143.752  |  1000 |           |      |                     |    |
           153.290  |   100 |           |      |                     |    |
