
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |               Observed  |          Rel. |    Aki    | Acc. |            Ei           Ek             |           Lower level           |            Upper level            |   Type|
          |              Wavelength |          Int. |    s^-1   |      |           (eV)         (eV)            |---------------------------------|-----------------------------------|       |
          |               Vac (nm)  |               |           |      |                                        | Conf.                | Term     | Conf.                | Term       |       |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             100.0327    |            36 |           |      |    22.343622      -     34.737961      | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 4p5.(2P*<3/2>).4f    | 2[3/2]     |       |
Sr V      |             100.0567    |            10 |           |      |    26.505814      -     38.897181      | 4s2.4p3.(2D*).4d     | 3D*      | 4s2.4p3.(4S*).5p     | 5P         |       |
Sr III    |             100.1446    |             2 |           |      |    22.343622      -     34.724133      | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 4p5.(2P*<3/2>).6p    | 2[1/2]     |       |
Sr V      |             100.2933    |            12 |           |      |    32.877982      -     45.240164      | 4s2.4p3.(2D*).4d     | 3S*      | 4s2.4p3.(2P*).5p     | 3P         |       |
Sr IV     |             100.3106    |            18 |           |      |    31.291871      -     43.651812      | 4s2.4p4.(3P).4d      | 2P       | 4s2.4p4.(1D).4f      | 2P*        |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr III    |             100.3905    |            18 |           |      |    22.343622      -     34.693779      | 4p5.(2P*<3/2>).4d    | 2[3/2]*  | 4p5.(2P*<3/2>).4f    | 2[3/2]     |       |
Sr IV     |             100.6113    |            16 |           |      |    31.396739      -     43.719814      | 4s2.4p4.(3P).4d      | 2P       | 4s2.4p4.(1D).4f      | 2D*        |       |
Sr V      |             100.7198    |            14 |           |      |    27.344679      -     39.654452      | 4s2.4p3.(2D*).4d     | 3F*      | 4s2.4p3.(4S*).5p     | 3P         |       |
Sr IV     |             100.8909    |            16 |           |      |    31.593771      -     43.882639      | 4s2.4p4.(3P).4d      | 2D       | 4s2.4p4.(1D).4f      | 2F*        |       |
Sr V      |             101.1419    |            16 |           |      |    27.570159      -     39.828564      | 4s2.4p3.(2D*).4d     | 3F*      | 4s2.4p3.(4S*).5p     | 3P         |       |
          |                         |               |           |      |                                        |                      |          |                      |            |       |
Sr IV     |             101.1693    |            14 |           |      |    31.396739      -     43.651812      | 4s2.4p4.(3P).4d      | 2P       | 4s2.4p4.(1D).4f      | 2P*        |       |
Sr III    |             101.1813    |            36 |           |      |    22.704409      -     34.958078      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[7/2]     |       |
Sr IV     |             101.2339    |            18 |           |      |    31.291871      -     43.539125      | 4s2.4p4.(3P).4d      | 2P       | 4s2.4p4.(1D).4f      | 2D*        |       |
Sr III    |             101.2520    |             4 |           |      |    22.704409      -     34.949457      | 4p5.(2P*<3/2>).4d    | 2[7/2]*  | 4p5.(2P*<3/2>).4f    | 2[7/2]     |       |
